rank,protein,driver_score
1,YNL260C,0.9999999999476261
2,YDR312W,0.9058072794643792
3,YFL033C,0.8649556129785482
4,YNL230C,0.8390864033963465
5,YGR041W,0.8177642242539699
6,YJR041C,0.8023655100407631
7,YGR094W,0.7970474888210961
8,YJR053W,0.7844875092471303
9,YDL164C,0.7741322306575175
10,YPR073C,0.764021061411614
11,YOR206W,0.7600078911564969
12,YDR021W,0.7535084976186153
13,YPR033C,0.7478994996849132
14,YDR386W,0.742336846742962
15,YDR137W,0.7387548682734851
16,YBR217W,0.7342123757775929
17,YLR006C,0.7305255522084534
18,YCL035C,0.7251871855402188
19,YGR087C,0.7244399773376744
20,YIL066C,0.7215911713168358
21,YJL087C,0.7168107107591546
22,YBR059C,0.7157177983085972
23,YPR034W,0.7124207863159975
24,YDL140C,0.7098874103289337
25,YIL112W,0.7068438067951549
26,YOL041C,0.7042683001158774
27,YGR061C,0.7030458339562946
28,YGR252W,0.6996137442541569
29,YDR087C,0.6990548234730034
30,YGR136W,0.697874798142951
31,YBR228W,0.6956918419929791
32,YOR244W,0.6949219198735143
33,YKR063C,0.691809126174093
34,YDR130C,0.6905375192450361
35,YMR196W,0.6884637627232143
36,YHR154W,0.6858217096343209
37,YGL158W,0.6837249745022701
38,YOR303W,0.6830223995859753
39,YMR144W,0.6819314594581166
40,YMR241W,0.6801234192618035
41,YLR002C,0.6798004699298936
42,YBR150C,0.6785720742092501
43,YDR266C,0.6775252226192946
44,YLR442C,0.6749966753890599
45,YDR496C,0.673859443966795
46,YBL045C,0.6732236421911637
47,YDR085C,0.6712759582002635
48,YCL059C,0.6706327826586999
49,YMR323W,0.6699992945234825
50,YHR102W,0.6687615115596776
51,YOR136W,0.667701438579123
52,YDL080C,0.6657845035692622
53,YOL006C,0.6644930960205145
54,YPR164W,0.6641306836525211
55,YDL208W,0.6622415132057319
56,YER127W,0.662122605356465
57,YDR460W,0.6608327190128195
58,YLR271W,0.6601264056016123
59,YDR238C,0.6600310059329338
60,YIL113W,0.6583074392960571
61,YOR308C,0.6570186613114681
62,YDR022C,0.6561278226521136
63,YLL039C,0.6557162052417059
64,YGR150C,0.6542280839394485
65,YBR063C,0.6541118241223098
66,YDR356W,0.6533111093700966
67,YCL050C,0.6522433366117878
68,YKL007W,0.6509710795289829
69,YMR224C,0.6497011353735291
70,YER018C,0.6490040298356415
71,YNL307C,0.6477978612207359
72,YBR085W,0.647391900440896
73,YDR416W,0.646923198992277
74,YKL144C,0.6464081188047217
75,YDR398W,0.6459573877667834
76,YMR106C,0.6453063603921642
77,YHR008C,0.6448482630924679
78,YLR449W,0.6447705488774197
79,YGL004C,0.6436765344882849
80,YNL090W,0.6428939454819969
81,YKL205W,0.6422946495818402
82,YOR100C,0.6416550355681006
83,YMR268C,0.6405855278843962
84,YGR250C,0.6401317383923055
85,YDR449C,0.6393896721459517
86,YDL193W,0.639153534402383
87,YER077C,0.6389774762891246
88,YMR109W,0.638187304692478
89,YGL227W,0.6371836398370205
90,YNL132W,0.6368266792156322
91,YER083C,0.6367966559323947
92,YBL039C,0.6367546163437913
93,YGL003C,0.6358850188003891
94,YLR186W,0.6350075420349729
95,YKL176C,0.6348811413676905
96,YOR227W,0.6342644119243424
97,YBL015W,0.6334892794315372
98,YBL044W,0.6325691059081968
99,YBR155W,0.6325507707128759
100,YDR326C,0.6319846259518084
101,YOR323C,0.6315833312288094
102,YKR081C,0.6309727936257314
103,YHR019C,0.6305796989824138
104,YDL003W,0.6299891218189506
105,YNL160W,0.6295565685849557
106,YGR238C,0.6287550615594111
107,YBR202W,0.6285139032089776
108,YMR290C,0.6284956221842208
109,YPL074W,0.6278700004574841
110,YDR116C,0.6276910680536373
111,YGL070C,0.6269011017211926
112,YNR065C,0.6264108144336021
113,YGL200C,0.6257736825176953
114,YLR016C,0.6250176935363569
115,YMR291W,0.6243699808795976
116,YPL018W,0.6241545575104648
117,YBL058W,0.6233795343908461
118,YJL187C,0.6229069087536064
119,YBR018C,0.6225870491064937
120,YLR386W,0.6223226417910803
121,YKR067W,0.6222864161168515
122,YLR113W,0.621505157903222
123,YGR103W,0.6215000526315432
124,YLL034C,0.6208332422414059
125,YGL156W,0.6202523392041263
126,YGR002C,0.6200453029023805
127,YHR065C,0.6196042049846974
128,YDR488C,0.6192077720672466
129,YJR132W,0.6191486711945109
130,YGL092W,0.6185523777929979
131,YDL213C,0.6184446873535044
132,YLR226W,0.618192604093051
133,YNL135C,0.6175594047774162
134,YDR175C,0.6171567997393554
135,YPL203W,0.6170190872430731
136,YNL147W,0.6161773044604425
137,YOR057W,0.6156612605369328
138,YDR212W,0.6152224617937401
139,YGR040W,0.6150895631515217
140,YGR017W,0.6148364205729063
141,YBR079C,0.6144451336501364
142,YGL192W,0.6140097375473903
143,YPL217C,0.6139108886403449
144,YPR093C,0.6133800685043669
145,YMR058W,0.6130192764623313
146,YML048W,0.6127872596794559
147,YLR138W,0.6124063703434628
148,YJL128C,0.611875015443194
149,YLR187W,0.6113605466740487
150,YOR276W,0.6112723830588388
151,YKR001C,0.6106908944753937
152,YLR015W,0.6100474898329635
153,YLR009W,0.6095621260256896
154,YLL050C,0.6093525992830304
155,YGR090W,0.6092456709824128
156,YPL050C,0.6087500680284099
157,YPR017C,0.608494638337713
158,YCR079W,0.6081534302072711
159,YLR450W,0.6076215307502316
160,YIR002C,0.6074559327512357
161,YPL194W,0.607147430092457
162,YHR052W,0.6068274848160534
163,YPL249C,0.6067812382284045
164,YDR339C,0.6065477686027082
165,YDR448W,0.6062297442534326
166,YPR175W,0.6059695459340007
