index,protein,ec
0,YLR370C,0.0038957114545198433
1,YDR331W,0.0004397432409441057
2,YPR168W,0.004057472399090501
3,YBR288C,0.0002471842025736026
4,YKL006C-A,0.001143869849149822
5,YPR094W,0.002036109194147814
6,YBR213W,0.0002056157973924353
7,YDR404C,7.653766620784773e-06
8,YER099C,0.0004944035933518
9,YMR280C,0.003132161756057357
10,YOL043C,0.00017918085297861222
11,YOR140W,0.0005455036792365151
12,YLR443W,0.0007666194775434481
13,YBL010C,0.0003512181885636796
14,YDL072C,6.201076323603036e-112
15,YGR111W,0.0007451384660133121
16,YML112W,4.582025481566898e-100
17,YDR502C,0.005723140633638723
18,YBR155W,0.004699926194908136
19,YOR294W,0.00028238162851029633
20,YCL067C,0.0006837479370574311
21,YPL105C,0.0001305046667863538
22,YPL233W,0.0012438352021176702
23,YPL112C,0.006775531787192514
24,YBL018C,0.0006623767069118518
25,YLR241W,3.4841452866359006e-81
26,YDL208W,0.0035370246125148155
27,YPL245W,2.907687009870054e-112
28,YBR076W,0.0038957114545198433
29,YML014W,0.00024009326094781423
30,YNL131W,0.0007050026188859686
31,YDR054C,0.0005856884948793306
32,YGR120C,0.0174890202904001
33,YHR152W,0.0027508007257909064
34,YDL061C,0.002093054501028729
35,YDR205W,3.6839778469628166e-87
36,YPL133C,0.00010765437795815174
37,YIL057C,0.0014105235602753132
38,YJL102W,4.211743960930078e-112
39,YLR312C,0.0029394049587380417
40,YJL134W,4.3684099279847334e-05
41,YNL058C,0.00024826119340700927
42,YBR262C,0.001907546162074308
43,YDR110W,0.002481741539571588
44,YLR065C,7.548555998074506e-05
45,YBR108W,0.0054931782344618
46,YER086W,0.01731210196663481
47,YNL216W,0.0007080472875605376
48,YKL157W,0.0032851287888933257
49,YGL222C,0.005730201589212732
50,YBR176W,0.13714961732567973
51,YER058W,0.0038957114545198433
52,YLR008C,0.00015087759683468375
53,YAL041W,0.004139264229432918
54,YOR158W,0.008659668460998604
55,YLR166C,1.6671717790268877e-05
56,YBL031W,0.0009631916702199905
57,YKR021W,1.8032934995897125e-05
58,YDR074W,0.0019401273535873849
59,YJL155C,1.9768153042554803e-113
60,YMR061W,0.0024186725332517862
61,YJL170C,0.0005537933958384875
62,YKR053C,5.828485015289413e-113
63,YJL002C,0.001300481408907223
64,YBR068C,6.641286309877025e-112
65,YIL031W,0.0013186128754083138
66,YGL021W,3.8532242580799588e-112
