selected_frac,energy_cost,strategy
0.05,145835.39833442878,Random
0.1,45687.723764865696,Random
0.15,29096.282721133135,Random
0.2,20584.63648825137,Random
0.25,16059.493544044013,Random
0.3,11254.476719045857,Random
0.35,9455.901848216658,Random
0.4,7882.185637456539,Random
0.45,6988.223044333464,Random
0.5,6281.523543921805,Random
0.55,5713.994728917481,Random
0.6,5113.377422471951,Random
0.65,4607.095971291643,Random
0.7,4190.099264590168,Random
0.75,3807.34746637069,Random
0.8,3313.3867262274553,Random
0.85,3110.622992016043,Random
0.9,2932.1466247939743,Random
0.95,2765.090704173441,Random
1.0,2463.936578325167,Random
0.05,133347.4425274351,DC
0.1,45748.83288122506,DC
0.15,24145.22219497896,DC
0.2,16431.00660780538,DC
0.25,12011.694349187404,DC
0.3,9597.265266386523,DC
0.35,7903.376539775703,DC
0.4,6645.27286554101,DC
0.45,5773.872063245938,DC
0.5,5122.870393818332,DC
0.55,4608.714023765673,DC
0.6,4183.7611095883885,DC
0.65,3831.397008097925,DC
0.7,3539.5310222443204,DC
0.75,3292.432696188449,DC
0.8,3081.602772463144,DC
0.85,2897.092636771297,DC
0.9,2734.2796073122336,DC
0.95,2590.923298100157,DC
1.0,2463.936578325167,DC
0.05,100100.57448110846,BC
0.1,38551.3415468057,BC
0.15,22462.52332630888,BC
0.2,15497.052179464788,BC
0.25,11800.11887304627,BC
0.3,9383.072037860693,BC
0.35,7856.519405585097,BC
0.4,6720.339836878571,BC
0.45,5864.211526923627,BC
0.5,5174.538845112355,BC
0.55,4616.303653326838,BC
0.6,4185.408578961254,BC
0.65,3831.966193368642,BC
0.7,3538.3990391689667,BC
0.75,3290.4534480621055,BC
0.8,3079.7103503640083,BC
0.85,2895.0591758417804,BC
0.9,2733.6959259776268,BC
0.95,2590.7944919684246,BC
1.0,2463.936578325167,BC
0.05,88854.67074252928,EC
0.1,31889.325273525374,EC
0.15,19563.959387563995,EC
0.2,13886.91098445093,EC
0.25,10676.555885306323,EC
0.3,8691.383791710216,EC
0.35,7330.545515886721,EC
0.4,6355.729733523929,EC
0.45,5608.564578462641,EC
0.5,5012.693527174667,EC
0.55,4531.997386248282,EC
0.6,4140.110415755667,EC
0.65,3808.5058540531736,EC
0.7,3524.982486863052,EC
0.75,3285.040048276812,EC
0.8,3077.7308077455555,EC
0.85,2895.042972999012,EC
0.9,2733.8466322108525,EC
0.95,2591.0177125688565,EC
1.0,2463.936578325167,EC
0.05003498950314905,55148.39455373287,HyperDriver (Full)
0.1000699790062981,26066.30331909089,HyperDriver (Full)
0.15010496850944716,16988.25823883748,HyperDriver (Full)
0.2001399580125962,12602.053957290122,HyperDriver (Full)
0.2498250524842547,10032.741867822784,HyperDriver (Full)
0.2998600419874038,8318.778667198167,HyperDriver (Full)
0.34989503149055284,7104.8231590972455,HyperDriver (Full)
0.05,296306.8431812967,w/o Greedy
0.1,60710.217959598216,w/o Greedy
0.15,32050.277921830428,w/o Greedy
0.2,22227.5611964899,w/o Greedy
0.25,17150.113332195153,w/o Greedy
0.3,13951.320567530924,w/o Greedy
0.35,12004.26205879739,w/o Greedy
0.4,10461.928083539075,w/o Greedy
0.45,9198.654038158787,w/o Greedy
0.5,8294.466216109384,w/o Greedy
0.55,7553.874531440878,w/o Greedy
0.6,6975.99173235156,w/o Greedy
0.65,6504.502945749237,w/o Greedy
0.7,6087.974842135647,w/o Greedy
0.75,5705.007939825941,w/o Greedy
0.8,5416.637010682394,w/o Greedy
0.85,5140.52799487982,w/o Greedy
0.9,4906.972291318331,w/o Greedy
0.95,4731.882286070304,w/o Greedy
1.0,2463.936578325167,w/o Greedy
0.05003498950314905,30804912890450.88,w/o Hypergraph
0.1000699790062981,60436.61188445863,w/o Hypergraph
0.15010496850944716,4470.051635694735,w/o Hypergraph
0.2001399580125962,1432.960435024788,w/o Hypergraph
0.2498250524842547,779.1369061663404,w/o Hypergraph
0.2998600419874038,529.2725796252948,w/o Hypergraph
0.34989503149055284,406.7927477347464,w/o Hypergraph
0.05003498950314905,189551.5723229237,w/o Dynamics
0.1000699790062981,70106.5607661282,w/o Dynamics
0.15010496850944716,41931.2109897412,w/o Dynamics
0.2001399580125962,29833.60970629398,w/o Dynamics
0.2498250524842547,23362.512931000194,w/o Dynamics
0.2998600419874038,19197.960471893723,w/o Dynamics
0.34989503149055284,16354.482832973159,w/o Dynamics
