selected_frac,energy,strategy
0.05,102325.45169752144,Random
0.1,45372.50422807244,Random
0.15,26557.10200077066,Random
0.2,18874.119660848603,Random
0.25,14403.944714967245,Random
0.3,10429.517869406398,Random
0.35,8601.615107874539,Random
0.4,7280.041842238359,Random
0.45,6484.759023250105,Random
0.5,5788.487182864421,Random
0.55,5123.209053839999,Random
0.6,4642.776631713166,Random
0.65,4227.129312541774,Random
0.7,3918.07039260544,Random
0.75,3516.4332137273277,Random
0.8,3212.820190381187,Random
0.85,3019.7310604958884,Random
0.9,2850.2094935929117,Random
0.95,2695.8537872113184,Random
1.0,2450.4798956984487,Random
0.05,103642.2921130349,DC
0.1,39121.76332688184,DC
0.15,22260.55600207844,DC
0.2,15352.54108806022,DC
0.25,11615.204584382705,DC
0.3,9244.498900275441,DC
0.35,7701.219879647622,DC
0.4,6538.616567300232,DC
0.45,5710.944237401727,DC
0.5,5081.892660889489,DC
0.55,4573.23708167065,DC
0.6,4156.962024140554,DC
0.65,3813.557466200149,DC
0.7,3523.8860416344723,DC
0.75,3277.5805082428947,DC
0.8,3066.2517908066766,DC
0.85,2881.20849444525,DC
0.9,2720.3791439560514,DC
0.95,2577.129678226887,DC
1.0,2450.4798956984487,DC
0.05,88309.80332924533,BC
0.1,35013.5582601559,BC
0.15,21278.571676351225,BC
0.2,14962.65726476386,BC
0.25,11445.928094989704,BC
0.3,9176.899834314423,BC
0.35,7660.150948292816,BC
0.4,6575.468560494115,BC
0.45,5759.143566351873,BC
0.5,5103.05191777051,BC
0.55,4572.05655558242,BC
0.6,4150.059626064113,BC
0.65,3806.7782136036058,BC
0.7,3516.6793474652877,BC
0.75,3272.8969338444103,BC
0.8,3062.129366485089,BC
0.85,2879.46757324599,BC
0.9,2719.9985959958212,BC
0.95,2577.473319787837,BC
1.0,2450.4798956984487,BC
0.05,81749.23847730893,EC
0.1,30377.505796996982,EC
0.15,18755.1804499751,EC
0.2,13505.616450343734,EC
0.25,10383.771857063522,EC
0.3,8509.697227245444,EC
0.35,7211.711129225443,EC
0.4,6266.475114849724,EC
0.45,5532.555851901094,EC
0.5,4958.5357830523935,EC
0.55,4490.775999675911,EC
0.6,4106.750614130589,EC
0.65,3782.1086792948277,EC
0.7,3506.3794371971276,EC
0.75,3268.7796935518045,EC
0.8,3062.5228928590186,EC
0.85,2880.5644886848313,EC
0.9,2719.6248378591113,EC
0.95,2577.2671548535936,EC
1.0,2450.4798956984487,EC
0.050070028011204484,53467.567658424276,HyperDriver
0.10014005602240897,25675.821822143953,HyperDriver
0.14985994397759103,16832.706345294602,HyperDriver
0.19992997198879553,12495.283554422793,HyperDriver
0.25,9933.89173292252,HyperDriver
0.30007002801120447,8242.695961223912,HyperDriver
0.05,88726983.4870935,w/o Greedy
0.1,21221713.01099984,w/o Greedy
0.15,1938284.807626374,w/o Greedy
0.2,753083.2610310594,w/o Greedy
0.25,341747.361652149,w/o Greedy
0.3,203870.73305735164,w/o Greedy
0.35,144084.89661803693,w/o Greedy
0.4,97636.70228838721,w/o Greedy
0.45,74929.16719603221,w/o Greedy
0.5,61014.96245806135,w/o Greedy
0.55,46437.78666687467,w/o Greedy
0.6,31234.642835043735,w/o Greedy
0.65,23781.617269092712,w/o Greedy
0.7,17027.91102662928,w/o Greedy
0.75,13258.058462058474,w/o Greedy
0.8,10174.386248726116,w/o Greedy
0.85,7938.964287921057,w/o Greedy
0.9,6523.431555210472,w/o Greedy
0.95,5248.593934327575,w/o Greedy
1.0,2450.4798956984487,w/o Greedy
0.050070028011204484,32357942717.298927,w/o Hypergraph
0.10014005602240897,43639.55397707324,w/o Hypergraph
0.14985994397759103,3632.1921433167036,w/o Hypergraph
0.19992997198879553,1170.3621362157587,w/o Hypergraph
0.25,634.1233796926784,w/o Hypergraph
0.30007002801120447,436.2046949668548,w/o Hypergraph
0.050070028011204484,179141.09626763465,w/o Dynamics
0.10014005602240897,69118.56519253823,w/o Dynamics
0.14985994397759103,41859.95515348599,w/o Dynamics
0.19992997198879553,29813.619371574598,w/o Dynamics
0.25,23273.961736635363,w/o Dynamics
0.30007002801120447,19159.485939127357,w/o Dynamics
