protein,score
YCL009C,0.9999999999962289
YBR221C,0.999251338615595
YOR374W,0.996538141472868
YDR418W,0.9897341503624741
YER044C,0.9889719470200448
YGR180C,0.9878731025455935
YOR251C,0.987031957190637
YJR145C,0.9857459109213749
YLR110C,0.9856379091086747
YDR399W,0.9854341816679685
YPL156C,0.9853661720804808
YKL103C,0.9851959313012344
YNL125C,0.9851777526090141
YEL041W,0.9850232137998337
YOR265W,0.9849915056754852
YMR205C,0.9846579687372675
YBR067C,0.9845126141930526
YLL023C,0.9843578201711922
YKL077W,0.9843508349399513
YPR115W,0.9843084791611421
YHR132C,0.9841969830338053
YJR009C,0.9841802552751097
YGL153W,0.9840137273599218
YBR047W,0.9839285277435075
YIR014W,0.9838924260291164
YGR254W,0.9838536727083211
YCL040W,0.9837406511066997
YMR160W,0.9837172043087163
YDR366C,0.9837146004422005
YKL146W,0.9836951596026222
YER086W,0.9836421871530137
YDL156W,0.9836022439363842
YLR327C,0.9834817421924049
YGL053W,0.9834353316268414
YKL038W,0.9834341629566025
YHR053C,0.9834257021712715
YER004W,0.9833680298330649
YHR041C,0.9833379293225403
YER109C,0.983317798978971
YJR024C,0.9832983045244943
YHR200W,0.9832570265922803
YDR214W,0.9831845827290692
YFL018C,0.9831755279498964
YFR053C,0.9831519704260892
YML037C,0.9831096414705944
YPL271W,0.9830327608258538
YLR407W,0.9830006060759368
YLR057W,0.9829930645549554
YLR344W,0.9829765468075726
YGR178C,0.9829214712722746
YKR087C,0.9829030305621347
YDR483W,0.9829014541837584
YPR078C,0.9828749218001978
YEL066W,0.9827947992862506
YGR052W,0.9827756765166371
YER096W,0.9827519138771991
YPL130W,0.9827462725444602
YML121W,0.9827335181350342
YOR247W,0.9827246007185142
YGR249W,0.9827085377181584
YCL033C,0.9826849803927197
YDL065C,0.9826780233602073
YLR025W,0.9826718036377704
YFR049W,0.9826544708983238
YOR134W,0.982647065269735
YAR071W,0.9826010234123087
YDL181W,0.9825959808283947
YBR025C,0.9825948509661356
YER079W,0.9825866481132042
YDR500C,0.98257360499217
YMR041C,0.9825619447964759
YDL134C,0.9825369652923859
YDL186W,0.9825296123560147
YNL096C,0.9825208669269999
YDR018C,0.9825178141520372
YLR284C,0.9825168819975899
YGL192W,0.982473816760143
YOR059C,0.9824648587830536
YPR029C,0.9824237377912624
YGR010W,0.9823859335103202
YOR175C,0.9823828527155158
YGR240C,0.9823740513094076
YLR058C,0.9823680502036084
YKL069W,0.9823618182133128
YPR045C,0.9823607784685197
YPR199C,0.9823527203162185
YBR145W,0.9823351106473069
YDR225W,0.9823160113732534
YOR381W,0.98230630441202
YNL078W,0.9823051135080874
YGL263W,0.9823004007542284
YLR436C,0.9822998650969208
YER144C,0.982291737456157
YLL024C,0.982291336563893
YDL116W,0.9822893366595283
YCR077C,0.9822687120279749
YAL028W,0.9822524073680435
YGL250W,0.9822363693361122
YJL006C,0.9822342573490455
YAR014C,0.982232180597179
YPL031C,0.9822319001946774
YHL044W,0.9822296737346988
YDR066C,0.9822259897638544
YDR178W,0.9822230880201446
YNL128W,0.9822026144870658
YOR324C,0.9821965789779367
YJL079C,0.9821723582402632
YGR205W,0.9821701363656482
YCL035C,0.9821551388557324
YLR200W,0.9821382360272196
YGL175C,0.9821363537131281
YDL114W,0.982107608577399
YMR178W,0.9821047969324258
YBR061C,0.9820971909031418
YHR039C,0.9820901392030014
YOR001W,0.9820851246383179
YMR202W,0.982056521354163
YGL237C,0.982053283434019
YLR456W,0.9820514361673764
YLR390W,0.9820456982010736
YNL309W,0.9820391201594736
YDR448W,0.9820303570721781
YIL009W,0.9820075487236433
YNL208W,0.982000867370144
YPL004C,0.9819999192521929
YHR135C,0.9819821932675893
YNL036W,0.9819700687278893
YBR263W,0.9819688713803808
YPL196W,0.98195688351889
YKR093W,0.9819535536921411
YIL079C,0.9819517338890447
YPL027W,0.981941062317677
YBR018C,0.9819386294098664
YNL054W,0.9819301689971184
YHL043W,0.9819288587496776
YGR053C,0.981915654797786
YOR222W,0.9819111928783838
YFL011W,0.981910057819925
YHR207C,0.9819077703146798
YPL163C,0.9819040235480673
YHR114W,0.9818973600141384
YDR001C,0.9818951645231533
YBR003W,0.9818879355540618
YML008C,0.981887531238637
YLR019W,0.9818830561416676
YBL044W,0.9818785114445712
YPL208W,0.9818649641001691
YER067W,0.9818625613559185
YGR020C,0.9818573592747681
YBR176W,0.9818547282851244
YGR239C,0.9818515964657153
