rank,protein,driver_score
1,YNL146W,0.9999999999475946
2,YDR259C,0.9099192475600566
3,YBR091C,0.877751607471365
4,YBR128C,0.8389022501974261
5,YML027W,0.8215487620449453
6,YGR238C,0.8079581708119853
7,YNL273W,0.7963470993438673
8,YLR008C,0.7870499083492308
9,YEL005C,0.7801703211070729
10,YOR136W,0.7740733410628176
11,YJR056C,0.7671206982535932
12,YOR114W,0.7631835101062421
13,YGR031W,0.7587451575002387
14,YMR052W,0.7539461968656099
15,YML125C,0.7509659307218735
16,YMR280C,0.7469725699391202
17,YGR215W,0.7433350820589297
18,YPL002C,0.7395027679654488
19,YOR104W,0.737227459591312
20,YHR067W,0.7348313876478574
21,YOR116C,0.731104481924568
22,YBR262C,0.727693974526303
23,YDR013W,0.7251923891431014
24,YKR105C,0.7234281647237227
25,YJR108W,0.7214977705967643
26,YJR048W,0.7197479597000835
27,YOL069W,0.7186834791212192
28,YLR057W,0.7165327234909968
29,YIR003W,0.7141555999254606
30,YOR033C,0.7120746468558585
31,YLR065C,0.7100846337841384
32,YJR011C,0.7089296406708644
33,YNL204C,0.7073140032720475
34,YGL168W,0.7058039380041365
35,YDR478W,0.7040846775020001
36,YGR071C,0.7027167735422488
37,YJR077C,0.7019057149267958
38,YLR156W,0.7003111341919704
39,YIL122W,0.6985503168046658
40,YNL214W,0.6972798237654404
41,YER179W,0.6959051917753374
42,YPL252C,0.6953042101378548
43,YIL066C,0.6937006635942341
44,YMR293C,0.6926074650173787
45,YGL104C,0.6915073831661402
46,YLR168C,0.6903954225401969
47,YEL061C,0.6891909106659422
48,YNL051W,0.688497536168364
49,YGL229C,0.6874235743258447
50,YJR105W,0.6862722616293471
51,YJR091C,0.6854418623112847
52,YLR080W,0.6853931684798045
53,YLR136C,0.6843256682967319
54,YGL110C,0.683362706236617
55,YKL050C,0.682641279572446
56,YNL158W,0.6819362649697701
57,YLR406C,0.6810862181710498
58,YER022W,0.680200591473368
59,YKR090W,0.6796756024249984
60,YPR157W,0.6786889154904511
61,YLR031W,0.6780068434778788
62,YNR061C,0.6773690761950463
63,YKL171W,0.6761020448305334
64,YPL124W,0.6753201777610602
65,YPL233W,0.6750369456536708
66,YHR011W,0.6742425990927751
67,YJR134C,0.6733914003317161
68,YDL179W,0.6726937895613708
69,YPR138C,0.6719543337337476
70,YDR538W,0.6709156675603665
71,YHR019C,0.6701806885319528
72,YGL250W,0.6694283968149808
73,YOR360C,0.6688999314376737
74,YAL011W,0.6680457745066088
75,YMR157C,0.6672656648114499
76,YOR062C,0.666403242996066
77,YNR040W,0.6658508288992949
78,YOR210W,0.6653665317160125
79,YMR017W,0.6646198086838655
80,YOR229W,0.663958490548424
81,YFR055W,0.6636987814699082
82,YLR003C,0.6630000774780165
83,YDR502C,0.66230820667899
84,YDR066C,0.661728930261382
85,YJL072C,0.660994031658655
86,YNR074C,0.6605873712751602
87,YLR066W,0.660000783611342
88,YOR368W,0.6595044599581378
89,YFR018C,0.6587436978378856
90,YNR068C,0.6582055100882817
91,YGL187C,0.6577722977863366
92,YKR052C,0.6571973809635497
93,YPR179C,0.6565406797016592
94,YLR193C,0.6560163334032976
95,YJR099W,0.65540725620371
96,YDR128W,0.6548185955498093
97,YFL068W,0.6545508832845077
98,YJL059W,0.6539843475845417
99,YML129C,0.6534449929564197
100,YBR020W,0.6530195321897094
101,YDL247W,0.6524853689147595
102,YJL091C,0.652008727527359
103,YJL058C,0.6518050000521524
104,YNL142W,0.651339473154465
105,YMR025W,0.6509414174918646
106,YFR027W,0.6505937837062004
107,YOL093W,0.6499891546428516
108,YHR043C,0.6495217960770133
109,YLR448W,0.6490332258632914
110,YMR213W,0.6485686695960461
111,YPL083C,0.6481844250045002
112,YOR074C,0.6476921999447549
113,YLR457C,0.6472953787776368
114,YOR281C,0.6470192215695771
115,YKR069W,0.646523616402853
116,YMR192W,0.6461029416267384
117,YBR243C,0.6456969705132465
118,YLR423C,0.6452456984953383
119,YGR036C,0.6452301090726801
120,YGL018C,0.6448069107611515
121,YOL146W,0.6443316335733659
122,YIL145C,0.6439022277065897
123,YGR204W,0.643547491206994
124,YLR021W,0.643099471958534
125,YDL105W,0.6427136665556357
126,YOR351C,0.6422587932670452
127,YBR175W,0.6419542167919277
128,YOR226C,0.6418102959450301
129,YJL180C,0.6413192853988778
130,YPR045C,0.6409047644143329
131,YGR218W,0.6408089893789872
132,YPL061W,0.6405403332598967
133,YLR011W,0.640089468991953
134,YCR044C,0.6397168592748795
135,YHR179W,0.639253230094093
136,YPL213W,0.6388902238898952
137,YDR425W,0.6385037254229907
138,YLL054C,0.6382315439321218
139,YIL085C,0.6378411090397499
140,YDR449C,0.6373978377871993
141,YMR097C,0.6370661030891768
142,YGR004W,0.6367350702149457
143,YJL189W,0.6364265192111446
144,YOR087W,0.6360446799262378
145,YCR087C-A,0.6355958913863484
146,YHR175W,0.6354936949283492
147,YIR021W,0.6351038684377205
148,YBR065C,0.6346904194036187
149,YDR087C,0.6343808369953602
150,YFL042C,0.6339652539521664
151,YCR007C,0.63365962321774
152,YMR243C,0.633338671335021
153,YER016W,0.6330603549795452
154,YFR046C,0.6327655598990448
155,YOR020C,0.6324613407518189
156,YDL037C,0.6320030622347632
157,YGL245W,0.6316804444403809
158,YJL019W,0.6315152692465708
159,YHR167W,0.6311598991221696
