selected_frac,energy_cost,strategy
0.05,1302133.770927415,Random
0.1,461291.46502121445,Random
0.15,256645.1627091731,Random
0.2,202851.24430644672,Random
0.25,135498.8741064162,Random
0.3,112258.12183941851,Random
0.35,93254.73683435365,Random
0.4,77803.2243084786,Random
0.45,47046.105807795204,Random
0.5,39573.44031988262,Random
0.55,34073.373278499916,Random
0.6,30471.411164041318,Random
0.65,27917.25589467154,Random
0.7,26091.717669703958,Random
0.75,19174.797424660163,Random
0.8,18038.637855117227,Random
0.85,17122.59786967559,Random
0.9,15847.91253869446,Random
0.95,7555.198998443926,Random
1.0,2523.7280829632327,Random
0.05,510103.1103822765,DC
0.1,110440.75411565918,DC
0.15,40527.186551490595,DC
0.2,23315.463703888126,DC
0.25,16565.154450778515,DC
0.3,12563.04955799743,DC
0.35,9981.848069131956,DC
0.4,8005.497586973313,DC
0.45,6657.299995970384,DC
0.5,5632.729989718466,DC
0.55,4896.369340535144,DC
0.6,4346.310643586818,DC
0.65,3911.391734924027,DC
0.7,3561.2530587444703,DC
0.75,3283.958116356118,DC
0.8,3063.882854472293,DC
0.85,2886.1565729227177,DC
0.9,2740.2204672772205,DC
0.95,2622.369706889103,DC
1.0,2523.7280829632327,DC
0.05,247522.95017696853,BC
0.1,54338.717370104394,BC
0.15,25916.268210188333,BC
0.2,17415.74263510764,BC
0.25,12836.297856877458,BC
0.3,10004.85412849598,BC
0.35,8154.497790636723,BC
0.4,6968.896021443852,BC
0.45,6014.387670632734,BC
0.5,5267.723026833499,BC
0.55,4613.954432697878,BC
0.6,4132.803416590927,BC
0.65,3760.8278134428406,BC
0.7,3475.526071715365,BC
0.75,3240.4765415987376,BC
0.8,3050.125679293235,BC
0.85,2882.968948845306,BC
0.9,2748.032785231535,BC
0.95,2627.0139766107777,BC
1.0,2523.7280829632327,BC
0.05,585768.148505158,EC
0.1,100795.23702595648,EC
0.15,43115.079620096774,EC
0.2,24561.167517118367,EC
0.25,15968.855093570226,EC
0.3,12104.662116875654,EC
0.35,9315.83852712646,EC
0.4,7582.314354515971,EC
0.45,6393.071050887844,EC
0.5,5478.929401556159,EC
0.55,4804.452767238838,EC
0.6,4280.714290171553,EC
0.65,3856.0267351144175,EC
0.7,3527.326365328271,EC
0.75,3262.7150561141675,EC
0.8,3051.845863269948,EC
0.85,2879.995333590519,EC
0.9,2738.2939116399707,EC
0.95,2621.702319534922,EC
1.0,2523.7280829632327,EC
0.05018083182640145,78545.84990421093,HyperDriver (Full)
0.09990958408679927,30504.575199995277,HyperDriver (Full)
0.15009041591320071,18255.852131809308,HyperDriver (Full)
0.19981916817359854,12984.204338549518,HyperDriver (Full)
0.25,10040.252355529463,HyperDriver (Full)
0.30018083182640143,8203.222471910525,HyperDriver (Full)
0.3499095840867993,6939.2747199740525,HyperDriver (Full)
0.05,749051333.0567071,w/o Greedy
0.1,97509125.76630612,w/o Greedy
0.15,37424996.882548876,w/o Greedy
0.2,21069373.66950535,w/o Greedy
0.25,12647045.625531033,w/o Greedy
0.3,8435333.268279025,w/o Greedy
0.35,6194068.47098615,w/o Greedy
0.4,4545105.371564374,w/o Greedy
0.45,3602577.6701305304,w/o Greedy
0.5,2994932.5672350163,w/o Greedy
0.55,2449441.452255939,w/o Greedy
0.6,2184513.435165439,w/o Greedy
0.65,1951417.1561852533,w/o Greedy
0.7,1692936.3940380616,w/o Greedy
0.75,1355906.0230573046,w/o Greedy
0.8,838310.1190647805,w/o Greedy
0.85,470401.9801659503,w/o Greedy
0.9,253240.07827239353,w/o Greedy
0.95,116580.96106944142,w/o Greedy
1.0,2523.728082963233,w/o Greedy
0.05018083182640145,847994.2096539064,w/o Hypergraph
0.09990958408679927,62126.6344491732,w/o Hypergraph
0.15009041591320071,18412.215978802116,w/o Hypergraph
0.19981916817359854,9077.574724488451,w/o Hypergraph
0.25,5602.2145584716945,w/o Hypergraph
0.30018083182640143,3952.6354436526753,w/o Hypergraph
0.3499095840867993,3039.4433717032916,w/o Hypergraph
0.05018083182640145,11315700.572441015,w/o Dynamics
0.09990958408679927,2018875.9284706563,w/o Dynamics
0.15009041591320071,709267.276616313,w/o Dynamics
0.19981916817359854,353003.4425379309,w/o Dynamics
0.25,222292.10748971437,w/o Dynamics
0.30018083182640143,158925.6146741971,w/o Dynamics
0.3499095840867993,123129.285729102,w/o Dynamics
