selected_frac,energy,strategy
0.05,112886.24996194692,Random
0.1,53408.94748373471,Random
0.15,38553.40702673994,Random
0.2,29098.96910311842,Random
0.25,21641.964367406592,Random
0.3,17720.843514031338,Random
0.35,14439.263975374883,Random
0.4,12927.197310415026,Random
0.45,11646.945606046604,Random
0.5,9913.918281267923,Random
0.55,8743.414768081659,Random
0.6,8078.644274046873,Random
0.65,5797.223533835706,Random
0.7,5329.353240766539,Random
0.75,4987.071664911353,Random
0.8,4749.615460034516,Random
0.85,4461.902925335127,Random
0.9,3077.143832080466,Random
0.95,2288.1798724746805,Random
1.0,2141.338915595586,Random
0.05,279910.6061533391,DC
0.1,42263.032092210684,DC
0.15,21061.758288368226,DC
0.2,14519.42627991419,DC
0.25,11309.437911364263,DC
0.3,9269.401590117279,DC
0.35,7832.603413428187,DC
0.4,6723.477485836728,DC
0.45,5781.487843100849,DC
0.5,5006.368048286202,DC
0.55,4437.106250502167,DC
0.6,3907.8125807728347,DC
0.65,3495.06890430917,DC
0.7,3168.31591223562,DC
0.75,2901.0601497035027,DC
0.8,2685.1519449758807,DC
0.85,2509.4325176165166,DC
0.9,2362.288702481059,DC
0.95,2242.877348212279,DC
1.0,2141.338915595586,DC
0.05,130595.22806067739,BC
0.1,31721.042518791055,BC
0.15,17683.248595704445,BC
0.2,12600.276639321602,BC
0.25,9818.203790847041,BC
0.3,8089.570618331272,BC
0.35,6966.365636030381,BC
0.4,6137.776284444448,BC
0.45,5390.391594351405,BC
0.5,4775.260673221505,BC
0.55,4147.734183816969,BC
0.6,3683.3810123271264,BC
0.65,3332.665346409409,BC
0.7,3056.9185517491824,BC
0.75,2835.1758268882486,BC
0.8,2650.8782940940546,BC
0.85,2494.67213930479,BC
0.9,2360.0738850831167,BC
0.95,2244.0626930301405,BC
1.0,2141.338915595586,BC
0.05,219212.40014162374,EC
0.1,45298.54333794438,EC
0.15,21688.035364525305,EC
0.2,14311.615898442076,EC
0.25,10686.927628899728,EC
0.3,8749.842486949005,EC
0.35,7235.979831132265,EC
0.4,6232.869322537746,EC
0.45,5388.825874491949,EC
0.5,4720.064521784002,EC
0.55,4208.0123824132215,EC
0.6,3743.98401881648,EC
0.65,3393.2721427073675,EC
0.7,3092.465535411864,EC
0.75,2857.5821796581913,EC
0.8,2659.6221751501485,EC
0.85,2496.573542285239,EC
0.9,2359.2962347327966,EC
0.95,2242.543626950829,EC
1.0,2141.338915595586,EC
0.050203527815468114,52116.64982721854,HyperDriver
0.09995477159656264,23484.895433394748,HyperDriver
0.15015829941203077,15058.022122767696,HyperDriver
0.1999095431931253,11103.514837650673,HyperDriver
0.2501130710085934,8736.053145780048,HyperDriver
0.29986431478968795,7201.513025538251,HyperDriver
0.05,876162094.2435935,w/o Greedy
0.1,146193202.47878936,w/o Greedy
0.15,24440067.96718388,w/o Greedy
0.2,9380482.544058237,w/o Greedy
0.25,4899241.6158142425,w/o Greedy
0.3,3216241.062159562,w/o Greedy
0.35,2372804.5233797017,w/o Greedy
0.4,1678742.8420532886,w/o Greedy
0.45,1326392.826628207,w/o Greedy
0.5,899335.2195139977,w/o Greedy
0.55,629444.5990351639,w/o Greedy
0.6,481380.328552196,w/o Greedy
0.65,381316.43663987407,w/o Greedy
0.7,281974.78229761164,w/o Greedy
0.75,182470.0139836033,w/o Greedy
0.8,126697.10615324894,w/o Greedy
0.85,88374.99874447312,w/o Greedy
0.9,56110.974352214405,w/o Greedy
0.95,29849.109808792397,w/o Greedy
1.0,2141.3389155955856,w/o Greedy
0.050203527815468114,782332.6530621321,w/o Hypergraph
0.09995477159656264,24354.802823193313,w/o Hypergraph
0.15015829941203077,7126.747314699935,w/o Hypergraph
0.1999095431931253,3395.090558536364,w/o Hypergraph
0.2501130710085934,2082.682900769016,w/o Hypergraph
0.29986431478968795,1500.2529667997233,w/o Hypergraph
0.050203527815468114,9706620.842702303,w/o Dynamics
0.09995477159656264,1439562.520816598,w/o Dynamics
0.15015829941203077,523151.0283026271,w/o Dynamics
0.1999095431931253,286862.00716866076,w/o Dynamics
0.2501130710085934,189374.54394913182,w/o Dynamics
0.29986431478968795,140773.55480453474,w/o Dynamics
