protein,score
YGR286C,0.9999999999996096
YBL027W,0.9900809048112618
YDL075W,0.9787139858830879
YHL033C,0.9778481094220539
YHL001W,0.9720449187522712
YLR448W,0.9625044900039736
YDR099W,0.9592648984229152
YPL206C,0.9560073466727946
YBR010W,0.9550053706833316
YBL072C,0.9543988272179877
YMR186W,0.9523017416671015
YOR007C,0.9512186620056886
YBR067C,0.9469405800021653
YBR189W,0.9451595581915132
YBR101C,0.9449527174575768
YMR145C,0.9448065377068331
YJR009C,0.9446754642793601
YAL054C,0.944027839977678
YLR287C-A,0.9436773366592104
YJL052W,0.943057115852303
YGR231C,0.9428053658664103
YJR109C,0.9427041624502908
YGR085C,0.9420515547728683
YEL037C,0.9410286073828044
YGL076C,0.9408407339319252
YKL054C,0.9408139953837451
YCR073W-A,0.9402008692046326
YMR242C,0.9397766411578569
YNL135C,0.9392379391331295
YNL064C,0.9391269481945933
YGR214W,0.9380699256878444
YGL026C,0.937534640324498
YLR216C,0.9367890124597534
YBR062C,0.9359899446885489
YLL026W,0.9355481161030812
YML012W,0.9355428593830388
YNL067W,0.9354233031477832
YDR012W,0.9348611815568537
YLR061W,0.9347695910073783
YLR192C,0.9347623506047512
YBR159W,0.9346494786619984
YER056C-A,0.9345671988813213
YBR072W,0.9343520040639317
YOR375C,0.9340683578376241
YHR021C,0.9340650846830942
YGR204W,0.9340631412077979
YNL307C,0.9337422570491576
YDR304C,0.9333678179611213
YHR018C,0.9333570172482389
YMR123W,0.933214368048941
YLR342W,0.9331623766319396
YPL178W,0.9331602913344005
YHR146W,0.9330822212672343
YFL034C-A,0.9325713743103393
YFR031C-A,0.9324516085099481
YJL138C,0.9324436747427436
YPL048W,0.9323733359333362
YHR064C,0.9321714267605391
YDL131W,0.9319431224180006
YIR037W,0.9319004782249133
YJL066C,0.9317751167043669
YGL020C,0.931551512882478
YDL182W,0.9314138014803873
YNL096C,0.9313202887456546
YJR104C,0.9312753712685461
YLL040C,0.9309479297668862
YOR209C,0.9309432514582541
YBR221C,0.9308087319042109
YBL091C,0.9307865508587643
YOR185C,0.9307678292071508
YGR285C,0.930750140492569
YML072C,0.9306709660996351
YKL204W,0.9306513446432346
YHR193C,0.9304127840852192
YOR234C,0.9302738943551432
YFR010W,0.9302146674041284
YMR303C,0.930213743908164
YML028W,0.9301759650348441
YPL004C,0.9300193388265993
YKR054C,0.9300053688825922
YMR031C,0.9299026730414641
YKL077W,0.9298503758935176
YPL031C,0.9297878974253891
YPL059W,0.9297685459119526
YDL061C,0.9297358619364547
YPL013C,0.9297356616819809
YNL071W,0.929734710448559
YHR163W,0.9297076793838149
YNL301C,0.9297018772554788
YOR369C,0.9296946054282672
YMR194W,0.9295281858166259
YPR020W,0.9294996930851526
YLR185W,0.9294915696020599
YGR125W,0.9293228884435212
YKL010C,0.9292990264915361
YDL022W,0.929253588447306
YIL043C,0.9292202537820938
YBR169C,0.9292097765352251
YER178W,0.92916630345254
YNL052W,0.9291474380577537
YGL167C,0.9291053312712112
YOR276W,0.9290669324192241
YEL001C,0.9290324754529695
YMR173W,0.9289801878108032
YGL173C,0.928978154928078
YLL045C,0.9289129374934619
YOR289W,0.9288847925447421
YDR335W,0.9288645111112481
YMR311C,0.9288546129698336
YAR002C-A,0.928837627498036
YOL081W,0.9287949353889822
YMR297W,0.9287526825232231
YPR023C,0.9287402335842112
YDR001C,0.928733402905503
YAL021C,0.928689808527754
YLR406C,0.9286132690162301
YJL080C,0.9285029518702675
YGR020C,0.9284702598674506
YGL013C,0.9284369913560444
YPR191W,0.9284368310426403
YJR094W-A,0.9283902728948199
YER086W,0.9283861567629981
YDR457W,0.9283227534818473
YLR256W,0.9282893607994314
YBL047C,0.92824629720667
YDR129C,0.9282091432044774
YOR265W,0.9281664050700107
YGR220C,0.928151758096214
YER089C,0.9281415709449705
YBR222C,0.9280805664622298
YOR290C,0.9280773391320537
YCR031C,0.9280515235197272
YDR248C,0.9280411029232671
YKL069W,0.9280279464419887
YGL200C,0.9279980950076072
YMR110C,0.9279946526152382
YLR439W,0.9279941000338933
YER048C,0.9279911644366257
YIL076W,0.927970349632147
YAR015W,0.9279467353160844
YBR082C,0.9279314344459153
YLR262C-A,0.9279237670868616
YHR087W,0.9279145984828051
YDL083C,0.927906162349362
YGR232W,0.9279022812035658
YLR418C,0.9278556203563324
YFR032C-A,0.9278254344084211
YKL179C,0.9278008464811462
YIL153W,0.9277952232957952
YER083C,0.9277945136578748
YDR071C,0.9277317845857553
YNL209W,0.9277179340887226
YOR173W,0.9277107860052229
YPR184W,0.9277074628829223
YDR063W,0.9276762358417238
YPL061W,0.9276557854097535
YHR138C,0.9276369489113873
YMR099C,0.9276078671659937
YGR136W,0.9275861051491843
YBL045C,0.9275673189031814
YCR028C-A,0.9275052987445785
YKR076W,0.9274968692898283
YFL014W,0.9274645264277195
YDL081C,0.9273969916205389
YPR052C,0.9273829536437592
YBR054W,0.9273765177111176
YDR357C,0.9273723761333104
YDR494W,0.9273647656175044
YGR061C,0.9273145096391165
YOR241W,0.9273127863864653
YLR257W,0.9273037618314479
YNL098C,0.9272680854031898
YPR062W,0.9272550600749044
YLL029W,0.9272511631293268
YER174C,0.9272456454244796
YML101C,0.9272427750448166
YER120W,0.927235230387499
YER177W,0.9272152985143104
YML124C,0.9272147025681121
YHL029C,0.9272094390856113
YIL034C,0.9271618366712961
YDR405W,0.9271599657226878
YEL051W,0.9271597531868845
YFL018C,0.9271525704138249
YBR001C,0.9271392393803938
YDL130W,0.9271295758272757
YJR014W,0.9271258796970295
YDL025C,0.9271237709989969
YLR203C,0.9271213437920959
YHR106W,0.927119892421001
YGL125W,0.9271152159163633
YKL167C,0.9270929349895397
YBR139W,0.9270749247978909
YBR026C,0.9270747963380441
YDR155C,0.927041427114294
YEL071W,0.9270373160233301
YJL063C,0.9270331656781171
YPR029C,0.9270315921055866
YHL034C,0.9269914758644924
YJR010C-A,0.9269739788436688
YLR043C,0.9269465913637183
YJR059W,0.9269456486511715
YLR333C,0.9269412839416492
YBR249C,0.9269316557961239
YOR187W,0.9269225702101326
YMR116C,0.9269219415018782
YDR074W,0.9269216258410605
YPL220W,0.9269145367047721
YNL121C,0.9268937544114081
YER074W,0.9268926242487865
YOR065W,0.9268833044888206
YLR219W,0.9268733568849793
YLR069C,0.9268669038879452
YPL170W,0.926866716013267
YLR028C,0.9268637840640175
YPR074C,0.9268517228750559
YLR199C,0.9268212827893317
YFR017C,0.9268189120856671
YJL117W,0.9268132641887292
YOL068C,0.9267874939449608
YPR008W,0.9267634779106801
YOR220W,0.9267618556502898
YLR264W,0.9267558898135804
YNL015W,0.9267527329506275
YOR323C,0.9267469123100075
YPL006W,0.9267461816003048
YJR113C,0.9267461206528579
YMR083W,0.9267354610331605
YOR267C,0.9267104768113107
YBR095C,0.9266987625141437
YHR161C,0.9266965450209746
YPR057W,0.9266855362555915
YMR120C,0.9266783568088267
YNL315C,0.9266686943666318
YDR272W,0.9266609596329792
YDL099W,0.9266530023996069
YCR033W,0.926631268047126
YNL086W,0.9266279663455685
YKL142W,0.9266147587172796
YIL133C,0.9266142201038652
YMR142C,0.92658404878561
YPL225W,0.9265814614308535
YHR089C,0.9265717696007179
YKL003C,0.9265635566370547
YBL017C,0.9265440736418217
YPL037C,0.9265263873495665
YML007W,0.9265254442796456
YGR118W,0.9265237077546822
YOL088C,0.926518604731164
YAL062W,0.9265024241091743
YGR086C,0.9264933224584244
YLR398C,0.9264886039946465
YOL016C,0.9264842047342844
YER131W,0.9264766335484482
YDR477W,0.9264742828165017
YOL086C,0.9264725198863596
YGL062W,0.9264643955114436
YNL084C,0.9264622172116328
YBR103W,0.926453946824534
YNL284C,0.9264511013170049
YDR418W,0.9264503871157798
YPR114W,0.9264372595922701
YFR024C-A,0.9264370993351632
YBR218C,0.9264334830468142
YMR089C,0.9264293312922305
YMR191W,0.9264255106911348
YIL094C,0.9264198875170302
YGL067W,0.9264172120200594
YCR076C,0.9264104181040862
YCR030C,0.9264084213250512
YGR031W,0.9264070325436949
YLR023C,0.9264028157413249
YKR006C,0.9264005636013959
YOR109W,0.9263940825445273
YNR031C,0.9263930355153622
YCR008W,0.926383453858318
YNL252C,0.9263798601336688
YDL035C,0.9263730448351892
YKL126W,0.9263721383745958
YMR189W,0.9263685979573124
YGR167W,0.9263595152510784
YPL179W,0.926355564115142
YLR025W,0.9263521941434352
YLL023C,0.926352113146401
YMR304W,0.9263457467248228
YOR043W,0.9263454350629178
YDL095W,0.9263400721249928
YGL195W,0.9263381963279467
YLR179C,0.9263310697399905
YLR330W,0.926328394183976
YOR141C,0.9263116232731679
YDR424C,0.9263015806753633
YNR036C,0.9263004847643209
YCR077C,0.9262930137799744
