rank,protein,driver_score
1,YPR189W,0.999999999950488
2,YDR110W,0.9090475299350087
3,YGL099W,0.8757136639564203
4,YGR075C,0.8467000262393288
5,YLR117C,0.8236618099184002
6,YBR054W,0.8166822051635244
7,YBR098W,0.800753340744049
8,YIL091C,0.7895167069611766
9,YLR287C,0.7871300400109731
10,YPL065W,0.7733353881082826
11,YPR175W,0.7680830742383027
12,YNL021W,0.761935254442116
13,YIL095W,0.7572430123712679
14,YCR084C,0.7556512358385107
15,YDR475C,0.7493523633385696
16,YJR005W,0.7428562346431559
17,YLR002C,0.7382096570702501
18,YBR229C,0.7357787343475671
19,YOR319W,0.732370077635708
20,YLR028C,0.7299143112582667
21,YDR087C,0.7282680211193929
22,YFR008W,0.725169321889231
23,YMR048W,0.722695024807137
24,YMR223W,0.722122972519902
25,YCL017C,0.7191266817867095
26,YJL035C,0.7146885862889213
27,YMR134W,0.7136691777799944
28,YLR170C,0.7099495315059455
29,YGL068W,0.7080828145251367
30,YPL018W,0.7058887527709596
31,YPL208W,0.7034913098029806
32,YKR064W,0.7020943448107011
33,YMR120C,0.7003558056774615
34,YMR173W,0.6970088339341658
35,YPR178W,0.6967018550178062
36,YGL246C,0.6951276264825816
37,YGR159C,0.6931772549855987
38,YMR322C,0.6920104016670159
39,YBR231C,0.6907218252877234
40,YPR047W,0.6906197580569294
41,YKL040C,0.6891341442680816
42,YDR285W,0.6877156170817571
43,YMR020W,0.6866518017674214
44,YAL027W,0.6861032147779962
45,YOR335C,0.684624654497232
46,YPR164W,0.6835211725884354
47,YOR323C,0.6814000778646518
48,YGL110C,0.6793877507207515
49,YDR299W,0.6785853791610997
50,YHR187W,0.6781149825254242
51,YER174C,0.6769712035442238
52,YOR157C,0.6753431165274303
53,YNR011C,0.6746506018950958
54,YPR171W,0.673077919243113
55,YML085C,0.6728706189817111
56,YGL129C,0.6723886433217585
57,YML041C,0.6715770083733755
58,YHL029C,0.6701652185866765
59,YOR219C,0.6685995625285603
60,YIL105C,0.6677251792908774
61,YJL179W,0.6674578066730231
62,YMR193W,0.6666553709208857
63,YBR212W,0.6651714874164917
64,YOL135C,0.6650106035944567
65,YNL282W,0.6637230586469278
66,YER021W,0.6625570635623431
67,YNL317W,0.6615378961228915
68,YLR060W,0.6610876400626671
69,YDR357C,0.6598315995459034
70,YML064C,0.658551648372951
71,YDL100C,0.6575684345376271
72,YPL255W,0.6571807187709501
73,YOR058C,0.6565821171257056
74,YDR443C,0.6565019984126751
75,YOR279C,0.6553993962043819
76,YMR240C,0.6551212115943421
77,YMR019W,0.6550438373859917
78,YLR154C,0.6536034000232753
79,YBR197C,0.6526800290878015
80,YDR341C,0.6517523634192384
81,YGL115W,0.6508961404481706
82,YNL222W,0.6507221364646468
83,YDR348C,0.6500460979676477
84,YPL146C,0.6493256260774146
85,YNL092W,0.6489941613808042
86,YIR010W,0.6484259119997221
87,YMR109W,0.6480176607143371
