index,protein,dc
0,YLR370C,28.0302449783338
1,YPR168W,53.35477435184982
2,YBR288C,15.51224902363363
3,YDR404C,117.2645261501969
4,YDR334W,172.48956484570212
5,YOR140W,16.304014922111
6,YBR011C,30.314433716404285
7,YNL312W,22.34296368587292
8,YGR111W,2.41363479375503
9,YML112W,8.65897721158192
10,YDR502C,31.79878643360894
11,YDL182W,111.0931582584182
12,YPL105C,2.07252369821743
13,YBR126C,17.14612500251018
14,YPL233W,12.923329030683231
15,YBL018C,12.911020870402979
16,YNL104C,8.361473628124191
17,YJR138W,77.62983585471697
18,YHR101C,47.80597431764218
19,YDL208W,12.029703207183271
20,YDR054C,38.980172184410236
21,YJL080C,272.8763342062256
22,YCR084C,2.09496636238833
23,YPR019W,71.16611786631113
24,YHR076W,2.84973510356852
25,YLR312C,198.32544480208944
26,YER086W,21.42064400763211
27,YDR110W,4.19848667450063
28,YBR108W,121.1108910973094
29,YOL125W,18.81816479582315
30,YJR032W,18.8340313770618
31,YNL216W,2.27197700451092
32,YKL157W,1.77626594400723
33,YBR229C,52.52471581512434
34,YOR158W,59.884469842823904
35,YDR083W,8.11366017063332
36,YDR074W,19.217239464447218
37,YML032C,6.55400767748752
38,YJL155C,2.67119383008425
39,YMR061W,16.57792451128516
40,YCR093W,53.24097486550093
41,YER055C,21.130863513240012
42,YIL031W,4.86230568624336
43,YCR092C,22.47635815353561
44,YIL142W,13.646433109025189
45,YGL021W,17.25599534499976
46,YCR065W,10.18870899665324
47,YBR055C,125.53403639242966
48,YGR232W,392.04822578247786
49,YOR141C,106.42774647687035
50,YMR028W,14.68296349168904
51,YPL081W,160.88088245847783
52,YJL122W,21.03981419382403
53,YML060W,5.68107920735536
54,YJR084W,5.54023224423021
55,YBL057C,128.26943651891352
56,YER157W,17.07897642342364
57,YJL082W,30.24334954954107
58,YHR176W,9.691951140236249
59,YER151C,24.68408773279388
60,YJR043C,5.52092893365277
61,YMR263W,88.00612513705379
62,YOR052C,14.3219366713343
63,YDR373W,5.12171210807944
64,YFR029W,31.60467874184176
65,YLR384C,63.4485844921598
66,YDL003W,32.476345671488865
67,YHR041C,100.2603132878794
68,YHL035C,103.27514581375114
69,YJL159W,18.97715242809348
70,YDR186C,73.58917789049885
71,YJL036W,61.92258458215796
72,YOR304C-A,9.62300063683728
73,YDR369C,46.654641113557645
74,YPL015C,32.54817782428225
75,YDR177W,41.46934828987984
76,YDL143W,17.317367424046566
77,YFL008W,2.47862723298272
78,YGL124C,5.97697779977492
