selected_frac,energy_cost,strategy
0.05,1112389.05274398,Random
0.1,341070.0929061114,Random
0.15,171133.80211499735,Random
0.2,113018.08925146917,Random
0.25,95013.87421316498,Random
0.3,63886.341560109395,Random
0.35,37703.220892842226,Random
0.4,34260.97538823419,Random
0.45,30222.370694955967,Random
0.5,26707.12313527791,Random
0.55,22514.578207043887,Random
0.6,15322.186133182602,Random
0.65,11953.994537928247,Random
0.7,4684.199262525184,Random
0.75,3676.0569925223185,Random
0.8,3249.7757327012073,Random
0.85,2967.5759838034046,Random
0.9,2755.6904387027707,Random
0.95,2576.4578820055376,Random
1.0,2390.8386949578826,Random
0.05,494059.785305617,DC
0.1,74226.27450496392,DC
0.15,38516.783814870876,DC
0.2,23424.306449511438,DC
0.25,17159.196860510245,DC
0.3,12990.045501779785,DC
0.35,10581.075162340927,DC
0.4,8675.281978366464,DC
0.45,7256.876795915676,DC
0.5,6021.249883334602,DC
0.55,5152.334568948672,DC
0.6,4506.804584127378,DC
0.65,4013.577770429859,DC
0.7,3595.615958062892,DC
0.75,3241.8553908254225,DC
0.8,2968.80202998276,DC
0.85,2763.3389882419806,DC
0.9,2607.029381533888,DC
0.95,2485.539760713882,DC
1.0,2390.8386949578826,DC
0.05,224657.05274439283,BC
0.1,56000.44720803218,BC
0.15,25225.15109008926,BC
0.2,16770.731677199685,BC
0.25,12582.94485903503,BC
0.3,9928.794328835007,BC
0.35,8286.907037905665,BC
0.4,7060.45043599131,BC
0.45,6029.142188169188,BC
0.5,5135.895433502388,BC
0.55,4632.1828523586355,BC
0.6,4195.506184119242,BC
0.65,3711.074018047253,BC
0.7,3357.9589816552248,BC
0.75,3103.7792134580955,BC
0.8,2901.0252014813386,BC
0.85,2742.8940897101356,BC
0.9,2608.4579427417148,BC
0.95,2487.911884278763,BC
1.0,2390.838694957883,BC
0.05,532216.8015290485,EC
0.1,70494.94648080153,EC
0.15,36711.33218196886,EC
0.2,21080.599015656684,EC
0.25,15739.678246636751,EC
0.3,12358.30472979003,EC
0.35,9717.357768780059,EC
0.4,8001.168302736755,EC
0.45,6722.071392175038,EC
0.5,5696.455109574601,EC
0.55,4994.105262479558,EC
0.6,4437.869518887917,EC
0.65,3896.532124099531,EC
0.7,3504.0022176233315,EC
0.75,3195.0949309852745,EC
0.8,2951.323053484596,EC
0.85,2758.194344962014,EC
0.9,2606.4548264194377,EC
0.95,2485.765558951548,EC
1.0,2390.838694957883,EC
0.04995242626070409,74682.33860709131,HyperDriver (Full)
0.09990485252140818,29255.511808346317,HyperDriver (Full)
0.14985727878211227,17717.71944275329,HyperDriver (Full)
0.19980970504281637,12554.223926054467,HyperDriver (Full)
0.25023786869647957,9683.84270518623,HyperDriver (Full)
0.30019029495718363,7908.04956302313,HyperDriver (Full)
0.05,356720417.9563801,w/o Greedy
0.1,64201493.46512438,w/o Greedy
0.15,22491487.718358453,w/o Greedy
0.2,10371935.913433207,w/o Greedy
0.25,6075856.55335174,w/o Greedy
0.3,3954282.729699308,w/o Greedy
0.35,2816184.110155827,w/o Greedy
0.4,2134322.603961332,w/o Greedy
0.45,1727292.2478658103,w/o Greedy
0.5,1469985.2381902686,w/o Greedy
0.55,1208646.2790088234,w/o Greedy
0.6,1136174.3317019683,w/o Greedy
0.65,1037294.6758878962,w/o Greedy
0.7,744538.6438805576,w/o Greedy
0.75,452879.5865879444,w/o Greedy
0.8,283199.8898254344,w/o Greedy
0.85,178051.96906496142,w/o Greedy
0.9,108119.4174783032,w/o Greedy
0.95,60166.65283025368,w/o Greedy
1.0,2390.838694957883,w/o Greedy
0.04995242626070409,1470460.5755330906,w/o Hypergraph
0.09990485252140818,62259.32612460289,w/o Hypergraph
0.14985727878211227,18782.573779227932,w/o Hypergraph
0.19980970504281637,9213.347134540172,w/o Hypergraph
0.25023786869647957,5739.234939777603,w/o Hypergraph
0.30019029495718363,4104.348476192461,w/o Hypergraph
0.04995242626070409,8890191.249232128,w/o Dynamics
0.09990485252140818,1537397.221729732,w/o Dynamics
0.14985727878211227,558884.0782098953,w/o Dynamics
0.19980970504281637,304394.7834951144,w/o Dynamics
0.25023786869647957,200436.6336032393,w/o Dynamics
0.30019029495718363,146474.54228677516,w/o Dynamics
