selected_frac,energy,strategy
0.05,152498.84888444038,Random
0.1,73860.54163665707,Random
0.15,42516.353110967546,Random
0.2,27582.26344023482,Random
0.25,16971.28814389962,Random
0.3,13287.305686239843,Random
0.35,11148.885491572506,Random
0.4,9885.095793374467,Random
0.45,8781.109639805018,Random
0.5,8021.252458059267,Random
0.55,6054.145511333286,Random
0.6,5514.740241382649,Random
0.65,5121.219300965402,Random
0.7,4508.16442858644,Random
0.75,4120.529160934288,Random
0.8,2890.680114390198,Random
0.85,2720.13089802854,Random
0.9,2550.4787222613672,Random
0.95,2348.0229147029395,Random
1.0,2153.287073397316,Random
0.05,233451.63606895492,DC
0.1,52328.29818081569,DC
0.15,24543.361273293165,DC
0.2,17686.94336841994,DC
0.25,14022.202635503041,DC
0.3,10999.314025409923,DC
0.35,8841.677729813862,DC
0.4,7382.157616572501,DC
0.45,6259.7922659421065,DC
0.5,5409.331287747182,DC
0.55,4720.46882440363,DC
0.6,4186.789313625513,DC
0.65,3701.0816725490413,DC
0.7,3319.8059509769637,DC
0.75,3002.0844460395,DC
0.8,2735.616068590023,DC
0.85,2533.3894984528733,DC
0.9,2375.2431362696097,DC
0.95,2251.813474385297,DC
1.0,2153.287073397316,DC
0.05,152165.7331663332,BC
0.1,37285.613756426486,BC
0.15,19829.02932163795,BC
0.2,13650.284324966431,BC
0.25,10515.363093747168,BC
0.3,8521.365498081901,BC
0.35,7188.0378958668725,BC
0.4,6331.992870768885,BC
0.45,5468.079681956601,BC
0.5,4784.155849439535,BC
0.55,4328.359228779831,BC
0.6,3889.87941038348,BC
0.65,3429.795687621666,BC
0.7,3097.5850490395605,BC
0.75,2854.51161247234,BC
0.8,2663.1137404029796,BC
0.85,2503.2023132388276,BC
0.9,2370.061547676919,BC
0.95,2252.7291019443214,BC
1.0,2153.287073397316,BC
0.05,175071.93510794564,EC
0.1,41126.82161676228,EC
0.15,21826.72064594083,EC
0.2,15317.764808784246,EC
0.25,12004.375779144611,EC
0.3,9987.295083833269,EC
0.35,8113.683526567918,EC
0.4,6973.609753063089,EC
0.45,5828.543575858282,EC
0.5,5060.795134639844,EC
0.55,4454.2221987909525,EC
0.6,3988.027293998609,EC
0.65,3547.959672933697,EC
0.7,3196.161778407554,EC
0.75,2918.7003502030107,EC
0.8,2690.6575880422865,EC
0.85,2515.5118627013203,EC
0.9,2370.3097556096177,EC
0.95,2250.920623370728,EC
1.0,2153.287073397316,EC
0.050023820867079564,54687.139253360176,HyperDriver
0.10004764173415913,24094.32848907802,HyperDriver
0.1500714626012387,15214.333420166764,HyperDriver
0.20009528346831826,11102.461885000192,HyperDriver
0.2501191043353978,8735.3186987754,HyperDriver
0.3001429252024774,7209.450462078055,HyperDriver
0.05,6170465988.625467,w/o Greedy
0.1,960525972.5612067,w/o Greedy
0.15,35052073.17786251,w/o Greedy
0.2,10695508.974083524,w/o Greedy
0.25,6173148.421664611,w/o Greedy
0.3,4272737.049712303,w/o Greedy
0.35,2732175.3954571853,w/o Greedy
0.4,1934606.4286128615,w/o Greedy
0.45,1324831.0467160468,w/o Greedy
0.5,1023723.5087093976,w/o Greedy
0.55,756139.2866790235,w/o Greedy
0.6,519367.4472020144,w/o Greedy
0.65,370095.5613915045,w/o Greedy
0.7,249448.01460877783,w/o Greedy
0.75,177226.7238649025,w/o Greedy
0.8,122694.13545806472,w/o Greedy
0.85,75293.64839022067,w/o Greedy
0.9,42498.3349604655,w/o Greedy
0.95,21713.695978628537,w/o Greedy
1.0,2153.287073397316,w/o Greedy
0.050023820867079564,629573.7632250998,w/o Hypergraph
0.10004764173415913,32597.589805357504,w/o Hypergraph
0.1500714626012387,9535.99272000515,w/o Hypergraph
0.20009528346831826,4853.004641991749,w/o Hypergraph
0.2501191043353978,3143.1519017744818,w/o Hypergraph
0.3001429252024774,2289.813646748952,w/o Hypergraph
0.050023820867079564,6393204.016214579,w/o Dynamics
0.10004764173415913,1164787.7853683452,w/o Dynamics
0.1500714626012387,462228.7591743366,w/o Dynamics
0.20009528346831826,262042.52782405968,w/o Dynamics
0.2501191043353978,177458.93994760932,w/o Dynamics
0.3001429252024774,133277.8176300092,w/o Dynamics
