protein,score
YPL198W,0.9999999999992196
YHR200W,0.9845513271656624
YBL072C,0.9738560887576392
YOR007C,0.9596098119315959
YLR150W,0.9524654191796555
YEL037C,0.9491233480350771
YMR186W,0.9481107334248368
YHL033C,0.944314964493844
YFR044C,0.943927047528018
YLR028C,0.9349427684562346
YOR096W,0.9343746826545026
YML008C,0.9334342104482495
YNL255C,0.9308480778879549
YLR044C,0.9305045845609934
YBR025C,0.9280155553408123
YLR441C,0.927645189483097
YMR205C,0.927577834507886
YBR189W,0.9273350501308695
YJR121W,0.9259812566582974
YDL185W,0.9252805033353171
YAL062W,0.924396750148245
YDR012W,0.9233126995583166
YPL048W,0.9216325555758033
YCL011C,0.9206540726614647
YMR105C,0.9203998777477675
YML063W,0.9200339188330978
YLR345W,0.9199451522841424
YJR156C,0.9199353432361596
YPL061W,0.9196089138639831
YPL004C,0.9191116638561478
YGR285C,0.9189335954952556
YPL081W,0.9189252280279891
YFL018C,0.9182846506567256
YJR137C,0.9179267693114981
YKL085W,0.917540927390665
YJL052W,0.9174891659961233
YKR048C,0.9173075261456898
YDR418W,0.9166604147280055
YNL071W,0.9158779662114994
YBR127C,0.915855875632256
YGR214W,0.9157422066294998
YMR116C,0.9153043595945932
YER074W,0.9151490477056247
YDL182W,0.9151232769311223
YER007C-A,0.9150168431020214
YBL099W,0.9147418992695067
YLR178C,0.9146612360185247
YJR009C,0.9145612973900106
YGR192C,0.9139411138750094
YHR064C,0.91349961910678
YDR335W,0.913345003179606
YDR174W,0.9133288431951869
YDR471W,0.913315895622221
YLR354C,0.9132760586006115
YLR089C,0.913228431412371
YDR363W-A,0.91308529242256
YNL064C,0.9130588185215631
YOL086C,0.9130290150008886
YPL031C,0.9128820846307867
YLR216C,0.9128031110697133
YOR120W,0.9127334776832978
YNL030W,0.9126960350903781
YDR127W,0.9126601545627255
YHR193C,0.9124794480860082
YAL060W,0.9124111111131228
YOR332W,0.9123692713407805
YER090W,0.9122647718798608
YBR218C,0.9121027209974453
YPR191W,0.9120760522056478
YDL066W,0.9119451496192229
YMR062C,0.9117995418465027
YML004C,0.9117567228016449
YKL160W,0.9116537178521834
YNL307C,0.9115416602786396
YBL045C,0.9113997154120607
YLR447C,0.911356552483513
YBR249C,0.9112555963386978
YDR158W,0.9111283279844794
YLR448W,0.9109625809475113
YDR457W,0.9107809757492097
YFR010W,0.9107352424145511
YBL087C,0.9107079374198238
YNL045W,0.9106355982808723
YGR204W,0.9105873132470523
YDR388W,0.9105741918173148
YOR185C,0.9105699334879677
YOR270C,0.9104897792006826
YHR010W,0.9104394166309767
YKL043W,0.9102739739224935
YDR148C,0.9102601233025123
YPR074C,0.909982439431065
YPL226W,0.9099636132950846
YKL056C,0.9099493943958731
YCR053W,0.9098701338349061
YNL067W,0.909839592148206
YML073C,0.9097391649244781
YIL125W,0.9096507790509187
YML024W,0.909602293062353
YLR185W,0.909308090671639
YBR031W,0.9092120782265186
YNL301C,0.909207768678569
YGL253W,0.909188196005915
YNL274C,0.9091645438760034
YNL052W,0.9091403401085563
YDR099W,0.9091389789667444
YDR486C,0.9090758398923119
YNL239W,0.9090307770783421
YBR248C,0.9088551217296235
YIL034C,0.9087964670096625
YPL059W,0.9087401393970368
YOR061W,0.9087222726365028
YKL213C,0.9087195418989265
YLR203C,0.908541709084616
YBL017C,0.9085068016012505
YAR015W,0.9083995739640793
YDR225W,0.9082184065733742
YDL100C,0.9080334882126649
YJR104C,0.9080329222879985
YER069W,0.9079905511246489
YNL069C,0.9078846660265067
YFR017C,0.9078542087566291
YBR095C,0.9078139809056431
YDR452W,0.9077773035441642
YDR368W,0.9077179321355558
YGR135W,0.9077160730921902
YGR240C,0.9076704861902022
YPR069C,0.9075791637161046
YFL014W,0.9075129011473999
YDL019C,0.9074593183440658
YLR367W,0.9074448258445108
YGL173C,0.9074152019255857
YHR089C,0.9072811659758274
YPR102C,0.9072323782657463
YGL009C,0.9071767950539326
YPR184W,0.9071210156080799
YJL177W,0.9070933284459802
YMR072W,0.9070915196772699
YMR237W,0.9068522556846279
YER020W,0.9068505417462853
YNL315C,0.9068020766823932
YMR100W,0.9067763032439854
YDL131W,0.9066795503996463
YOR142W,0.9066529887183378
YDL236W,0.9066403419498297
YEL031W,0.9066255416607409
YER091C,0.9065901383116057
YHR097C,0.9065876825535383
YER031C,0.9065193578876549
YFR031C-A,0.9064589094244296
YOL036W,0.9063302681349025
YOR374W,0.9062922839190903
YPL037C,0.906215428229961
YOL051W,0.9061704921020385
YHR183W,0.9061703932487392
YMR012W,0.9061186834713275
YDR272W,0.9061114953086222
YFR024C-A,0.90599691175408
YDR502C,0.9059887408908117
YLR257W,0.905958359657204
YDR063W,0.9059581766485602
YJL153C,0.9059419715096004
YIL136W,0.9059044084428534
YLR422W,0.905893084098303
YML074C,0.9058914047809657
YGR127W,0.9058178829030011
YER103W,0.9057658900364518
YHL029C,0.905741890348361
YBL027W,0.9057265319053758
YHL024W,0.9057084894400218
YOL126C,0.9056943020132716
YGR027C,0.9056839875921415
YLR083C,0.9056831939518896
YBR268W,0.9056384041208005
YBR151W,0.9056230659687888
YDR011W,0.9055821183585948
YPR029C,0.90556221064761
YER105C,0.9055098475900635
YPR145W,0.9054962251642186
YOR375C,0.9054209460788013
YKR031C,0.9053328728180093
YMR027W,0.9053288628551848
YFR053C,0.9053266129743711
YDR071C,0.9052918325196713
YDR405W,0.9052871754774756
YOR086C,0.9052666556517214
YIL155C,0.9052656359656551
YBR023C,0.9052635711707828
YDL188C,0.9051210382698474
YJL063C,0.905074764949853
YOR184W,0.9050653880832491
YOL012C,0.904891572511386
YNL099C,0.9048875340468121
YML117W,0.9048643739820945
YJL190C,0.9048445951302393
YGL084C,0.9047263897339353
YLR113W,0.9046918402953992
YHR104W,0.904651589585584
YJR059W,0.9046504502990581
YDR477W,0.9046483963943943
YIL074C,0.9046392652550287
YCR020C-A,0.9046353096375495
YPL090C,0.9046205678825077
YOL111C,0.9045629866265532
YIL070C,0.9045273963716247
YNL284C,0.9045065747543944
YAL034C,0.9045052462051173
YPL106C,0.9045023402012828
YOL061W,0.9044925904267603
YLR290C,0.9044597289881522
YJL191W,0.904442512338605
YMR004W,0.9044188692907139
YGL147C,0.9044030734422771
YNL056W,0.9043948322882266
YOR204W,0.9043534695959079
YLR399C,0.9043395965434238
YDL234C,0.9043329131738026
YOL039W,0.904302284538797
YDR035W,0.9042899242101472
YHR106W,0.9042584951193253
YLR330W,0.9042419671885635
YGL252C,0.9042155066103283
YNL032W,0.9041808940399616
YLR133W,0.9041755430545856
YIL050W,0.9041655502984091
YDL095W,0.9041638792429367
YGL026C,0.9041562799760496
YNL100W,0.904135945339306
YIL053W,0.904090494927727
YKR095W,0.9040798362202849
YEL015W,0.9040708467750553
YBR137W,0.9040638675305476
YKL201C,0.9040523087477847
YOR241W,0.9040513511076742
YBR010W,0.9040351927334884
YKR018C,0.9040341822121338
YJL140W,0.90402182510602
YGL205W,0.9040132288750702
YBR169C,0.9040058220420876
YMR196W,0.9039698581725114
YDR017C,0.9039626616487471
YHR047C,0.9039302453065288
YBR146W,0.9038438675751325
YJL138C,0.9038216057040583
YBR130C,0.9038075498945844
YCR009C,0.9037789161975853
YCL035C,0.9037702104805231
YOR342C,0.9037474423993195
YHR033W,0.9037439320699806
YLR270W,0.903718248431808
YBR119W,0.9037180114014709
YDR313C,0.9036834440344187
YBR195C,0.9036833166252318
YKL135C,0.9036699506346357
YPL225W,0.9036613804544027
YDR357C,0.90365552366026
YGR167W,0.9036392904791215
YER086W,0.9036366308673481
YPR072W,0.9036275753093648
YJR014W,0.9036145439520588
YOR323C,0.903605626206291
YOR043W,0.9035887502119542
YDR330W,0.9035698747710738
YPR134W,0.9035658794911736
YNL008C,0.9035561806692005
YPR030W,0.903529050284272
YLR370C,0.903494372385971
YLL026W,0.903493790903846
YBR072W,0.9034751791834359
YDR194C,0.903473654428506
YLR258W,0.90346113697182
YHR063C,0.9034525978075625
YLR342W,0.9034430546296529
YGL076C,0.9034252478046366
YLR058C,0.9034211096219269
YKR046C,0.903418099091556
