rank,protein,driver_score
1,YLR341W,0.9999999999512885
2,YDR312W,0.9033831845081579
3,YGR263C,0.8746561661121508
4,YGR097W,0.8457246911272417
5,YOR206W,0.8350073293728831
6,YLR385C,0.8170909219309598
7,YGR167W,0.8015191203483781
8,YDR299W,0.7854225262396795
9,YGL113W,0.7794477243788698
10,YHR172W,0.7678298419022918
11,YIL061C,0.7665692595870687
12,YKL095W,0.7607453994648703
13,YHR097C,0.7549815978616472
14,YGL240W,0.7441818533864921
15,YKR015C,0.7411958334542067
16,YDR405W,0.7378694260703959
17,YOL031C,0.7331708794779135
18,YKR008W,0.7305004855329476
19,YFR021W,0.729743321813253
20,YOR077W,0.727869635404167
21,YIL078W,0.7241951164244689
22,YDR421W,0.7198840844444755
23,YKL052C,0.7174599956894722
24,YGR074W,0.7155573049397922
25,YLR006C,0.7123788996521505
26,YNL039W,0.7094200762077212
27,YOL139C,0.706085183870761
28,YLR148W,0.7029360432772029
29,YBL080C,0.7025072017650542
30,YKR028W,0.6996447273220305
31,YJL179W,0.6971773191478484
32,YCR057C,0.6966988609477504
33,YEL061C,0.6958260223497419
34,YJL025W,0.6955286980266063
35,YDR125C,0.6925827130281528
36,YFL037W,0.6922320941643603
37,YER007W,0.6889910737562479
38,YDL043C,0.6869594247550217
39,YJL006C,0.6856140253368737
40,YPL216W,0.6851847133508314
41,YIR010W,0.6830628632814265
42,YMR290C,0.682529895937987
43,YHR089C,0.681731213931231
44,YPR168W,0.6810779132702585
45,YDL209C,0.679772437458826
46,YDR211W,0.6786656819985195
47,YGR244C,0.678430891232649
48,YGR090W,0.6774619256621772
49,YMR128W,0.6769713184896051
50,YFL049W,0.6766859035827856
51,YHR084W,0.6749459897301013
52,YKL160W,0.6748521036040944
53,YMR192W,0.6732242099479815
54,YER110C,0.672395356575352
55,YPL055C,0.6699757425900619
56,YDL108W,0.6693046868638635
57,YOR086C,0.6679599192778413
58,YGR225W,0.6670732964504923
59,YBR278W,0.665874934697682
60,YLR067C,0.6648173439623632
