index,protein,bc
0,YGR187C,0.0
1,YDR404C,0.0
2,YPR168W,0.0
3,YMR144W,0.0
4,YOR080W,0.0
5,YDR334W,1886.3138651268785
6,YDR097C,140.65473094072206
7,YNL126W,352.92491510733817
8,YBR011C,0.0
9,YOR093C,0.0
10,YJL098W,5190.525411928459
11,YIR018W,0.0
12,YDR365C,0.0
13,YNL166C,0.0
14,YOR294W,0.0
15,YBR155W,0.0
16,YDR452W,0.0
17,YPR023C,47.780525032582496
18,YPL233W,0.0
19,YBL025W,0.0
20,YJL026W,0.0
21,YDR081C,0.0
22,YLR457C,0.0
23,YIL126W,733.9352440796956
24,YOR039W,125.77390631295673
25,YLR033W,3000.756664011337
26,YJR007W,0.0
27,YAL034W-A,0.0
28,YLR183C,0.0
29,YDR301W,0.0
30,YLR357W,225.30365257315177
31,YDR110W,190.48136781423682
32,YGR116W,26.477136394978416
33,YNL216W,119.22727627210706
34,YML032C,286.4440684816166
35,YBL103C,0.0
36,YML017W,0.0
37,YPL231W,77.24283616415309
38,YGR246C,18.202807162185334
39,YGL194C,4315.175343089844
40,YDR423C,0.0
41,YDR214W,0.0
42,YGR275W,106.83886706155933
43,YMR111C,0.0
44,YJL111W,17.059477525609303
45,YCR092C,49.4480764200841
46,YIL142W,17.059477525609303
47,YMR055C,185.3848963865232
48,YGL058W,4192.393250296096
49,YKR002W,0.0
50,YKR097W,0.0
51,YPR070W,0.0
52,YAL047C,1791.3653412663732
53,YFR028C,16669.851851320775
54,YAR014C,0.0
55,YBR258C,0.0
56,YOR141C,65.2891641458882
57,YLL039C,0.0
58,YNL097C,0.0
59,YER088C,0.0
60,YJL127C,109.03144910750687
61,YDR538W,0.0
62,YNL059C,18.202807162185334
63,YDL070W,0.0
64,YPR056W,3.770589701919944
65,YMR110C,0.0
66,YML069W,1746.513948029026
67,YLR095C,37.58795980298948
68,YDR397C,0.0
69,YER151C,5110.814870687625
70,YMR246W,0.0
71,YEL036C,0.0
72,YKL058W,22.631714174084188
73,YMR263W,0.0
74,YGR179C,0.0
75,YPL254W,5.623722150923571
76,YBR072W,0.0
77,YLR384C,651.0418596085301
78,YAL013W,0.0
79,YOR373W,403.5381251936316
80,YDL003W,0.0
81,YPL089C,11.055183679040306
82,YBL032W,0.0
83,YNL236W,0.0
84,YDR362C,6.010498956372787
85,YOR290C,6.051870510880449
86,YHR041C,0.0
87,YDR186C,0.0
88,YOR244W,1296.2270828923345
89,YOL054W,0.0
90,YPL128C,101.09679998169048
91,YPR175W,0.0
92,YDR091C,0.0
93,YLL002W,0.0
94,YDR485C,38.342436961640864
95,YLR381W,0.0
96,YER159C,0.0
97,YFR037C,644.0988866583998
98,YER158C,0.0
99,YDL143W,17.059477525609303
100,YFL008W,0.0
101,YER032W,0.0
102,YPR093C,0.0
103,YBR143C,262.0027221172419
104,YPR018W,15082.331381559412
105,YBL085W,0.0
106,YOR257W,990.3721315339408
107,YPL018W,0.0
108,YNL022C,0.0
109,YBR196C,0.0
110,YHR082C,5.961740579713787
111,YML031W,17.807039567406694
112,YBR175W,345.12401372463813
113,YHR118C,3.393756089022594
114,YJR077C,0.0
115,YNR051C,884.5510763431655
116,YGR271W,0.0
117,YDR224C,31327.445051045943
118,YKL196C,168.4664838271165
119,YFR027W,0.0
120,YOR066W,0.0
121,YDR096W,600.3849900175204
122,YDL088C,0.0
123,YBL008W,332.1566404907709
124,YEL060C,0.0
125,YER103W,0.0
126,YHR186C,457.7874556699336
127,YOL146W,0.0
128,YDR146C,0.0
129,YBR010W,10413.425836575467
130,YCR086W,10.128908985909344
131,YDL047W,59.86340622811211
132,YOL069W,107.28756539877352
133,YIL084C,0.0
134,YMR310C,205.2196262045888
135,YMR235C,0.0
136,YJL042W,0.0
137,YMR037C,1117.1066158766223
138,YOL004W,7653.213118283559
139,YMR078C,3.0
140,YNL188W,37.16768350752158
141,YER148W,185.56889753168184
142,YOR142W,0.0
143,YDL167C,0.0
144,YDR325W,0.0
145,YLR399C,28.60928827049541
146,YNL161W,79.83138016889727
147,YPL165C,20837.228519375036
148,YDR188W,17.059477525609303
149,YOL148C,36.922634231705345
150,YLR025W,124.54292202235372
151,YPR204W,0.0
152,YER082C,155.39211948947
153,YBR211C,0.0
154,YCR002C,22.68765508506286
155,YOL139C,0.0
156,YJL050W,0.0
157,YJL110C,0.0
158,YNL037C,0.0
159,YOR198C,0.0
160,YLR052W,18.202807162185334
161,YMR070W,8.565687753339681
162,YKL185W,13.387085010464233
163,YBL023C,963.1868251306403
164,YCL010C,41.873162151353974
165,YAR003W,0.0
166,YOL021C,0.0
167,YOL070C,0.0
168,YKR029C,13135.384660955831
169,YGL026C,0.0
170,YFR003C,0.0
171,YMR231W,0.0
172,YDR129C,50.462230319847095
173,YDL137W,0.0
174,YML049C,0.0
175,YGR200C,0.0
176,YJL074C,32.19577816733246
177,YLL022C,3.2023809523809526
178,YMR308C,0.0
179,YDR310C,202.40154985211774
180,YML099C,0.0
181,YPL042C,0.0
182,YLR277C,0.0
183,YER164W,176.16306605479113
184,YBR195C,0.0
185,YDL076C,0.0
186,YPL011C,7.930273221277622
187,YOR233W,0.0
188,YNL027W,0.0
189,YMR233W,33.01496692060273
190,YDL108W,0.0
191,YPL141C,0.0
192,YPL122C,116.52289313041693
193,YNL039W,18.202807162185334
194,YBR060C,3.770589701919944
195,YFR013W,42.42754144964785
196,YDR167W,188.43933557075354
197,YDR295C,0.0
198,YKR062W,0.0
199,YDL126C,1143.0595412628097
200,YML007W,5.943347089277179
201,YJL072C,0.0
202,YNL107W,8.897530541736566
203,YML043C,0.0
204,YKR010C,367.0782482041187
205,YNL085W,0.0
206,YBL021C,0.0
207,YDL013W,688.0969827586207
208,YMR033W,353.0194368127207
209,YGR071C,17.63304873009008
210,YEL055C,0.0
211,YBL099W,0.0
212,YOR189W,0.0
213,YHR107C,22.68765508506286
214,YAL011W,12.55814616848796
215,YER110C,772.246812495701
216,YBR081C,8.973507953653277
217,YBL046W,0.0
218,YNR023W,238.1177668201622
219,YNL215W,3.004544935066211
220,YJL076W,5694.4169370318195
221,YOR201C,0.0
222,YHR191C,0.0
223,YOR330C,0.0
224,YFR031C,0.0
225,YNL006W,62.82086003579955
226,YIR033W,0.0
227,YIL122W,0.0
228,YBL039C,0.0
229,YER064C,9.047249492053389
230,YGR195W,0.0
231,YIL130W,6.3583192839894025
232,YGL205W,0.0
233,YDR395W,50.909385686572435
234,YGR002C,20.701285370717162
235,YPR178W,0.0
236,YBR193C,0.0
237,YPR034W,45.74454459312271
238,YGR113W,0.0
239,YDL084W,0.0
240,YPL127C,1774.9040350802693
241,YIL045W,0.0
242,YAL029C,0.0
243,YJL065C,0.0
244,YLR403W,1377.6769122209375
245,YBR059C,30.099001160758515
246,YMR153W,30.750979407892643
247,YDR238C,0.0
248,YCR066W,0.0
249,YDR099W,0.0
250,YGL195W,127.70506648400023
251,YPR025C,0.0
252,YDL145C,0.0
253,YGL197W,0.0
254,YBR095C,0.0
255,YOR279C,17.64492596414858
256,YMR086W,0.0
257,YHR058C,0.0
258,YMR047C,0.0
259,YER155C,0.8746839146237783
260,YOR179C,0.0
261,YLR442C,20.740030576100093
262,YNL246W,688.0
263,YPL218W,231.04881193902867
264,YPR179C,0.0
265,YKL064W,0.0
266,YER022W,0.0
267,YLR082C,0.0
268,YLR419W,0.0
269,YMR005W,38.41277428857511
270,YMR044W,0.0
271,YCR052W,304.647225645706
272,YDR519W,4222.187313048706
273,YDR303C,248.9069793137964
274,YGL100W,0.0
275,YKR060W,0.0
276,YGL093W,0.0
277,YOL067C,0.0
278,YPL007C,0.0
279,YFR002W,917.0169638815382
280,YDR212W,103.08075220240163
281,YNL330C,150.05472875917047
282,YKL110C,0.0
283,YIL094C,0.0
284,YBR130C,0.0
285,YOR326W,80.67528050402741
286,YML027W,4.245875930566944
287,YMR168C,0.0
288,YEL032W,621.1292741904989
289,YOR058C,0.0
290,YGR252W,12072.128899841937
291,YJL061W,17.496783547279083
292,YCL009C,0.0
293,YKL074C,0.0
294,YER070W,0.0
295,YBL003C,19036.248024700315
296,YJL168C,77.7839452894423
297,YNL265C,0.0
298,YGL201C,980.5349853644672
299,YPL001W,31.758150786748676
300,YNL025C,0.0
301,YOR046C,0.0
302,YOR061W,688.7384964471886
303,YJL014W,17.059477525609303
304,YOR370C,0.0
305,YOR194C,0.0
306,YER125W,0.0
307,YBL104C,0.0
308,YDR469W,73.79561699822483
309,YLR024C,0.0
310,YDR145W,563.4561003389775
311,YLR389C,0.0
312,YJR140C,0.0
313,YCR033W,29.316543448645714
314,YFL037W,78.68108508462774
315,YOL068C,3.004544935066211
316,YLR385C,0.0
317,YKR008W,10452.900017930093
318,YOR213C,0.0
319,YER030W,0.0
320,YDR164C,0.0
321,YNL287W,77.79528578494393
322,YDL077C,0.0
323,YEL007W,0.0
324,YLR096W,813.4114860323173
325,YEL018W,3.770589701919944
326,YPL101W,0.0
327,YFL024C,16.842283214690145
328,YMR094W,0.0
329,YGL172W,108.6741298149443
330,YJL039C,74.1820399043707
331,YNL201C,135.3561422309944
332,YPL226W,0.0
333,YPR133C,1.162310788626578
334,YNR009W,0.0
335,YJL025W,0.0
336,YPL180W,0.8746839146237783
337,YDL156W,9.047249492053389
338,YOL078W,42.000825921308284
339,YIL144W,30.750979407892643
340,YPR031W,0.0
341,YBR279W,0.0
342,YER176W,0.0
343,YKL068W,0.0
344,YBR198C,376.53192642045076
345,YDR460W,0.0
346,YER025W,61.80768954430562
347,YGL237C,9229.864798719069
348,YLR418C,0.0
349,YML114C,11.758566498786143
350,YJR082C,0.0
351,YER040W,0.0
352,YIL127C,0.0
353,YKL059C,0.0
354,YAL043C,0.0
355,YNL206C,918.9619427804699
356,YOL116W,0.0
357,YLR045C,4135.387388373509
358,YIL026C,0.0
359,YGR237C,0.0
360,YGL092W,17.496783547279083
361,YMR312W,0.0
362,YLR455W,0.0
363,YGL150C,46.97177342951258
364,YLR015W,15.731945040662497
