index,protein,dc
0,YGR187C,2.9495
1,YDR404C,5.899
2,YPR168W,2.9495
3,YMR144W,5.899
4,YOR080W,2.9495
5,YDR334W,100.283
6,YDR097C,17.697
7,YNL126W,26.5455
8,YBR011C,5.899
9,YOR093C,2.9495
10,YJL098W,29.495
11,YIR018W,2.9495
12,YDR365C,5.899
13,YNL166C,2.9495
14,YOR294W,5.899
15,YBR155W,2.9495
16,YDR452W,5.899
17,YPR023C,35.394
18,YPL233W,2.9495
19,YBL025W,2.9495
20,YJL026W,2.9495
21,YDR081C,5.899
22,YLR457C,5.899
23,YIL126W,94.384
24,YOR039W,20.6465
25,YLR033W,235.96
26,YJR007W,2.9495
27,YAL034W-A,2.9495
28,YLR183C,5.899
29,YDR301W,5.899
30,YLR357W,70.788
31,YDR110W,44.2425
32,YGR116W,20.6465
33,YNL216W,50.1415
34,YML032C,20.6465
35,YBL103C,2.9495
36,YML017W,5.899
37,YPL231W,5.899
38,YGR246C,17.697
39,YGL194C,76.687
40,YDR423C,2.9495
41,YDR214W,2.9495
42,YGR275W,44.2425
43,YMR111C,2.9495
44,YJL111W,5.899
45,YCR092C,5.899
46,YIL142W,5.899
47,YMR055C,53.091
48,YGL058W,29.495
49,YKR002W,5.899
50,YKR097W,2.9495
51,YPR070W,2.9495
52,YAL047C,70.788
53,YFR028C,215.3135
54,YAR014C,2.9495
55,YBR258C,5.899
56,YOR141C,44.2425
57,YLL039C,2.9495
58,YNL097C,5.899
59,YER088C,5.899
60,YJL127C,82.586
61,YDR538W,2.9495
62,YNL059C,14.7475
63,YDL070W,5.899
64,YPR056W,8.8485
65,YMR110C,2.9495
66,YML069W,109.1315
67,YLR095C,41.293
68,YDR397C,5.899
69,YER151C,61.9395
70,YMR246W,2.9495
71,YEL036C,2.9495
72,YKL058W,17.697
73,YMR263W,2.9495
74,YGR179C,2.9495
75,YPL254W,11.798
76,YBR072W,2.9495
77,YLR384C,8.8485
78,YAL013W,8.8485
79,YOR373W,32.4445
80,YDL003W,5.899
81,YPL089C,8.8485
82,YBL032W,2.9495
83,YNL236W,5.899
84,YDR362C,8.8485
85,YOR290C,8.8485
86,YHR041C,2.9495
87,YDR186C,2.9495
88,YOR244W,73.7375
89,YOL054W,14.7475
90,YPL128C,35.394
91,YPR175W,2.9495
92,YDR091C,5.899
93,YLL002W,2.9495
94,YDR485C,29.495
95,YLR381W,2.9495
96,YER159C,2.9495
97,YFR037C,97.3335
98,YER158C,2.9495
99,YDL143W,5.899
100,YFL008W,2.9495
101,YER032W,2.9495
102,YPR093C,2.9495
103,YBR143C,8.8485
104,YPR018W,401.132
105,YBL085W,2.9495
106,YOR257W,44.2425
107,YPL018W,2.9495
108,YNL022C,2.9495
109,YBR196C,2.9495
110,YHR082C,14.7475
111,YML031W,5.899
112,YBR175W,38.3435
113,YHR118C,11.798
114,YJR077C,5.899
115,YNR051C,26.5455
116,YGR271W,2.9495
117,YDR224C,545.6574999999993
118,YKL196C,8.8485
119,YFR027W,5.899
120,YOR066W,2.9495
121,YDR096W,88.485
122,YDL088C,2.9495
123,YBL008W,82.586
124,YEL060C,2.9495
125,YER103W,2.9495
126,YHR186C,35.394
127,YOL146W,2.9495
128,YDR146C,2.9495
129,YBR010W,324.445
130,YCR086W,8.8485
131,YDL047W,5.899
132,YOL069W,5.899
133,YIL084C,5.899
134,YMR310C,17.697
135,YMR235C,2.9495
136,YJL042W,2.9495
137,YMR037C,91.4345
138,YOL004W,156.3235
139,YMR078C,8.8485
140,YNL188W,8.8485
141,YER148W,61.9395
142,YOR142W,2.9495
143,YDL167C,2.9495
144,YDR325W,2.9495
145,YLR399C,32.4445
146,YNL161W,14.7475
147,YPL165C,162.2225
148,YDR188W,5.899
149,YOL148C,20.6465
150,YLR025W,14.7475
151,YPR204W,5.899
152,YER082C,26.5455
153,YBR211C,2.9495
154,YCR002C,5.899
155,YOL139C,8.8485
156,YJL050W,5.899
157,YJL110C,2.9495
158,YNL037C,5.899
159,YOR198C,5.899
160,YLR052W,17.697
161,YMR070W,38.3435
162,YKL185W,23.596
163,YBL023C,73.7375
164,YCL010C,23.596
165,YAR003W,5.899
166,YOL021C,2.9495
167,YOL070C,2.9495
168,YKR029C,336.243
169,YGL026C,2.9495
170,YFR003C,2.9495
171,YMR231W,2.9495
172,YDR129C,5.899
173,YDL137W,2.9495
174,YML049C,2.9495
175,YGR200C,5.899
176,YJL074C,11.798
177,YLL022C,11.798
178,YMR308C,2.9495
179,YDR310C,35.394
180,YML099C,2.9495
181,YPL042C,2.9495
182,YLR277C,5.899
183,YER164W,61.9395
184,YBR195C,5.899
185,YDL076C,2.9495
186,YPL011C,14.7475
187,YOR233W,5.899
188,YNL027W,2.9495
189,YMR233W,17.697
190,YDL108W,2.9495
191,YPL141C,2.9495
192,YPL122C,20.6465
193,YNL039W,17.697
194,YBR060C,8.8485
195,YFR013W,32.4445
196,YDR167W,41.293
197,YDR295C,2.9495
198,YKR062W,2.9495
199,YDL126C,20.6465
200,YML007W,8.8485
201,YJL072C,2.9495
202,YNL107W,11.798
203,YML043C,5.899
204,YKR010C,26.5455
205,YNL085W,2.9495
206,YBL021C,2.9495
207,YDL013W,14.7475
208,YMR033W,85.5355
209,YGR071C,11.798
210,YEL055C,5.899
211,YBL099W,2.9495
212,YOR189W,8.8485
213,YHR107C,5.899
214,YAL011W,14.7475
215,YER110C,23.596
216,YBR081C,14.7475
217,YBL046W,2.9495
218,YNR023W,35.394
219,YNL215W,5.899
220,YJL076W,159.273
221,YOR201C,2.9495
222,YHR191C,2.9495
223,YOR330C,5.899
224,YFR031C,2.9495
225,YNL006W,23.596
226,YIR033W,2.9495
227,YIL122W,2.9495
228,YBL039C,2.9495
229,YER064C,11.798
230,YGR195W,2.9495
231,YIL130W,5.899
232,YGL205W,2.9495
233,YDR395W,8.8485
234,YGR002C,20.6465
235,YPR178W,2.9495
236,YBR193C,2.9495
237,YPR034W,29.495
238,YGR113W,2.9495
239,YDL084W,2.9495
240,YPL127C,97.3335
241,YIL045W,2.9495
242,YAL029C,5.899
243,YJL065C,2.9495
244,YLR403W,20.6465
245,YBR059C,14.7475
246,YMR153W,5.899
247,YDR238C,2.9495
248,YCR066W,2.9495
249,YDR099W,2.9495
250,YGL195W,8.8485
251,YPR025C,2.9495
252,YDL145C,5.899
253,YGL197W,2.9495
254,YBR095C,8.8485
255,YOR279C,14.7475
256,YMR086W,2.9495
257,YHR058C,2.9495
258,YMR047C,2.9495
259,YER155C,8.8485
260,YOR179C,2.9495
261,YLR442C,41.293
262,YNL246W,5.899
263,YPL218W,5.899
264,YPR179C,2.9495
265,YKL064W,2.9495
266,YER022W,2.9495
267,YLR082C,2.9495
268,YLR419W,2.9495
269,YMR005W,29.495
270,YMR044W,17.697
271,YCR052W,79.6365
272,YDR519W,129.778
273,YDR303C,73.7375
274,YGL100W,2.9495
275,YKR060W,5.899
276,YGL093W,2.9495
277,YOL067C,2.9495
278,YPL007C,2.9495
279,YFR002W,23.596
280,YDR212W,11.798
281,YNL330C,17.697
282,YKL110C,2.9495
283,YIL094C,2.9495
284,YBR130C,2.9495
285,YOR326W,20.6465
286,YML027W,20.6465
287,YMR168C,2.9495
288,YEL032W,58.99
289,YOR058C,2.9495
290,YGR252W,218.263
291,YJL061W,5.899
292,YCL009C,2.9495
293,YKL074C,2.9495
294,YER070W,2.9495
295,YBL003C,312.647
296,YJL168C,35.394
297,YNL265C,2.9495
298,YGL201C,64.889
299,YPL001W,14.7475
300,YNL025C,2.9495
301,YOR046C,2.9495
302,YOR061W,47.192
303,YJL014W,5.899
304,YOR370C,2.9495
305,YOR194C,2.9495
306,YER125W,2.9495
307,YBL104C,5.899
308,YDR469W,20.6465
309,YLR024C,2.9495
310,YDR145W,79.6365
311,YLR389C,2.9495
312,YJR140C,14.7475
313,YCR033W,11.798
314,YFL037W,5.899
315,YOL068C,5.899
316,YLR385C,2.9495
317,YKR008W,330.344
318,YOR213C,5.899
319,YER030W,2.9495
320,YDR164C,2.9495
321,YNL287W,5.899
322,YDL077C,2.9495
323,YEL007W,2.9495
324,YLR096W,14.7475
325,YEL018W,5.899
326,YPL101W,2.9495
327,YFL024C,20.6465
328,YMR094W,2.9495
329,YGL172W,8.8485
330,YJL039C,8.8485
331,YNL201C,5.899
332,YPL226W,2.9495
333,YPR133C,14.7475
334,YNR009W,5.899
335,YJL025W,5.899
336,YPL180W,11.798
337,YDL156W,14.7475
338,YOL078W,8.8485
339,YIL144W,5.899
340,YPR031W,20.6465
341,YBR279W,5.899
342,YER176W,2.9495
343,YKL068W,2.9495
344,YBR198C,73.7375
345,YDR460W,2.9495
346,YER025W,8.8485
347,YGL237C,235.96
348,YLR418C,5.899
349,YML114C,14.7475
350,YJR082C,2.9495
351,YER040W,2.9495
352,YIL127C,5.899
353,YKL059C,5.899
354,YAL043C,5.899
355,YNL206C,132.7275
356,YOL116W,2.9495
357,YLR045C,117.98
358,YIL026C,11.798
359,YGR237C,2.9495
360,YGL092W,5.899
361,YMR312W,2.9495
362,YLR455W,11.798
363,YGL150C,41.293
364,YLR015W,11.798
365,YIL129C,8.8485
366,YKR077W,2.9495
367,YLR212C,8.8485
368,YGR119C,11.798
369,YER167W,5.899
370,YER111C,206.465
371,YBR114W,5.899
372,YGR270W,230.061
373,YCL061C,8.8485
374,YNL050C,2.9495
375,YIL091C,2.9495
376,YFL013C,14.7475
377,YPL055C,227.1115
378,YJR017C,64.889
379,YDR176W,23.596
380,YDR440W,5.899
381,YHL025W,5.899
382,YDR448W,23.596
383,YPL086C,23.596
384,YPL237W,2.9495
385,YAL031C,2.9495
386,YGL151W,8.8485
387,YOR174W,5.899
388,YDL002C,11.798
389,YPL137C,2.9495
390,YML074C,123.879
391,YGL019W,47.192
392,YAL016W,2.9495
393,YFL049W,17.697
394,YOL017W,2.9495
395,YJL041W,14.7475
396,YPL016W,14.7475
397,YPL204W,5.899
398,YKL080W,2.9495
399,YHR200W,2.9495
400,YBR225W,2.9495
401,YJL176C,38.3435
402,YHR205W,0.0
403,YML102W,5.899
404,YMR146C,2.9495
405,YDL139C,2.9495
406,YBR088C,11.798
407,YNL261W,11.798
408,YKL038W,14.7475
409,YKL028W,2.9495
410,YGR140W,94.384
411,YBL052C,44.2425
412,YDR359C,29.495
413,YHR119W,61.9395
414,YPL049C,20.6465
415,YIL015W,2.9495
416,YGL071W,159.273
417,YPL181W,20.6465
418,YKR028W,2.9495
419,YPL255W,11.798
420,YOL090W,20.6465
421,YIL115C,2.9495
422,YPR040W,2.9495
423,YLR272C,5.899
424,YOR110W,14.7475
425,YLR347C,26.5455
426,YOL135C,2.9495
