index,protein,ec
0,YGR187C,0.00038276748860719247
1,YDR404C,0.007434096989747775
2,YPR168W,0.0056163372394978164
3,YMR144W,0.00393947033769619
4,YOR080W,0.0005753967056735037
5,YDR334W,0.08331956152402888
6,YDR097C,0.016633822129199248
7,YNL126W,0.008899880660150072
8,YBR011C,0.0027219930187541313
9,YOR093C,0.001707565202123763
10,YJL098W,0.002735985396966775
11,YIR018W,0.003701639003244825
12,YDR365C,0.011453339487542387
13,YNL166C,0.0008216825981365866
14,YOR294W,0.007160607669546127
15,YBR155W,0.00038276748860719247
16,YDR452W,0.0025154009700058587
17,YPR023C,0.049486207864200354
18,YPL233W,0.000609793355592207
19,YBL025W,0.004266685806860062
20,YJL026W,0.00038276748860719247
21,YDR081C,0.008905779292848425
22,YLR457C,0.0009135565972849561
23,YIL126W,0.1009272527957604
24,YOR039W,0.023411691965759377
25,YLR033W,0.18069050351660193
26,YJR007W,0.005453042467422365
27,YAL034W-A,0.000609793355592207
28,YLR183C,0.005485230454452877
29,YDR301W,0.0015509465164247301
30,YLR357W,0.08653436875125867
31,YDR110W,0.05227805003931995
32,YGR116W,0.028044211623115146
33,YNL216W,0.05516102475062018
34,YML032C,0.019289368629454032
35,YBL103C,0.003085964787653442
36,YML017W,0.0027219930187541313
37,YPL231W,0.005411983229752391
38,YGR246C,0.029831125760762744
39,YGL194C,0.03414690492031699
40,YDR423C,0.0056163372394978164
41,YDR214W,0.00038276748860719247
42,YGR275W,0.057370879465215886
43,YMR111C,0.00038254762615815756
44,YJL111W,0.0012713121116818854
45,YCR092C,0.005725191412607345
46,YIL142W,0.0012713121116818854
47,YMR055C,0.011735797386378272
48,YGL058W,0.003177776126801784
49,YKR002W,0.0015509465164247301
50,YKR097W,0.004761966336101708
51,YPR070W,0.003085964787653442
52,YAL047C,0.011673667923698734
53,YFR028C,0.13117687213974094
54,YAR014C,0.0010472200158924126
55,YBR258C,0.0009715162673675573
56,YOR141C,0.06442194535127277
57,YLL039C,0.0009554556266997568
58,YNL097C,0.002823779290149809
59,YER088C,0.0028219145568500244
60,YJL127C,0.07346664389130927
61,YDR538W,0.004761966336101708
62,YNL059C,0.021041526596167984
63,YDL070W,0.007648761498214637
64,YPR056W,0.015514711655102131
65,YMR110C,0.004266685806860062
66,YML069W,0.09181154053874177
67,YLR095C,0.0631718728780548
68,YDR397C,0.010875618169113768
69,YER151C,0.022901664223047798
70,YMR246W,0.005029215741145198
71,YEL036C,0.004266685806860062
72,YKL058W,0.02519366400275559
73,YMR263W,0.0027248404089458755
74,YGR179C,0.00015378694011104928
75,YPL254W,0.010107173129607154
76,YBR072W,0.004761966336101708
77,YLR384C,0.0038646926306580617
78,YAL013W,0.002920853438053958
79,YOR373W,0.010096202492966213
80,YDL003W,0.010875618169113768
81,YPL089C,0.006401949873981045
82,YBL032W,0.00038276748860719247
83,YNL236W,0.008702302027151257
84,YDR362C,0.010258233198398959
85,YOR290C,0.010876691601202332
86,YHR041C,0.0056163372394978164
87,YDR186C,8.268949571904731e-05
88,YOR244W,0.056187651243935474
89,YOL054W,0.02084823119105224
90,YPL128C,0.04692770445102707
91,YPR175W,2.8498937382773585e-42
92,YDR091C,0.0010704103941085515
93,YLL002W,0.0001562407460343731
94,YDR485C,0.016669421846557328
95,YLR381W,0.00015378694011104928
96,YER159C,0.0056163372394978164
97,YFR037C,0.09805889422615649
98,YER158C,0.0010472200158924126
99,YDL143W,0.0012713121116818854
100,YFL008W,0.0056163372394978164
101,YER032W,0.001086097926618982
102,YPR093C,0.0002237729556000169
103,YBR143C,0.001934152674997275
104,YPR018W,0.1782809170945846
105,YBL085W,0.001086097926618982
106,YOR257W,0.03208111951395713
107,YPL018W,0.00015378694011104928
108,YNL022C,0.0013441716170488297
109,YBR196C,0.004761966336101708
110,YHR082C,0.004714183888424353
111,YML031W,0.002245688447727357
112,YBR175W,0.006042354485645882
113,YHR118C,0.01926650422535579
114,YJR077C,0.009791182077246907
115,YNR051C,0.01823437618038823
116,YGR271W,0.0011927200131719956
117,YDR224C,0.2158365336987191
118,YKL196C,0.006100189451408658
119,YFR027W,0.007707862222243784
120,YOR066W,0.0033502130548084537
121,YDR096W,0.07477147321898818
122,YDL088C,0.0002237729556000169
123,YBL008W,0.07389061733880928
124,YEL060C,0.0004523175470794137
125,YER103W,0.001707565202123763
126,YHR186C,0.020175860007207256
127,YOL146W,0.00023882145097334226
128,YDR146C,0.003085964787653442
129,YBR010W,0.20956132364434174
130,YCR086W,0.014522116532346243
131,YDL047W,0.00011733491898527294
132,YOL069W,0.006226130595090024
133,YIL084C,0.002823779290149809
134,YMR310C,0.020354684580671207
135,YMR235C,0.00038276748860719247
136,YJL042W,0.0010472200158924126
137,YMR037C,0.05002959983211256
138,YOL004W,0.10471599107613379
139,YMR078C,2.9716892081861294e-42
140,YNL188W,0.001999654523903938
141,YER148W,0.07338916745288791
142,YOR142W,0.00038276748860719247
143,YDL167C,0.0008142869022678018
144,YDR325W,0.004639093485988364
145,YLR399C,0.04205215525799707
146,YNL161W,0.006609169088847284
147,YPL165C,0.014709813794330076
148,YDR188W,0.0012713121116818854
149,YOL148C,0.02392729115173416
150,YLR025W,0.01861150604165612
151,YPR204W,0.008905779292848425
152,YER082C,0.033840885983245694
153,YBR211C,0.00015378694011104928
154,YCR002C,0.0018689026140289993
155,YOL139C,0.0036014988966248406
156,YJL050W,0.007160607669546127
157,YJL110C,0.0020522145655226865
158,YNL037C,0.00867980649975897
159,YOR198C,0.0010704103941085515
160,YLR052W,0.02907987195187183
161,YMR070W,0.04294323634798398
162,YKL185W,0.003802241484905323
163,YBL023C,0.0818473798300523
164,YCL010C,0.02815784389667843
165,YAR003W,0.0009715162673675573
166,YOL021C,0.006000297020120022
167,YOL070C,0.0008216825981365866
168,YKR029C,0.1766512220638993
169,YGL026C,0.00038276748860719247
170,YFR003C,0.0010472200158924126
171,YMR231W,0.0010472200158924126
172,YDR129C,0.0051447338247089
173,YDL137W,0.00038276748860719247
174,YML049C,0.0004523175470794137
175,YGR200C,0.00016305362741323635
176,YJL074C,0.01691288235033318
177,YLL022C,0.008892252128131245
178,YMR308C,0.003413377792615407
179,YDR310C,0.044573608144539124
180,YML099C,0.0020522145655226865
181,YPL042C,0.003085964787653442
182,YLR277C,0.0015509465164247301
183,YER164W,0.08098398515276943
184,YBR195C,0.00769227762034813
185,YDL076C,0.0027248404089458755
186,YPL011C,0.020151993288863322
187,YOR233W,0.001965603804489691
