selected_frac,energy_cost,strategy
0.05,98501.56830919434,Random
0.1,50621.2051994148,Random
0.15,27497.76975613863,Random
0.2,16269.78012903106,Random
0.25,9358.686527219732,Random
0.3,6848.1400189730675,Random
0.35,5668.790352725052,Random
0.4,4699.943877069602,Random
0.45,4042.1009824788143,Random
0.5,3613.6018526660855,Random
0.55,3181.248818451554,Random
0.6,2885.514672253154,Random
0.65,2624.2302395840798,Random
0.7,1843.212869000542,Random
0.75,1713.2836482388357,Random
0.8,861.859721714294,Random
0.85,805.2699954968418,Random
0.9,761.6019194207511,Random
0.95,721.2652400032927,Random
1.0,682.2283422018039,Random
0.05,333137.2613209753,DC
0.1,108683.64364092215,DC
0.15,43593.036636425015,DC
0.2,19722.0449670004,DC
0.25,10685.771998346685,DC
0.3,6828.091239478228,DC
0.35,4854.965646711187,DC
0.4,3361.751441534035,DC
0.45,2366.0344807070633,DC
0.5,1839.2528170483492,DC
0.55,1507.9997678233974,DC
0.6,1288.545282774106,DC
0.65,1134.5421816286173,DC
0.7,1012.270891990879,DC
0.75,921.4451659713409,DC
0.8,852.1248174703185,DC
0.85,796.9894866771169,DC
0.9,752.0700714295713,DC
0.95,714.496376742097,DC
1.0,682.2283422018038,DC
0.05,161845.49322122504,BC
0.1,33026.21835290118,BC
0.15,15235.133705840955,BC
0.2,9319.569252082243,BC
0.25,5630.641684488522,BC
0.3,4268.543576077207,BC
0.35,3460.9560656519197,BC
0.4,2785.39074734763,BC
0.45,2221.000876626664,BC
0.5,1761.4492804549232,BC
0.55,1448.7965567691842,BC
0.6,1240.5180757023331,BC
0.65,1097.8188272290038,BC
0.7,994.7132524205911,BC
0.75,914.0800168126416,BC
0.8,848.9751042309308,BC
0.85,796.6602907621823,BC
0.9,751.1515321404552,BC
0.95,714.1976989361535,BC
1.0,682.2283422018038,BC
0.05,266456.9643637584,EC
0.1,107669.3752562945,EC
0.15,36942.20343602792,EC
0.2,20452.21702281775,EC
0.25,9990.04956784234,EC
0.3,6053.483139571992,EC
0.35,3590.5947618761043,EC
0.4,2548.3643203383135,EC
0.45,1985.906709402574,EC
0.5,1631.4335987603927,EC
0.55,1384.2923167599515,EC
0.6,1222.218652260965,EC
0.65,1088.2819398059155,EC
0.7,995.6551893884618,EC
0.75,914.765760566353,EC
0.8,847.9944518238882,EC
0.85,796.1893271021431,EC
0.9,752.0910375460755,EC
0.95,714.43137502895,EC
1.0,682.2283422018038,EC
0.05007153075822604,24319.69813185993,HyperDriver (Full)
0.10014306151645208,8995.761760860838,HyperDriver (Full)
0.15021459227467812,5318.02327762091,HyperDriver (Full)
0.20028612303290416,3766.080459063275,HyperDriver (Full)
0.2503576537911302,2902.8585497927825,HyperDriver (Full)
0.30042918454935624,2365.866957519369,HyperDriver (Full)
0.05,551698.7648489039,w/o Greedy
0.1,111274.4757255425,w/o Greedy
0.15,62885.77753385395,w/o Greedy
0.2,41519.330795234404,w/o Greedy
0.25,30664.019031133153,w/o Greedy
0.3,25716.45853107417,w/o Greedy
0.35,21806.070564823392,w/o Greedy
0.4,18825.4955318342,w/o Greedy
0.45,17398.04042085969,w/o Greedy
0.5,15166.6368009533,w/o Greedy
0.55,13452.195265782086,w/o Greedy
0.6,12972.40081081482,w/o Greedy
0.65,12698.39404283561,w/o Greedy
0.7,12398.758781946977,w/o Greedy
0.75,12015.174043046605,w/o Greedy
0.8,11625.80034275999,w/o Greedy
0.85,11090.435970780041,w/o Greedy
0.9,9725.75519455472,w/o Greedy
0.95,5042.2036315436835,w/o Greedy
1.0,682.2283422018039,w/o Greedy
0.05007153075822604,63852.771599149615,w/o Hypergraph
0.10014306151645208,6830.458366464427,w/o Hypergraph
0.15021459227467812,2384.8652433643683,w/o Hypergraph
0.20028612303290416,1226.9213409790846,w/o Hypergraph
0.2503576537911302,796.2200212110778,w/o Hypergraph
0.30042918454935624,574.3996935507217,w/o Hypergraph
0.05007153075822604,228406.77254141922,w/o Dynamics
0.10014306151645208,50140.75761060415,w/o Dynamics
0.15021459227467812,25358.797755058862,w/o Dynamics
0.20028612303290416,16494.948022284116,w/o Dynamics
0.2503576537911302,12215.6088997601,w/o Dynamics
0.30042918454935624,9596.001126080018,w/o Dynamics
