selected_frac,energy,strategy
0.05,76569.79658192406,Random
0.1,33057.9889343667,Random
0.15,21281.12180487825,Random
0.2,12923.420830855024,Random
0.25,7843.297618300431,Random
0.3,5852.846386773924,Random
0.35,4753.349407196924,Random
0.4,4070.235183868125,Random
0.45,3409.2496991172047,Random
0.5,3049.5068577847005,Random
0.55,2548.0450442578403,Random
0.6,2308.8445578618016,Random
0.65,2084.7877276654826,Random
0.7,1483.9084294640595,Random
0.75,1376.4854306091684,Random
0.8,818.8303866474657,Random
0.85,764.917353620435,Random
0.9,723.4440402310508,Random
0.95,683.5838513402653,Random
1.0,647.1641926989901,Random
0.05,117473.62980900129,DC
0.1,51498.01287625056,DC
0.15,22507.838493661147,DC
0.2,12809.095462710833,DC
0.25,7687.644054326414,DC
0.3,5224.459203568254,DC
0.35,3593.982349986678,DC
0.4,2611.7863155048453,DC
0.45,1964.4761414603845,DC
0.5,1598.1278910321116,DC
0.55,1358.172372041285,DC
0.6,1182.8776967373433,DC
0.65,1055.5844536532613,DC
0.7,952.661485529207,DC
0.75,872.7159856706443,DC
0.8,809.4418858651421,DC
0.85,759.164441253419,DC
0.9,715.7772031534308,DC
0.95,678.9743800952606,DC
1.0,647.1641926989901,DC
0.05,71221.15083597392,BC
0.1,23740.766159912382,BC
0.15,12173.571928182519,BC
0.2,7709.506872326048,BC
0.25,4892.4313596281345,BC
0.3,3641.7233199533794,BC
0.35,2852.9696017789533,BC
0.4,2309.6177670630964,BC
0.45,1907.6037475747266,BC
0.5,1566.9382020845421,BC
0.55,1323.016470877731,BC
0.6,1156.179318497338,BC
0.65,1033.6150332215952,BC
0.7,941.6280132715821,BC
0.75,867.1354583016005,BC
0.8,806.5608396675077,BC
0.85,757.9328651516788,BC
0.9,715.5227203612249,BC
0.95,679.0474131001147,BC
1.0,647.1641926989901,BC
0.05,130725.58972492596,EC
0.1,50346.306759595056,EC
0.15,20574.75414235672,EC
0.2,12398.875800031281,EC
0.25,7074.493124765171,EC
0.3,4660.1415360567635,EC
0.35,3056.1857600358794,EC
0.4,2271.654589565952,EC
0.45,1801.7407282122872,EC
0.5,1499.4747875977896,EC
0.55,1289.5535750695444,EC
0.6,1141.284587688028,EC
0.65,1029.1093840401866,EC
0.7,940.736830298217,EC
0.75,866.8719258138206,EC
0.8,806.360119842735,EC
0.85,759.1378327350467,EC
0.9,716.4437820480862,EC
0.95,679.4248921844917,EC
1.0,647.1641926989901,EC
0.05021520803443329,19166.780448040096,HyperDriver
0.10043041606886657,7865.031932001893,HyperDriver
0.15064562410329985,4829.095007271209,HyperDriver
0.1994261119081779,3513.8935305357813,HyperDriver
0.24964131994261118,2729.2844401456337,HyperDriver
0.2998565279770445,2238.0234614951987,HyperDriver
0.05,975434674.1044009,w/o Greedy
0.1,27256263.41272034,w/o Greedy
0.15,4677998.006061348,w/o Greedy
0.2,725690.0123600257,w/o Greedy
0.25,381108.6222924343,w/o Greedy
0.3,255777.97966134606,w/o Greedy
0.35,181278.05132087957,w/o Greedy
0.4,120785.34905268204,w/o Greedy
0.45,86254.11467682847,w/o Greedy
0.5,62660.68740472891,w/o Greedy
0.55,46299.982679959845,w/o Greedy
0.6,35398.842641662064,w/o Greedy
0.65,29010.350778563505,w/o Greedy
0.7,21762.759490475783,w/o Greedy
0.75,16274.173129191277,w/o Greedy
0.8,12655.80170308746,w/o Greedy
0.85,9444.276830676523,w/o Greedy
0.9,5988.206084198017,w/o Greedy
0.95,3494.094002719506,w/o Greedy
1.0,647.1641926989901,w/o Greedy
0.05021520803443329,30078.57182531045,w/o Hypergraph
0.10043041606886657,3905.0302058936295,w/o Hypergraph
0.15064562410329985,1401.4263033880684,w/o Hypergraph
0.1994261119081779,749.7769630237801,w/o Hypergraph
0.24964131994261118,479.8045699866624,w/o Hypergraph
0.2998565279770445,345.9335816319129,w/o Hypergraph
0.05021520803443329,243655.30904465594,w/o Dynamics
0.10043041606886657,53350.462601807245,w/o Dynamics
0.15064562410329985,24601.520965991345,w/o Dynamics
0.1994261119081779,15902.77967100612,w/o Dynamics
0.24964131994261118,11764.174707335202,w/o Dynamics
0.2998565279770445,9377.51960693585,w/o Dynamics
