protein,score
YBR010W,0.7950181604326437
YGR209C,0.7559383557583759
YNL030W,0.7205209537768755
YLL026W,0.7130426254039157
YKR048C,0.7006839090980944
YPR023C,0.6991417623794749
YDL185W,0.6943267710614943
YOR061W,0.6933917791118817
YNL333W,0.6930335209847454
YER177W,0.6914692079880715
YLR399C,0.6896440209618033
YGL234W,0.6891073993187049
YDR155C,0.6878760747949927
YOR039W,0.6859111521570849
YHR146W,0.6857890562254391
YPL127C,0.685437685457415
YDR463W,0.6852592492641877
YGL019W,0.6850516158816582
YFL036W,0.6847833726299929
YNR051C,0.6846258253694836
YKL185W,0.6845967866889414
YOL012C,0.6844725370864773
YBR103W,0.6842821894727744
YOR123C,0.6840669367037797
YLR442C,0.6834761359759809
YMR100W,0.6833453752666595
YGR275W,0.6833289150446192
YKL041W,0.6832704559458084
YAR018C,0.6832324850442917
YGL058W,0.6828379066735832
YOL054W,0.6826606172510059
YBR289W,0.6823786670782174
YDR310C,0.6822555924572979
YJR066W,0.6821238343435084
YER110C,0.6821153427364428
YGL013C,0.6818297894903599
YLR095C,0.6817520797717133
YKL038W,0.6816768368525006
YLR085C,0.6816115705045992
YOR141C,0.6816020149455857
YPR204W,0.6815678912567529
YKL002W,0.6814968366868215
YMR310C,0.6814240264518392
YNL330C,0.6813320403900949
YDL116W,0.6811971341176866
YMR044W,0.6810953522791913
YPL119C,0.6810229309084438
YMR205C,0.6809600593843141
YPR031W,0.6809076817267166
YDL192W,0.680865413292402
YHR008C,0.6807092523643472
YPL181W,0.6806470219216845
YJR077C,0.6805473979976038
YPR036W,0.6804941446042033
YLR025W,0.6804267228200965
YDL156W,0.6802927865950773
YPL180W,0.6801202925493124
YLR052W,0.6801044849158492
YPL001W,0.6800830312799464
YDR254W,0.680082517478576
YPL049C,0.6799946391566463
YLR455W,0.6799893245302392
YLR096W,0.6799821868374153
YBL006C,0.6799733373592368
YFL013C,0.6799682309144403
YLL022C,0.6798562006424853
YDR097C,0.6798387618426154
YER064C,0.6797701688358115
YAL011W,0.6797478066850035
YGR071C,0.6797377487956985
YML074C,0.6797338204886307
YNL107W,0.6797139193301043
YBR221C,0.679669968348465
YOR290C,0.6796596556091132
YKL009W,0.6796355755000648
YIL112W,0.6795975202576947
YKR035W-A,0.6795969198421646
