rank,protein,driver_score
1,YLR274W,0.9999999999408091
2,YLR212C,0.9074734292813912
3,YGR246C,0.857184065828684
4,YDR146C,0.8222321483700917
5,YOR304W,0.8114259780944648
6,YPL007C,0.7900480647659152
7,YLR033W,0.7856728234371912
8,YDR191W,0.7727337592387179
9,YDR359C,0.7616786487528858
10,YDR098C,0.7557585205449584
11,YDR145W,0.7502749626222546
12,YER088C,0.7411206311332339
13,YJR053W,0.7354153261474373
14,YKL089W,0.7310703212249077
15,YNL265C,0.7232233898860106
16,YPR018W,0.7179580562369664
17,YFL021W,0.7171197257114991
18,YLR015W,0.7129828772780332
19,YPR179C,0.7077470313473332
20,YLR357W,0.7035310099729781
21,YPL042C,0.7026821412777544
22,YFR028C,0.699144924335878
23,YDL132W,0.6978948932053921
24,YFR013W,0.6956795405731955
25,YOL070C,0.6920358535588065
26,YOL017W,0.68824570615015
27,YML085C,0.6848742239786094
28,YKR008W,0.6840187855182102
29,YGR198W,0.6825443733376839
30,YBL104C,0.6798094026503378
31,YHR187W,0.6768067100245672
32,YBR245C,0.674242826247128
33,YER070W,0.6735197808055671
34,YNL273W,0.6708197362056628
35,YDR469W,0.6688579559489256
36,YBL085W,0.6682869517072361
37,YBR279W,0.6648181721739269
38,YMR070W,0.662630275457651
39,YCL037C,0.6619389344546317
40,YMR270C,0.6602570358815112
41,YGL194C,0.6596568852163225
42,YMR212C,0.6578446658179277
43,YDL056W,0.655363087450029
44,YKL002W,0.6551958320857861
45,YAL047C,0.653903740859167
46,YOL146W,0.6531149907638714
47,YDR392W,0.6509341006458607
48,YDR214W,0.6506061516702579
49,YGR270W,0.6483289156475611
50,YFL036W,0.6481476196801422
51,YMR310C,0.6465599225146647
52,YHR107C,0.644943150407006
53,YJL115W,0.6443857247559153
54,YAL011W,0.6432871085672914
55,YDL143W,0.642505344947839
56,YDR186C,0.6409785694642703
57,YDR295C,0.639617696968938
58,YOR179C,0.6379867253866919
59,YIR010W,0.6365662964622668
60,YDR334W,0.6351957534338182
61,YDL185W,0.6351442058325321
62,YPR175W,0.6338535601028928
63,YLL002W,0.6324288711709858
64,YHR207C,0.6313239834532973
65,YOR091W,0.6303309691379497
66,YLR095C,0.6300370712848042
67,YMR117C,0.62920463642646
68,YPR181C,0.6288570258232294
69,YPL116W,0.6279434843113909
70,YJL042W,0.6275175751995681
71,YML127W,0.627190067490311
72,YDR181C,0.6263212762700148
73,YDR463W,0.6248707626696846
74,YCL061C,0.6240165460038976
75,YDL055C,0.6233519018671949
76,YGL195W,0.6221218183443741
77,YGR237C,0.6208770380900891
78,YPR031W,0.6204360093743433
79,YLR384C,0.6194866353535441
80,YPR036W,0.6186134877015871
81,YLR055C,0.6178944565040518
82,YOR288C,0.61720228220791
83,YLR385C,0.6163603069882551
84,YPL101W,0.6158071025644264
85,YNL097C,0.6146787047197722
86,YML102W,0.6136628229759556
87,YOL139C,0.6131425780397614
88,YGL112C,0.6122052504924467
89,YER159C,0.6117667632478407
90,YMR104C,0.6110954826623697
91,YGR047C,0.6108218763069926
92,YBL032W,0.6100169593272482
93,YJL041W,0.6088422065722535
94,YPL124W,0.6084387705970423
95,YER155C,0.6083224647229987
96,YMR223W,0.6072766223491829
97,YBR072W,0.6069009584737398
98,YLR182W,0.6064066923058453
99,YMR131C,0.6061519577945425
100,YGL071W,0.6053874231620917
101,YHR206W,0.6052380581546437
102,YGL244W,0.6044182913162314
103,YBR193C,0.6036468637391987
104,YOR080W,0.6027549969228675
105,YOR061W,0.6020319205201448
106,YKL110C,0.6013978702991098
107,YJL076W,0.6007640137061291
108,YBR225W,0.6005316699248565
109,YGL205W,0.5998989441909222
110,YFL024C,0.599099433846155
111,YOL068C,0.5988952937199771
112,YGL237C,0.598303066238078
113,YPL204W,0.5980857890678977
114,YNL021W,0.5977623316374344
115,YJL039C,0.5973518601259977
116,YDR538W,0.5968291189040794
117,YEL055C,0.5958310383622785
118,YCR042C,0.5952150809064164
119,YPR040W,0.5949109733493083
120,YGL207W,0.5946587056753925
121,YGR187C,0.5941140535657606
122,YEL032W,0.5937325610074656
123,YDR080W,0.5934408628937159
124,YML017W,0.5928809992717046
