index,protein,bc
0,YLL063C,0.0
1,YLR413W,766.1685432266013
2,YLR370C,1388.9438790863549
3,YDR331W,0.0
4,YGR187C,0.0
5,YBR288C,0.0
6,YPR168W,0.0
7,YFL026W,0.0
8,YKL048C,0.0
9,YPR075C,0.0
10,YER099C,0.0
11,YDR334W,0.0
12,YFR041C,0.0
13,YOR357C,8.142069364800616
14,YGL263W,0.0
15,YER113C,0.0
16,YER029C,0.0
17,YML112W,0.0
18,YDR365C,0.0
19,YDL224C,0.0
20,YKR071C,841.0
21,YPR106W,0.0
22,YDR068W,1013.0801553415059
23,YPL010W,158.95883940683177
24,YBR155W,0.0
25,YOR294W,0.0
26,YDL182W,0.0
27,YLR450W,4189.0
28,YIL044C,0.0
29,YPL112C,0.5
30,YPL203W,0.0
31,YGL141W,0.0
32,YJR138W,0.0
33,YLL011W,1681.0
34,YDL208W,4449.977991889293
35,YKR026C,0.0
36,YNL197C,364.6596239694535
37,YGR120C,0.0
38,YCR084C,0.0
39,YPL004C,14762.68793434199
40,YLR084C,0.0
41,YBR132C,52.05790162756775
42,YFL005W,5626.936836601944
43,YIL068C,3174.801733641033
44,YDR226W,0.0
45,YOR039W,0.5
46,YOR076C,0.0
47,YLR110C,0.0
48,YLR033W,11283.360464819816
49,YKL054C,11925.678058621515
50,YDR150W,0.0
51,YNL110C,0.0
52,YIL103W,0.0
53,YBL028C,0.0
54,YOL125W,0.0
55,YGL256W,2519.0
56,YOR087W,0.0
57,YMR120C,55783.855365058065
58,YMR300C,697.9314036364806
59,YKL010C,0.0
60,YPL227C,11661.318118615578
61,YAL041W,0.0
62,YGL056C,6307.997987630968
63,YKR100C,0.0
64,YLR166C,0.0
65,YOR153W,17.777196001864375
66,YPR128C,0.0
67,YBL017C,3661.58560065842
68,YDL248W,0.0
69,YGR096W,0.0
70,YOR054C,95.03935866237303
71,YDL212W,2176.262649325292
72,YCR095C,0.0
73,YCL055W,0.0
74,YDL199C,0.0
75,YHL009C,0.0
76,YML017W,0.0
77,YMR026C,0.0
78,YDL111C,0.0
79,YCR057C,841.0
80,YCR093W,3307.405085161248
81,YNL078W,0.0
82,YAL009W,0.0
83,YHR042W,2.808420745920745
84,YDR412W,0.0
85,YLR409C,0.0
86,YBR068C,243.5782331693678
87,YLR138W,0.0
88,YHL002W,0.0
89,YCR092C,0.0
90,YPR113W,11344.059948896906
91,YKR097W,0.0
92,YDL100C,841.0
93,YGR232W,0.0
94,YHR025W,0.0
95,YBR077C,0.0
96,YMR015C,19448.43170515352
97,YJL127C,0.0
98,YML093W,0.0
99,YER157W,999.0336055862645
100,YMR136W,1680.0
101,YJL154C,1596.850543251053
102,YMR290C,0.0
103,YGR205W,0.0
104,YJL082W,0.0
105,YHR096C,14.150972691665912
106,YOL081W,0.0
107,YHR156C,0.0
108,YMR229C,22.731957565591447
109,YGR036C,0.0
110,YKL159C,0.0
111,YLR221C,0.0
112,YDR397C,0.0
113,YNL339C,3352.0
114,YDR380W,1147.298277629762
115,YBR097W,0.0
116,YJL092W,0.0
117,YBR234C,9526.748911491244
118,YIL034C,2345.847757876255
119,YOR267C,0.0
120,YJR091C,0.0
121,YLR066W,0.0
122,YLR384C,4187.0
123,YKL172W,10721.17228836639
124,YDR032C,10106.466442823757
125,YER116C,0.0
126,YPR129W,231.41916498384302
127,YGR241C,0.0
128,YDR202C,0.0
129,YLR466W,0.0
130,YNR053C,0.0
