index,protein,dc
0,YLL063C,47640.0
1,YLR413W,710145.0
2,YLR370C,377129.0
3,YDR331W,132273.0
4,YGR187C,49066.0
5,YBR288C,33100.0
6,YPR168W,29176.0
7,YFL026W,23416.0
8,YKL048C,23541.0
9,YPR075C,23428.0
10,YER099C,178575.0
11,YDR334W,23789.0
12,YFR041C,25443.0
13,YOR357C,52267.0
14,YGL263W,24357.0
15,YER113C,51357.0
16,YER029C,26255.0
17,YML112W,23224.0
18,YDR365C,28152.0
19,YDL224C,102361.0
20,YKR071C,109193.0
21,YPR106W,65923.0
22,YDR068W,311776.0
23,YPL010W,290440.0
24,YBR155W,49066.0
25,YOR294W,67665.0
26,YDL182W,60477.0
27,YLR450W,132024.0
28,YIL044C,44413.0
29,YPL112C,166108.0
30,YPL203W,51212.0
31,YGL141W,24949.0
32,YJR138W,27750.0
33,YLL011W,90753.0
34,YDL208W,462895.0
35,YKR026C,154154.0
36,YNL197C,497207.0
37,YGR120C,23832.0
38,YCR084C,29219.0
39,YPL004C,1201587.0
40,YLR084C,39184.0
41,YBR132C,55480.0
42,YFL005W,385819.0
43,YIL068C,155636.0
44,YDR226W,23555.0
45,YOR039W,116257.0
46,YOR076C,23661.0
47,YLR110C,82970.0
48,YLR033W,109442.0
49,YKL054C,1273558.0
50,YDR150W,39184.0
51,YNL110C,29542.0
52,YIL103W,28042.0
53,YBL028C,41515.0
54,YOL125W,48382.0
55,YGL256W,72831.0
56,YOR087W,37967.0
57,YMR120C,737715.0
58,YMR300C,82434.0
59,YKL010C,37378.0
60,YPL227C,279897.0
61,YAL041W,100000.0
62,YGL056C,531528.0
63,YKR100C,25938.0
64,YLR166C,24727.0
65,YOR153W,560544.0
66,YPR128C,44705.0
67,YBL017C,542474.0
68,YDL248W,24904.0
69,YGR096W,23344.0
70,YOR054C,560470.0
71,YDL212W,536112.0
72,YCR095C,33625.0
73,YCL055W,28731.0
74,YDL199C,25790.0
75,YHL009C,23754.0
76,YML017W,58155.0
77,YMR026C,26360.0
78,YDL111C,28460.0
79,YCR057C,74115.0
80,YCR093W,1077513.0
81,YNL078W,0.0
82,YAL009W,23643.0
83,YHR042W,116123.0
84,YDR412W,24794.0
85,YLR409C,24783.0
86,YBR068C,252895.0
87,YLR138W,61051.0
88,YHL002W,61229.0
89,YCR092C,24285.0
90,YPR113W,748713.0
91,YKR097W,29241.0
92,YDL100C,91280.0
93,YGR232W,27389.0
94,YHR025W,26823.0
95,YBR077C,94961.0
96,YMR015C,289478.0
97,YJL127C,24650.0
98,YML093W,26425.0
99,YER157W,255357.0
100,YMR136W,55342.0
101,YJL154C,342536.0
102,YMR290C,28254.0
103,YGR205W,29368.0
104,YJL082W,28947.0
105,YHR096C,561170.0
106,YOL081W,35029.0
107,YHR156C,0.0
108,YMR229C,185594.0
109,YGR036C,49089.0
110,YKL159C,45090.0
111,YLR221C,32898.0
112,YDR397C,31705.0
113,YNL339C,51900.0
114,YDR380W,56404.0
115,YBR097W,25904.0
116,YJL092W,0.0
117,YBR234C,1287099.0
118,YIL034C,436253.0
119,YOR267C,31200.0
120,YJR091C,24114.0
121,YLR066W,29222.0
122,YLR384C,156670.0
