index,protein,ec
0,YLL063C,0.00022796352889763923
1,YLR413W,0.116425791761711
2,YLR370C,0.0015517801805288011
3,YDR331W,7.731196039267243e-05
4,YGR187C,1.0165042736875628e-39
5,YBR288C,2.1761859156024666e-07
6,YPR168W,4.788895754698283e-08
7,YFL026W,3.4470919030766874e-06
8,YKL048C,3.426319513394761e-49
9,YPR075C,0.0014375046905550806
10,YER099C,1.0888522318286037e-24
11,YDR334W,4.326970999446542e-40
12,YFR041C,6.148737021854542e-06
13,YOR357C,0.0016022848503707602
14,YGL263W,2.0936066901327137e-48
15,YER113C,0.0005482547831140037
16,YER029C,7.018713631933878e-48
17,YML112W,9.806707520165692e-49
18,YDR365C,3.0798780507990545e-12
19,YDL224C,0.0008051494368117101
20,YKR071C,7.70504031515269e-08
21,YPR106W,8.021748338461467e-05
22,YDR068W,0.004352400362251427
23,YPL010W,0.003369221213831169
24,YBR155W,7.548674569187336e-40
25,YOR294W,1.1894035190858182e-06
26,YDL182W,1.1466598853608413e-37
27,YLR450W,1.165335513672163e-07
28,YIL044C,2.39570281584027e-05
29,YPL112C,0.00029035949598999367
30,YPL203W,2.4826789774757436e-08
31,YGL141W,7.0548175461608045e-40
32,YJR138W,0.00015096285814603392
33,YLL011W,1.9182349263692785e-07
34,YDL208W,4.9641668173086916e-05
35,YKR026C,7.085621869394424e-07
36,YNL197C,0.010313884656730443
37,YGR120C,2.0960767078040987e-49
38,YCR084C,2.323022664057519e-46
39,YPL004C,0.09430080835221977
40,YLR084C,4.349438743403981e-43
41,YBR132C,0.0035539120580892897
42,YFL005W,0.005635898515746522
43,YIL068C,0.00017336926305671713
44,YDR226W,3.730537682273642e-05
45,YOR039W,1.2565214839108596e-28
46,YOR076C,3.16325263028386e-50
47,YLR110C,0.0013356051448225013
48,YLR033W,4.267405478004647e-05
49,YKL054C,0.008751399364925855
50,YDR150W,1.6670516101478698e-42
51,YNL110C,5.315993695019717e-08
52,YIL103W,5.522731725133451e-47
53,YBL028C,1.7231834217390536e-06
54,YOL125W,7.35239843632022e-05
55,YGL256W,0.0002846100569537742
56,YOR087W,4.670758113751295e-05
57,YMR120C,0.006360273076806737
58,YMR300C,0.00019472171898666176
59,YKL010C,0.006087800149879723
60,YPL227C,0.0019211566348230338
61,YAL041W,0.0005542527118536585
62,YGL056C,0.08088774589222644
63,YKR100C,0.003977881967170608
64,YLR166C,9.76648647719007e-08
65,YOR153W,0.08643575408995434
66,YPR128C,0.00020644115927868006
67,YBL017C,0.006027726264936047
68,YDL248W,6.520710051613561e-11
69,YGR096W,4.246030140446428e-40
70,YOR054C,0.015044606603229961
71,YDL212W,0.011703290375166238
72,YCR095C,1.826347391371543e-45
73,YCL055W,0.0002657795265947335
74,YDL199C,0.00022875535858636698
75,YHL009C,1.0760227833526855e-10
76,YML017W,3.166548333266122e-05
77,YMR026C,0.0001217266292044739
78,YDL111C,5.104051865568673e-07
79,YCR057C,9.046623697810692e-09
80,YCR093W,0.008329405090714866
81,YNL078W,0.0
82,YAL009W,1.1510455267425282e-41
83,YHR042W,0.003702049737424727
84,YDR412W,4.003625791239132e-07
85,YLR409C,1.9038051113177053e-10
86,YBR068C,0.0095889484991566
87,YLR138W,0.004958095248573539
88,YHL002W,4.981331600213121e-38
89,YCR092C,9.844021007052936e-08
90,YPR113W,0.01897835220634298
91,YKR097W,0.00022799829110123254
92,YDL100C,9.887973242074397e-06
93,YGR232W,1.8127966746432317e-08
94,YHR025W,1.9974103993697607e-05
95,YBR077C,0.00011543279497356047
96,YMR015C,0.005635337417427077
97,YJL127C,8.765665069094174e-49
98,YML093W,4.3042053164548294e-09
99,YER157W,0.0035496293894375017
100,YMR136W,2.030453784727712e-08
101,YJL154C,0.0016609664970643292
102,YMR290C,1.9930160123145574e-06
103,YGR205W,5.29340687901477e-42
104,YJL082W,0.0002257059106223241
105,YHR096C,0.08580156517299432
106,YOL081W,2.6163131100644607e-44
107,YHR156C,0.0
108,YMR229C,3.1844969151520493e-06
109,YGR036C,8.26461765761995e-41
110,YKL159C,7.172452036494391e-38
111,YLR221C,0.005358137121588719
112,YDR397C,4.656238698457742e-08
113,YNL339C,0.002833493806309846
114,YDR380W,0.0005349430912387734
115,YBR097W,6.770653575002285e-48
116,YJL092W,0.0
117,YBR234C,0.006950419533780878
118,YIL034C,0.0009005893320038835
119,YOR267C,3.4497723837580706e-06
120,YJR091C,6.808674551849993e-05
121,YLR066W,1.830907704062336e-46
122,YLR384C,1.4360829442157016e-07
123,YKL172W,4.888299410056294e-05
124,YDR032C,0.17343832346710975
125,YER116C,9.225229421378171e-11
126,YPR129W,0.0039016735253338103
127,YGR241C,0.0017742540956280745
128,YDR202C,4.099009331317256e-06
129,YLR466W,1.7266490918507457e-42
130,YNR053C,8.252416978521445e-05
131,YKL171W,4.4843386242035136e-07
132,YCL063W,1.126326094857954e-40
133,YKL073W,1.2673888016305078e-42
134,YNL283C,0.08448982915363068
135,YKL135C,2.7920618871713097e-06
136,YJL036W,2.1880018555135215e-05
137,YDR063W,0.0002044931586064777
138,YOR360C,2.862558809766118e-43
139,YNL259C,0.0001223740829144734
140,YLR068W,3.115127776611895e-08
141,YLR273C,0.0
142,YKR101W,0.0
143,YHR007C,0.06022886500300691
144,YGL145W,0.00017772620067661114
145,YJL151C,0.03260603419283452
146,YGR065C,0.0705789007022342
147,YER159C,1.7294916699108822e-06
148,YML126C,4.2656359920941574e-06
149,YDR388W,0.00032908470260179006
150,YBR043C,0.005767655690380937
151,YHR178W,7.228482022648215e-49
152,YDL029W,0.0016830919253073933
153,YDL222C,0.18061257120103383
154,YBL085W,0.0001288970106686868
155,YMR221C,0.0009189593224344589
156,YGL095C,0.0018694678552088183
157,YJL130C,8.799583720252497e-07
158,YDR517W,0.0009008116340973027
159,YDL160C,0.004257413430764834
160,YML031W,0.001290379062577648
161,YFL038C,0.0017896775749302323
162,YBL043W,1.5736763919348905e-44
163,YBR186W,3.8626341274940225e-05
164,YML092C,2.9721674048891e-26
