selected_frac,energy_cost,strategy
0.05,23140.92059007587,Random
0.1,10980.618401927466,Random
0.15,6722.698224345969,Random
0.2,4886.318490495589,Random
0.25,3958.4968372361955,Random
0.3,3290.619308711774,Random
0.35,2590.249984847204,Random
0.4,2249.4519201737094,Random
0.45,1951.8393690298303,Random
0.5,1745.0900081326658,Random
0.55,1586.9775765384834,Random
0.6,1452.7463020689847,Random
0.65,1338.4220444744662,Random
0.7,1239.2596059364928,Random
0.75,1158.7169324675633,Random
0.8,1085.7712169909437,Random
0.85,996.2024676292652,Random
0.9,938.3948778037624,Random
0.95,889.9376530149775,Random
1.0,841.6513381811963,Random
0.05,25913.101556755537,DC
0.1,10751.920188451877,DC
0.15,6709.140835283987,DC
0.2,4885.852165169818,DC
0.25,3768.3806484227784,DC
0.3,3064.8405650503228,DC
0.35,2596.105697482919,DC
0.4,2250.8623253563374,DC
0.45,1965.700012039587,DC
0.5,1747.2183703204332,DC
0.55,1570.1343628172067,DC
0.6,1430.0108713918341,DC
0.65,1314.6039895045274,DC
0.7,1214.137220176649,DC
0.75,1130.745097593583,DC
0.8,1057.2800184364974,DC
0.85,994.0785727168142,DC
0.9,936.7862320583105,DC
0.95,886.474343407453,DC
1.0,841.6513381811963,DC
0.05,26601.570447881022,BC
0.1,10231.30306734335,BC
0.15,6194.279827667381,BC
0.2,4548.16902893431,BC
0.25,3593.9092298453243,BC
0.3,2952.584972109174,BC
0.35,2522.0279496396915,BC
0.4,2176.970017215649,BC
0.45,1928.890930959891,BC
0.5,1727.269388655097,BC
0.55,1552.6660527410404,BC
0.6,1417.9922933176679,BC
0.65,1304.6636357363623,BC
0.7,1209.229842898026,BC
0.75,1127.5263268757628,BC
0.8,1054.4395250735067,BC
0.85,991.4046121466879,BC
0.9,935.3123075433391,BC
0.95,886.3783009086983,BC
1.0,841.6513381811963,BC
0.05,27041.672616571523,EC
0.1,10689.465315963538,EC
0.15,6690.264012806374,EC
0.2,4819.615385694515,EC
0.25,3760.758012333017,EC
0.3,3157.8973017690946,EC
0.35,2697.4117583749376,EC
0.4,2350.699924371424,EC
0.45,2083.8088213991887,EC
0.5,1829.651154364258,EC
0.55,1585.0706927843485,EC
0.6,1451.1049318092655,EC
0.65,1329.929066618375,EC
0.7,1228.9533832088932,EC
0.75,1137.52734501816,EC
0.8,1056.7655807857234,EC
0.85,995.4194932930775,EC
0.9,936.8891910540905,EC
0.95,886.6573448363972,EC
1.0,841.6513381811963,EC
0.05028462998102467,18057.185392056177,HyperDriver (Full)
0.09962049335863378,8739.622376286232,HyperDriver (Full)
0.14990512333965844,5717.995539078009,HyperDriver (Full)
0.20018975332068312,4254.8621956139195,HyperDriver (Full)
0.2504743833017078,3386.8112478975117,HyperDriver (Full)
0.2998102466793169,2823.538349502488,HyperDriver (Full)
0.05,61733.56738859891,w/o Greedy
0.1,18742.717042837427,w/o Greedy
0.15,8577.632661077192,w/o Greedy
0.2,5388.215571535923,w/o Greedy
0.25,4009.5784820842828,w/o Greedy
0.3,3264.397651093942,w/o Greedy
0.35,2722.9284772172537,w/o Greedy
0.4,2370.5285869166996,w/o Greedy
0.45,2105.8270781453525,w/o Greedy
0.5,1866.7881872968355,w/o Greedy
0.55,1649.9762907556856,w/o Greedy
0.6,1522.0129707489152,w/o Greedy
0.65,1427.0688075591183,w/o Greedy
0.7,1338.9240414369456,w/o Greedy
0.75,1259.740455496375,w/o Greedy
0.8,1174.2704703447948,w/o Greedy
0.85,1091.8019501646263,w/o Greedy
0.9,1020.3484621013158,w/o Greedy
0.95,960.3908003805059,w/o Greedy
1.0,841.6513381811963,w/o Greedy
0.05028462998102467,30602981525871.965,w/o Hypergraph
0.09962049335863378,28556563.59769968,w/o Hypergraph
0.14990512333965844,1927.0451521970513,w/o Hypergraph
0.20018975332068312,282.31868853855156,w/o Hypergraph
0.2504743833017078,133.2397896309183,w/o Hypergraph
0.2998102466793169,86.9795364500848,w/o Hypergraph
0.05028462998102467,146194.43541597784,w/o Dynamics
0.09962049335863378,46913.20707182397,w/o Dynamics
0.14990512333965844,25755.323150350414,w/o Dynamics
0.20018975332068312,17092.373582221575,w/o Dynamics
0.2504743833017078,12831.55412099271,w/o Dynamics
0.2998102466793169,10363.884533269742,w/o Dynamics
