selected_frac,energy,strategy
0.05,26167.37437936848,Random
0.1,13231.572543860802,Random
0.15,8571.889954172997,Random
0.2,5235.617767420656,Random
0.25,4215.361174886224,Random
0.3,3414.671785407587,Random
0.35,2759.046642843008,Random
0.4,2399.300250884481,Random
0.45,2060.428444068214,Random
0.5,1852.9247602789997,Random
0.55,1680.7944363271927,Random
0.6,1536.8223213900671,Random
0.65,1421.0439190517368,Random
0.7,1315.1196532892495,Random
0.75,1228.5460172277867,Random
0.8,1153.269625731527,Random
0.85,1058.140023204824,Random
0.9,996.2502084065281,Random
0.95,944.2971213993742,Random
1.0,892.9940325211188,Random
0.05,26958.896511698185,DC
0.1,12303.09926095692,DC
0.15,7276.448732535456,DC
0.2,5150.163912839646,DC
0.25,3962.236785429824,DC
0.3,3211.142729631768,DC
0.35,2684.5305535019033,DC
0.4,2318.442251406632,DC
0.45,2039.8599779902192,DC
0.5,1825.4032303848562,DC
0.55,1648.5279356285282,DC
0.6,1503.5572796547149,DC
0.65,1385.21419574116,DC
0.7,1281.6096298611387,DC
0.75,1193.5064720664095,DC
0.8,1118.4667935091484,DC
0.85,1051.8762705710442,DC
0.9,993.064036838476,DC
0.95,940.061249281055,DC
1.0,892.9940325211188,DC
0.05,23756.319491239632,BC
0.1,10789.382919059277,BC
0.15,6715.43542727794,BC
0.2,4908.735635414052,BC
0.25,3896.4030546082768,BC
0.3,3181.5839497472252,BC
0.35,2684.9129709849776,BC
0.4,2322.9640766571956,BC
0.45,2046.0385033783327,BC
0.5,1833.4079208367486,BC
0.55,1653.814646744585,BC
0.6,1505.2683951151103,BC
0.65,1384.6766094372847,BC
0.7,1280.8763287872375,BC
0.75,1191.8745823614786,BC
0.8,1117.0647512582295,BC
0.85,1050.2713794130932,BC
0.9,991.3687650634602,BC
0.95,939.9840674200655,BC
1.0,892.9940325211188,BC
0.05,29752.915580073884,EC
0.1,11902.004668243268,EC
0.15,7265.832751399799,EC
0.2,5218.935199742608,EC
0.25,4070.848856885667,EC
0.3,3345.0014536038298,EC
0.35,2843.1656050629717,EC
0.4,2485.677844538456,EC
0.45,2210.3398198046452,EC
0.5,1953.391196734871,EC
0.55,1699.916220162846,EC
0.6,1556.3265227204447,EC
0.65,1436.5256615079936,EC
0.7,1322.388336932576,EC
0.75,1205.4789518903451,EC
0.8,1119.400083469744,EC
0.85,1052.1761224969823,EC
0.9,992.7550328193936,EC
0.95,940.0881316436536,EC
1.0,892.9940325211189,EC
0.050332383665717,18978.762368928084,HyperDriver
0.09971509971509972,9252.320675266383,HyperDriver
0.15004748338081672,6081.052020148872,HyperDriver
0.2003798670465337,4521.497024928069,HyperDriver
0.24976258309591642,3608.4632747748096,HyperDriver
0.30009496676163344,2995.155220392838,HyperDriver
0.05,51871.70345157398,w/o Greedy
0.1,22935.03499291587,w/o Greedy
0.15,14603.773794966728,w/o Greedy
0.2,11065.370581377156,w/o Greedy
0.25,9165.130919545903,w/o Greedy
0.3,7806.539612290757,w/o Greedy
0.35,6774.750473577508,w/o Greedy
0.4,6154.48154610766,w/o Greedy
0.45,5526.1149887271085,w/o Greedy
0.5,5055.893620949982,w/o Greedy
0.55,4517.861982183667,w/o Greedy
0.6,4125.149113807436,w/o Greedy
0.65,3772.611747923016,w/o Greedy
0.7,3389.27013110866,w/o Greedy
0.75,3055.1650586584633,w/o Greedy
0.8,2590.58545861125,w/o Greedy
0.85,2126.8917897877755,w/o Greedy
0.9,1809.4961579483058,w/o Greedy
0.95,1520.452071748845,w/o Greedy
1.0,892.9940325211188,w/o Greedy
0.050332383665717,319438718053.5767,w/o Hypergraph
0.09971509971509972,5234815.674836154,w/o Hypergraph
0.15004748338081672,2326.554951662163,w/o Hypergraph
0.2003798670465337,390.06778505835644,w/o Hypergraph
0.24976258309591642,160.44060874758077,w/o Hypergraph
0.30009496676163344,101.31947006546214,w/o Hypergraph
0.050332383665717,134255.25438622918,w/o Dynamics
0.09971509971509972,44604.06653176724,w/o Dynamics
0.15004748338081672,24474.25826254248,w/o Dynamics
0.2003798670465337,16831.570641587132,w/o Dynamics
0.24976258309591642,12706.875140466225,w/o Dynamics
0.30009496676163344,10190.35488754008,w/o Dynamics
