protein,score
YGL077C,0.8410311407493637
YML012W,0.7886444713871879
YJL151C,0.7198193458162498
YBR207W,0.5989531028734167
YAR002C-A,0.5981709926868092
YDR032C,0.5981298335448312
YML072C,0.591652535233261
YER020W,0.5859428611002043
YDL192W,0.5743946943659859
YML086C,0.5592736386020764
YCR028C-A,0.5498280910578882
YIL027C,0.538825357150841
YDL222C,0.5285474392191912
YPL246C,0.5249486195359275
YLR216C,0.5160419812590792
YDR100W,0.5142714640407443
YBR052C,0.5023584903745193
YGL006W,0.48729947170913507
YKL054C,0.4698933792955312
YLR350W,0.462115725254759
YPL004C,0.4618329264906397
YLL028W,0.45205244440956815
YOL147C,0.4385926976295862
YMR120C,0.41143287714614324
YHR089C,0.39767317101127214
YGR284C,0.39415858912055696
YDL160C,0.382655730816895
YOR273C,0.3809241360121642
YBR177C,0.3789163578870012
YDR011W,0.3773894388449495
YJL178C,0.3663798358384007
YPL221W,0.3662121698502276
YHR096C,0.3646116150302521
YCR021C,0.35975462988015267
YMR125W,0.3561249484757217
YDR497C,0.3483449966549181
YHR110W,0.34314476959626017
YKR048C,0.34175737501195064
YCR030C,0.3366481327535834
YML016C,0.33648766885638154
YGR130C,0.33573999789591796
YNL016W,0.3350186675231501
YGR281W,0.3258507509064873
YBR283C,0.3248496413011035
YNL288W,0.31212992699063463
YDR264C,0.3087583714577851
YGR020C,0.308423151731497
YMR272C,0.30759836512252003
YGL056C,0.3057170496538974
YPR138C,0.29560862724353404
YPL265W,0.2939367599418086
YMR292W,0.28958979110330607
YIR038C,0.28615398002925024
YLR337C,0.2852489370724176
YPR036W,0.2840167856474149
YFL048C,0.2827185996054651
YEL013W,0.28030056254882124
YHR001W,0.2793784572726249
YNL255C,0.2774139821585586
YMR105C,0.2771614372319364
YER166W,0.27644818263271786
YOR153W,0.27640795426178166
YDL168W,0.27213750866263003
YMR010W,0.2714574625950762
YNL268W,0.270707166756869
YNL186W,0.2702747137609795
YBL017C,0.2684453837455009
YLR386W,0.26380839835404296
YMR109W,0.2631315119782187
YAL008W,0.25752280097230534
YLR370C,0.2523097332280242
YOR316C,0.2505949951539869
YOR120W,0.24742581668028987
YNL283C,0.24348734820872495
YHR039C,0.2416047300877859
YGR121C,0.24052426282545178
YOR270C,0.23858501943369756
YIL105C,0.2375904451604477
YIL124W,0.23671494805480903
YDL123W,0.23480888944260087
YNL229C,0.2312480425152519
YOR327C,0.22996483038226614
YBR068C,0.228891986846375
YIR037W,0.22712238730929793
YOR323C,0.22699129739698018
YLR326W,0.22583329344862144
YBR023C,0.2253272615730386
YLL021W,0.22497583839171287
YMR015C,0.22252122686499057
YPL145C,0.21892475513098694
YOR054C,0.21527930264631878
YCL037C,0.21388541992340412
YGL178W,0.21335367277026443
YOL129W,0.2132801862374888
YLR447C,0.21109791967547667
YDL052C,0.21091370912590585
YIL034C,0.2106359353246201
YNL130C,0.20978735563932596
YGR037C,0.20937175080674317
YGR229C,0.20749961074884532
YIL038C,0.20707707988470508
YKL094W,0.20703699554383698
YPL059W,0.20583178337013652
YBR241C,0.20546796795129993
YIL033C,0.20532031289363842
YPL227C,0.20355474075219349
YER145C,0.2028322182999768
YHR116W,0.20135349469368727
YML055W,0.20035382692464473
YLR144C,0.1986850666353944
YBR041W,0.19732914189115527
YDR092W,0.19605221117241736
YGR106C,0.19559152133769664
YJL192C,0.1939801796276282
YLR028C,0.1928220559598489
YLR332W,0.19256500953389166
YAL021C,0.19176456095018904
YFR024C-A,0.1913932340952685
YPR029C,0.19033062107845417
YML001W,0.19016990961497424
YFR001W,0.1889926114221686
YOL105C,0.18896438024017
YKL080W,0.18842287963182902
YGR054W,0.18821588455985208
YKL002W,0.18731736794347342
YCL056C,0.18728951299516228
YKL140W,0.1869667715242613
YOR165W,0.18660083635407124
YML067C,0.1857662471847793
YPR072W,0.18574366495040256
YPL087W,0.18514811566126566
YDR297W,0.18334016392858832
YLR345W,0.18226278263269552
YML121W,0.17920485952827553
YPL127C,0.1786537474852732
YCR077C,0.17759830096811186
YGL195W,0.17738168968764428
YDR068W,0.1771127071654574
YJL154C,0.1760078344989124
YHR123W,0.17481999433097625
YHL016C,0.1746771760502925
YLR219W,0.17405979931918591
YOR016C,0.17374743317339736
YIL121W,0.17320193689081298
YKR003W,0.17295282401797138
YGL153W,0.17256281877252716
YMR011W,0.17225215932570498
YLR413W,0.1712385917631165
YHR175W,0.17047434919820875
YLR025W,0.16950785325095866
YGL023C,0.1691072531710036
YJR117W,0.16908778639055194
YGR163W,0.1678127724262192
