rank,protein,driver_score
1,YGR200C,0.9999999999380716
2,YDR093W,0.8935031467616279
3,YNL339C,0.8538963433178
4,YMR026C,0.8265049051503821
5,YDR484W,0.8083432474111256
6,YGR113W,0.7942545246177286
7,YML055W,0.7839872078618412
8,YDR141C,0.7769229228854473
9,YBL028C,0.7695191462763428
10,YBL034C,0.7608952057472622
11,YDR365C,0.7545339866934891
12,YMR125W,0.7490107297783124
13,YIL009W,0.7447883237094384
14,YLR216C,0.7396857493678702
15,YJR040W,0.7360078741564986
16,YBL042C,0.7311442191345543
17,YER006W,0.7271672479217713
18,YIL121W,0.7242807638310824
19,YLR056W,0.7216803845921858
20,YAR042W,0.7181650953630433
21,YDL021W,0.7142007872584857
22,YDR060W,0.7119525818139213
23,YLR403W,0.7092288709299039
24,YLR386W,0.7061091944293298
25,YGL099W,0.7037159184122941
26,YBL043W,0.7017866570255971
27,YPL057C,0.6989036480023324
28,YHR123W,0.696141315316481
29,YNL030W,0.6946621283040035
30,YJL109C,0.6928173568829992
31,YKL054C,0.6906418639133428
32,YLR413W,0.6896735032403779
33,YDR034W-B,0.6882447385152187
34,YLR272C,0.6865402351505011
35,YPR075C,0.6847404251849659
36,YGL064C,0.6831727163631592
37,YBR077C,0.6814850566885585
38,YKL150W,0.6795673196048089
39,YHR084W,0.6779375438404286
40,YDL236W,0.6770393173939393
41,YBR125C,0.6750965829547056
42,YDR350C,0.6736761532708422
43,YEL041W,0.6722383083548651
44,YHL003C,0.6706541953114169
45,YGL141W,0.6694460641497424
46,YNL307C,0.6682819125995266
47,YPL055C,0.6668088966107406
48,YFL048C,0.665374448001306
49,YGR103W,0.6645481776077387
50,YNL243W,0.6634563105443777
51,YIL044C,0.6622562187231174
52,YLR088W,0.6610518998190663
53,YMR080C,0.6597117181678656
54,YGR065C,0.6586235134656543
55,YGL095C,0.6575424546599311
56,YDR503C,0.6565868301522555
57,YGR028W,0.6559798706639646
58,YJL006C,0.6545437703723797
59,YKL010C,0.6535518402701225
60,YER118C,0.6525898885447514
61,YPL070W,0.651736745799671
62,YER023W,0.6505570318066134
63,YHR136C,0.6496211179445709
64,YGL178W,0.6486818458296586
65,YCL010C,0.6478267778537726
66,YPL117C,0.647176796211979
67,YDR397C,0.6460373182746967
68,YHR094C,0.6457633653812248
69,YPL043W,0.6452071209616574
70,YNL329C,0.6443143982293938
71,YPR137W,0.6435800807861608
72,YJL069C,0.6426667951425629
73,YBR101C,0.64201028596891
74,YDL092W,0.6411960549299319
75,YPR040W,0.6404571259545179
76,YGR036C,0.6398566656155634
77,YHL007C,0.6389528742323318
78,YHR194W,0.6383623556945878
79,YJR010C-A,0.6375123554898202
80,YGR096W,0.6367353020154518
81,YDR063W,0.6361844250317654
82,YJR033C,0.6353539557457034
83,YIL127C,0.6347987359006328
84,YDR129C,0.6340181005677226
85,YLR138W,0.6333074706743834
86,YKR035W-A,0.6326363489478872
87,YNR053C,0.6319330779862116
88,YBR244W,0.6317521050689511
89,YMR272C,0.6311342359197631
90,YMR139W,0.6303097474374744
91,YBR169C,0.6296058640683533
92,YBR036C,0.6288905225297957
93,YOR076C,0.6282460798572808
94,YAR002W,0.6275781539926033
95,YLR033W,0.6271004853072465
96,YGL014W,0.6265137875346031
97,YMR152W,0.6258653525243333
98,YOR069W,0.6253283391380371
99,YBR265W,0.6250889595627335
100,YGR005C,0.6244714255720446
101,YKL026C,0.6238328429240622
102,YBR130C,0.6232642410365777
103,YLR292C,0.6227084349244045
104,YMR255W,0.6220768193584505
105,YOR014W,0.6215855835829541
106,YEL015W,0.6209424903265984
107,YDR297W,0.6204241614049946
108,YNL274C,0.6199385154781113
109,YDR478W,0.6194434231977811
110,YJR122W,0.6190630789486427
111,YEL002C,0.618433121107424
112,YMR266W,0.6178762424727512
113,YGR271W,0.6173367904973068
114,YML012W,0.6168941586838256
115,YOR294W,0.616358938316192
116,YOR109W,0.6159594064058919
117,YDL213C,0.6154001092883741
118,YDL043C,0.6149248783886089
119,YOR081C,0.6143977331790745
120,YLR449W,0.6139012612149658
121,YDR388W,0.613458184568788
122,YNL197C,0.6130469735046965
123,YLR450W,0.6127726325537964
124,YER122C,0.6122568005030817
125,YNR049C,0.6117738956988329
126,YER020W,0.6113187843237391
127,YHR178W,0.6107760036370361
128,YMR120C,0.6103052215925676
129,YJL039C,0.6098692468997976
130,YER057C,0.6093848107785406
131,YOL137W,0.6091088727863497
132,YCR059C,0.6086864982289094
133,YER021W,0.608280322518041
134,YDR324C,0.6081656914783564
135,YBR212W,0.6076566616144241
136,YDR507C,0.6071751657085369
137,YBR052C,0.6067192231819756
138,YAL009W,0.6062920311690452
139,YDR039C,0.605904273700802
140,YNL173C,0.6056974490904512
141,YNL088W,0.6052400360136007
142,YOL026C,0.6048153030320621
143,YLL001W,0.6043237779882402
144,YKR067W,0.6039158663037202
145,YHR188C,0.6035125891725306
146,YKL172W,0.6033811457402455
147,YPR124W,0.6030625009974847
148,YPL045W,0.6026454192538214
149,YKL068W,0.602255812936812
150,YGL153W,0.6018708184462048
151,YGR133W,0.6014807508369244
152,YKL051W,0.6013774505383123
153,YMR161W,0.6010433215587921
154,YNL281W,0.6006828640926958
155,YHR116W,0.6003060997073655
156,YCR094W,0.5999519154128179
157,YGL207W,0.5995565878900896
158,YPL227C,0.5992361234442847
