index,protein,bc
0,YKR099W,1.0
1,YGR108W,0.0
2,YER099C,1.0
3,YGL115W,1773.1523809523815
4,YBL010C,0.0
5,YJL048C,1306.8964646464647
6,YIR018W,0.0
7,YKL023W,0.0
8,YBR155W,0.0
9,YPR054W,0.0
10,YBL025W,2.0
11,YNL104C,0.0
12,YPL192C,2123.3682736091746
13,YKR026C,6850.531438006433
14,YJL057C,0.0
15,YAR066W,0.0
16,YLR131C,0.0
17,YDR054C,0.0
18,YGR120C,10765.468770931597
19,YHR152W,0.0
20,YJL185C,0.0
21,YJR056C,0.0
22,YPL133C,438.0
23,YBR045C,0.0
24,YHR160C,0.0
25,YLL049W,0.0
26,YOR039W,2177.0
27,YBR194W,0.0
28,YAL034W-A,1006.2932127178708
29,YLR312C,0.0
30,YER144C,0.0
31,YDR110W,7998.0
32,YLR065C,0.0
33,YBR108W,0.0
34,YER161C,7174.0
35,YMR165C,0.0
36,YHR171W,8.0
37,YLR429W,0.0
38,YOL133W,3.0
39,YJL088W,0.0
40,YOL088C,1.0
41,YJL013C,2612.527197802198
42,YOL034W,0.0
43,YLR166C,0.0
44,YDR472W,1.0
45,YOR372C,0.0
46,YDL212W,0.0
47,YEL053C,1.0
48,YDR074W,1.0
49,YIL150C,0.0
50,YMR061W,0.0
51,YEL023C,0.0
52,YCL055W,0.0
53,YHL009C,0.0
54,YDR128W,0.0
55,YDL111C,0.0
56,YCR057C,0.0
57,YHR014W,0.0
58,YCR093W,0.0
59,YCR082W,0.0
60,YDR214W,0.0
61,YGL215W,0.0
62,YLR072W,0.0
63,YKL166C,0.0
64,YGR040W,0.0
65,YDR016C,0.0
66,YCR004C,0.0
67,YOL082W,2798.4279030910616
68,YDR412W,130.0
69,YOL123W,0.0
70,YMR309C,875.0
71,YHL002W,0.0
72,YGL058W,0.0
73,YNR007C,0.0
74,YMR055C,3.0
75,YHR057C,0.0
76,YBR055C,438.0
77,YPR070W,0.0
78,YAL047C,0.0
79,YGR232W,0.0
80,YAR014C,0.0
81,YLR340W,0.0
82,YAL049C,0.0
83,YBR077C,1.0
84,YDR013W,0.0
85,YDR216W,0.0
86,YER131W,0.5
87,YNL154C,5674.856854256851
88,YDL070W,0.0
89,YFL042C,0.0
90,YJL154C,0.0
91,YPR082C,0.0
92,YGL116W,0.0
93,YHL018W,20.0
94,YMR267W,2961.9363997114024
95,YDL149W,0.0
96,YGR123C,4.0
97,YJL092W,4463.153896103896
98,YOL006C,0.0
99,YHR198C,0.0
100,YJR091C,1228.6500000000005
101,YBR135W,43.0
102,YOL058W,0.0
103,YPL111W,0.0
104,YDR032C,5.0
105,YGL155W,0.0
106,YER116C,0.0
107,YNL311C,2.0
108,YNL236W,9322.54578301816
109,YKL183W,0.0
110,YGL104C,0.0
111,YAR033W,0.0
112,YJL056C,0.0
113,YLR466W,0.0
114,YDL220C,0.0
115,YJL036W,0.0
116,YKL135C,3035.0
117,YPL128C,0.0
118,YDR063W,0.0
119,YOR262W,0.0
120,YGL145W,0.0
121,YBR170C,0.0
122,YAL040C,0.0
123,YJL151C,0.0
124,YFR037C,0.0
125,YDL064W,3460.0
126,YDR388W,0.0
127,YPR093C,0.0
128,YPR018W,0.0
129,YNL092W,0.0
130,YBR196C,0.0
131,YOR260W,0.0
132,YPL157W,0.0
133,YDL160C,3764.182093345252
134,YML031W,438.0
135,YBR175W,0.0
136,YDL089W,0.0
137,YFL038C,790.2484848484847
138,YBL043W,0.0
139,YMR180C,0.0
140,YFL056C,0.0
141,YPR066W,0.0
142,YJR159W,15512.138525852479
143,YDR315C,2607.0
144,YJR077C,0.0
145,YJR015W,0.0
146,YER065C,0.0
147,YOL020W,0.0
148,YML064C,44256.81773875756
149,YNL122C,0.0
150,YDL088C,0.0
151,YFR042W,0.0
152,YJR072C,875.0
153,YEL009C,1.0
154,YER059W,2174.0
155,YDR139C,0.0
156,YJR136C,0.0
157,YOR359W,260.75036630036635
158,YDR146C,292.3492063492065
159,YCR086W,3475.0
160,YOL069W,0.0
161,YKL075C,0.0
162,YER179W,6333.665620249316
163,YPL110C,0.0
164,YCR027C,0.0
165,YGL242C,0.0
166,YJL042W,22.0
167,YHR122W,0.0
168,YGR153W,0.0
169,YOR185C,0.0
170,YKL015W,438.0
171,YGL208W,518.6443833943833
172,YDR532C,0.0
173,YMR303C,0.0
174,YDR076W,0.0
175,YER148W,0.0
176,YDR255C,0.0
177,YBR188C,874.0
178,YDR429C,0.0
179,YLR399C,0.0
180,YGL180W,0.0
181,YJL178C,0.0
182,YHR105W,476.9000000000001
183,YGL153W,438.0
184,YLR025W,1.0
185,YDR142C,3.0
186,YHR134W,0.0
187,YHL022C,0.0
188,YPR173C,0.0
189,YBL026W,1776.4996943115368
190,YDL165W,0.0
191,YBR211C,0.0
192,YOR215C,0.0
193,YOL139C,0.0
194,YJL110C,0.0
195,YDL213C,0.0
196,YLR392C,0.0
197,YNL113W,89.0
198,YNL091W,2610.0
199,YGR104C,0.0
200,YAR003W,5.0
201,YOL070C,20.0
202,YDR236C,0.0
203,YGL026C,0.0
204,YNL056W,2.0
205,YGR294W,0.0
206,YLR233C,5587.0
207,YHR039C,0.0
208,YDR376W,1.0
209,YMR308C,11828.406583481361
210,YDL110C,874.0
211,YML099C,0.0
212,YDR044W,0.0
213,YDR151C,0.0
214,YMR181C,1857.6580031080027
215,YHL027W,0.0
216,YER089C,0.0
217,YDL076C,0.0
218,YBR195C,0.0
219,YOR226C,0.0
220,YGL192W,0.0
221,YBR254C,0.0
222,YDR084C,0.0
223,YKL190W,0.0
224,YOR164C,0.0
225,YJL160C,0.0
226,YMR228W,0.0
227,YMR233W,438.0
228,YER127W,0.0
