index,protein,dc
0,YKR099W,7.2652
1,YGR108W,3.6326
2,YER099C,7.2652
3,YGL115W,21.7956
4,YBL010C,3.6326
5,YJL048C,7.2652
6,YIR018W,3.6326
7,YKL023W,3.6326
8,YBR155W,3.6326
9,YPR054W,3.6326
10,YBL025W,7.2652
11,YNL104C,3.6326
12,YPL192C,7.2652
13,YKR026C,18.163
14,YJL057C,3.6326
15,YAR066W,3.6326
16,YLR131C,3.6326
17,YDR054C,3.6326
18,YGR120C,25.4282
19,YHR152W,3.6326
20,YJL185C,3.6326
21,YJR056C,3.6326
22,YPL133C,7.2652
23,YBR045C,3.6326
24,YHR160C,3.6326
25,YLL049W,3.6326
26,YOR039W,14.5304
27,YBR194W,3.6326
28,YAL034W-A,10.8978
29,YLR312C,3.6326
30,YER144C,3.6326
31,YDR110W,10.8978
32,YLR065C,3.6326
33,YBR108W,3.6326
34,YER161C,7.2652
35,YMR165C,3.6326
36,YHR171W,10.8978
37,YLR429W,3.6326
38,YOL133W,10.8978
39,YJL088W,3.6326
40,YOL088C,7.2652
41,YJL013C,18.163
42,YOL034W,3.6326
43,YLR166C,3.6326
44,YDR472W,7.2652
45,YOR372C,3.6326
46,YDL212W,3.6326
47,YEL053C,7.2652
48,YDR074W,7.2652
49,YIL150C,3.6326
50,YMR061W,3.6326
51,YEL023C,3.6326
52,YCL055W,3.6326
53,YHL009C,3.6326
54,YDR128W,3.6326
55,YDL111C,3.6326
56,YCR057C,3.6326
57,YHR014W,3.6326
58,YCR093W,3.6326
59,YCR082W,3.6326
60,YDR214W,3.6326
61,YGL215W,3.6326
62,YLR072W,3.6326
63,YKL166C,3.6326
64,YGR040W,3.6326
65,YDR016C,3.6326
66,YCR004C,3.6326
67,YOL082W,21.7956
68,YDR412W,7.2652
69,YOL123W,3.6326
70,YMR309C,10.8978
71,YHL002W,3.6326
72,YGL058W,3.6326
73,YNR007C,7.2652
74,YMR055C,10.8978
75,YHR057C,3.6326
76,YBR055C,7.2652
77,YPR070W,3.6326
78,YAL047C,3.6326
79,YGR232W,3.6326
80,YAR014C,3.6326
81,YLR340W,3.6326
82,YAL049C,3.6326
83,YBR077C,7.2652
84,YDR013W,3.6326
85,YDR216W,3.6326
86,YER131W,7.2652
87,YNL154C,25.4282
88,YDL070W,3.6326
89,YFL042C,3.6326
90,YJL154C,3.6326
91,YPR082C,3.6326
92,YGL116W,3.6326
93,YHL018W,7.2652
94,YMR267W,7.2652
95,YDL149W,3.6326
96,YGR123C,7.2652
97,YJL092W,10.8978
98,YOL006C,3.6326
99,YHR198C,3.6326
100,YJR091C,14.5304
101,YBR135W,10.8978
102,YOL058W,3.6326
103,YPL111W,3.6326
104,YDR032C,10.8978
105,YGL155W,3.6326
106,YER116C,3.6326
107,YNL311C,7.2652
108,YNL236W,36.32599999999999
109,YKL183W,3.6326
110,YGL104C,3.6326
111,YAR033W,3.6326
112,YJL056C,3.6326
113,YLR466W,3.6326
114,YDL220C,3.6326
115,YJL036W,3.6326
116,YKL135C,14.5304
117,YPL128C,3.6326
118,YDR063W,3.6326
119,YOR262W,3.6326
120,YGL145W,3.6326
121,YBR170C,3.6326
122,YAL040C,3.6326
123,YJL151C,3.6326
124,YFR037C,3.6326
125,YDL064W,10.8978
126,YDR388W,3.6326
127,YPR093C,3.6326
128,YPR018W,3.6326
129,YNL092W,3.6326
130,YBR196C,3.6326
131,YOR260W,3.6326
132,YPL157W,3.6326
133,YDL160C,14.5304
134,YML031W,7.2652
135,YBR175W,3.6326
136,YDL089W,3.6326
137,YFL038C,14.5304
138,YBL043W,3.6326
139,YMR180C,3.6326
140,YFL056C,3.6326
141,YPR066W,3.6326
142,YJR159W,14.5304
143,YDR315C,14.5304
144,YJR077C,3.6326
145,YJR015W,3.6326
146,YER065C,3.6326
147,YOL020W,3.6326
148,YML064C,79.91719999999995
149,YNL122C,3.6326
150,YDL088C,3.6326
151,YFR042W,3.6326
152,YJR072C,10.8978
153,YEL009C,7.2652
154,YER059W,10.8978
155,YDR139C,3.6326
156,YJR136C,3.6326
157,YOR359W,7.2652
158,YDR146C,7.2652
159,YCR086W,29.0608
160,YOL069W,3.6326
161,YKL075C,3.6326
162,YER179W,7.2652
163,YPL110C,3.6326
164,YCR027C,3.6326
165,YGL242C,3.6326
166,YJL042W,7.2652
167,YHR122W,3.6326
168,YGR153W,3.6326
169,YOR185C,3.6326
170,YKL015W,7.2652
171,YGL208W,7.2652
172,YDR532C,3.6326
173,YMR303C,3.6326
174,YDR076W,3.6326
175,YER148W,3.6326
176,YDR255C,3.6326
177,YBR188C,7.2652
178,YDR429C,3.6326
179,YLR399C,3.6326
180,YGL180W,3.6326
181,YJL178C,3.6326
182,YHR105W,18.163
183,YGL153W,7.2652
184,YLR025W,7.2652
185,YDR142C,10.8978
186,YHR134W,3.6326
187,YHL022C,3.6326
188,YPR173C,3.6326
189,YBL026W,39.95859999999999
190,YDL165W,3.6326
191,YBR211C,3.6326
192,YOR215C,3.6326
193,YOL139C,3.6326
194,YJL110C,3.6326
195,YDL213C,3.6326
196,YLR392C,3.6326
197,YNL113W,18.163
198,YNL091W,18.163
199,YGR104C,3.6326
200,YAR003W,7.2652
201,YOL070C,7.2652
202,YDR236C,3.6326
203,YGL026C,3.6326
204,YNL056W,7.2652
205,YGR294W,3.6326
206,YLR233C,21.7956
207,YHR039C,3.6326
208,YDR376W,7.2652
209,YMR308C,36.32599999999999
210,YDL110C,7.2652
211,YML099C,3.6326
212,YDR044W,3.6326
213,YDR151C,3.6326
214,YMR181C,10.8978
215,YHL027W,3.6326
216,YER089C,3.6326
217,YDL076C,3.6326
218,YBR195C,3.6326
219,YOR226C,3.6326
220,YGL192W,3.6326
221,YBR254C,3.6326
222,YDR084C,7.2652
223,YKL190W,3.6326
224,YOR164C,3.6326
225,YJL160C,3.6326
226,YMR228W,3.6326
227,YMR233W,7.2652
228,YER127W,3.6326
229,YCR067C,3.6326
230,YOR138C,7.2652
231,YDR167W,10.8978
232,YPR051W,3.6326
233,YDR279W,3.6326
234,YNL164C,3.6326
235,YKR062W,3.6326
236,YKR037C,7.2652
237,YCR045C,3.6326
238,YOR062C,3.6326
239,YOL105C,3.6326
240,YIR037W,3.6326
241,YIL046W,25.4282
242,YLR270W,3.6326
243,YDR082W,3.6326
244,YKR055W,7.2652
245,YBL021C,7.2652
246,YDL013W,7.2652
247,YDR140W,7.2652
248,YJR083C,3.6326
249,YPL219W,3.6326
250,YNL118C,7.2652
251,YMR102C,3.6326
252,YLR097C,3.6326
253,YPR105C,25.4282
254,YER045C,3.6326
255,YMR093W,3.6326
256,YER052C,3.6326
257,YBL042C,3.6326
258,YJL184W,3.6326
259,YNR069C,10.8978
260,YDL097C,3.6326
261,YGR075C,3.6326
262,YDL159W,3.6326
263,YJR117W,3.6326
264,YIR001C,3.6326
265,YOR106W,3.6326
266,YER180C,3.6326
267,YER079W,7.2652
268,YNR006W,3.6326
269,YLR432W,14.5304
270,YLR291C,7.2652
271,YJL058C,7.2652
272,YNR068C,3.6326
273,YPL088W,3.6326
274,YLR288C,7.2652
275,YMR139W,3.6326
276,YOL143C,7.2652
277,YDR395W,7.2652
278,YLR266C,3.6326
279,YBR193C,3.6326
280,YGR113W,3.6326
281,YGR010W,7.2652
282,YLR438W,10.8978
283,YDL203C,7.2652
284,YCL040W,7.2652
285,YJL065C,7.2652
286,YBR141C,7.2652
287,YDL144C,3.6326
288,YBR059C,3.6326
289,YLR403W,7.2652
290,YMR153W,14.5304
291,YOR315W,3.6326
292,YOR159C,3.6326
293,YFL017C,14.5304
294,YMR186W,3.6326
295,YCR066W,7.2652
296,YDR099W,10.8978
297,YDL150W,3.6326
298,YPR008W,3.6326
299,YHR061C,3.6326
300,YLR417W,3.6326
301,YGR049W,3.6326
302,YMR095C,7.2652
303,YEL015W,21.7956
304,YNL263C,7.2652
305,YPL214C,3.6326
306,YIL007C,3.6326
307,YIL061C,3.6326
308,YDR477W,10.8978
309,YDR348C,3.6326
310,YLR082C,3.6326
311,YBL078C,3.6326
312,YKL033W,3.6326
313,YDR073W,7.2652
314,YLR154C,3.6326
315,YMR226C,3.6326
316,YPL019C,3.6326
317,YLR324W,3.6326
318,YOL129W,3.6326
319,YBR040W,3.6326
320,YDL127W,7.2652
321,YKR060W,3.6326
322,YLR328W,7.2652
323,YMR129W,7.2652
324,YMR211W,3.6326
325,YGR268C,7.2652
326,YGL051W,3.6326
327,YDL006W,3.6326
328,YFR002W,7.2652
329,YPL201C,3.6326
330,YHR135C,10.8978
331,YDR228C,25.4282
332,YPL031C,32.6934
333,YGL015C,3.6326
334,YDR225W,3.6326
335,YPL131W,3.6326
336,YKL110C,3.6326
337,YMR053C,3.6326
338,YOR250C,3.6326
339,YGR046W,3.6326
340,YBR217W,18.163
341,YJR034W,3.6326
342,YOR259C,3.6326
343,YLR319C,3.6326
344,YER100W,7.2652
345,YLR117C,7.2652
346,YKR068C,3.6326
347,YMR243C,3.6326
348,YMR322C,7.2652
349,YOR078W,7.2652
350,YGR252W,3.6326
351,YER105C,10.8978
352,YER146W,7.2652
353,YOR264W,7.2652
354,YKR104W,3.6326
355,YDR510W,14.5304
356,YPR017C,3.6326
357,YGL201C,14.5304
358,YGR058W,18.163
359,YDL090C,3.6326
360,YGR068C,7.2652
361,YJL030W,29.0608
362,YNL025C,3.6326
363,YMR068W,3.6326
364,YOR061W,3.6326
365,YKL144C,7.2652
366,YLR238W,7.2652
367,YDR469W,10.8978
368,YDR145W,3.6326
369,YPR107C,7.2652
370,YOR047C,14.5304
371,YHR035W,3.6326
372,YLR389C,3.6326
373,YLR264W,21.7956
374,YER027C,10.8978
