index,protein,ec
0,YKR099W,8.62803540334669e-62
1,YGR108W,3.218423801633757e-24
2,YER099C,2.093521969591015e-62
3,YGL115W,0.00303774487189691
4,YBL010C,2.7258682249111354e-05
5,YJL048C,0.0018335212520359863
6,YIR018W,1.6221334533355775e-62
7,YKL023W,2.63811327839549e-62
8,YBR155W,2.4211151817061874e-77
9,YPR054W,1.0078065691442389e-77
10,YBL025W,1.5556172426519736e-56
11,YNL104C,2.272733863718346e-77
12,YPL192C,0.019182867858713492
13,YKR026C,0.001976841103987666
14,YJL057C,0.000206799099863491
15,YAR066W,1.1472464354955026e-62
16,YLR131C,2.3367157531050174e-77
17,YDR054C,0.0013449881056191596
18,YGR120C,0.005293340433066529
19,YHR152W,2.22807337398882e-06
20,YJL185C,4.966027869416186e-62
21,YJR056C,0.018524594558349802
22,YPL133C,0.0027863276436417375
23,YBR045C,5.719393799935062e-23
24,YHR160C,3.028885885190077e-53
25,YLL049W,1.6599116911847898e-53
26,YOR039W,0.06387232381028028
27,YBR194W,2.6717411654358985e-77
28,YAL034W-A,0.001155504635148076
29,YLR312C,2.4419280996930258e-62
30,YER144C,5.351284057638983e-78
31,YDR110W,0.019755702715885257
32,YLR065C,7.145692238565075e-78
33,YBR108W,1.3858165879481093e-62
34,YER161C,0.003578377744276068
35,YMR165C,1.2640619287962774e-42
36,YHR171W,7.832854861406002e-32
37,YLR429W,0.0029072630018328023
38,YOL133W,2.778250643122527e-53
39,YJL088W,0.006785745314882003
40,YOL088C,2.2038016333630705e-62
41,YJL013C,0.003762626128917078
42,YOL034W,6.765747888293695e-62
43,YLR166C,0.0012568165869304684
44,YDR472W,2.3839002565188392e-62
45,YOR372C,9.904521427590923e-06
46,YDL212W,1.9386178137880565e-78
47,YEL053C,9.635509321067323e-62
48,YDR074W,5.237142960304743e-62
49,YIL150C,0.00012140680807527844
50,YMR061W,0.0008356880097285959
51,YEL023C,0.006785745314882003
52,YCL055W,0.0021789621864726923
53,YHL009C,0.0014633938185899347
54,YDR128W,6.201595990772799e-77
55,YDL111C,0.028652807851341326
56,YCR057C,3.93887025090298e-77
57,YHR014W,2.338771022927887e-53
58,YCR093W,3.990125593964679e-62
59,YCR082W,1.8164055508433486e-78
60,YDR214W,0.004737514732272248
61,YGL215W,0.0011074092764972675
62,YLR072W,7.442230331154369e-57
63,YKL166C,5.3576806110950356e-77
64,YGR040W,6.102375518862081e-77
65,YDR016C,1.7400610763933843e-53
66,YCR004C,1.0816700884261213e-50
67,YOL082W,0.0006566863833822775
68,YDR412W,6.693853037601132e-23
69,YOL123W,6.728636207309917e-05
70,YMR309C,0.00029203835399021756
71,YHL002W,6.677813668840683e-78
72,YGL058W,7.59131078950737e-57
73,YNR007C,7.114394564407572e-32
74,YMR055C,3.7642328808637186e-53
75,YHR057C,3.7590098218289354e-05
76,YBR055C,2.281298905113808e-05
77,YPR070W,0.00012708720444604246
78,YAL047C,0.0012568165869304684
79,YGR232W,6.016377571787162e-47
80,YAR014C,5.719393799935062e-23
81,YLR340W,2.2746447793487278e-77
82,YAL049C,2.315159895836909e-62
83,YBR077C,6.731896993123077e-62
84,YDR013W,2.0692106727730644e-62
85,YDR216W,6.89968105356985e-49
86,YER131W,4.195981037501264e-47
87,YNL154C,0.0008627260708818643
88,YDL070W,5.719393799935062e-23
89,YFL042C,4.2559531691240416e-77
90,YJL154C,2.463821637429352e-38
91,YPR082C,3.9920558364364665e-06
92,YGL116W,0.004737514732272248
93,YHL018W,5.8707409005645366e-39
94,YMR267W,0.0004968895701082897
95,YDL149W,5.672197380872192e-77
96,YGR123C,1.1565236728915588e-48
97,YJL092W,0.0007856414165415574
98,YOL006C,7.969277743168287e-07
99,YHR198C,0.018524594558349802
100,YJR091C,0.00021481638847648646
101,YBR135W,1.1644272220998874e-23
102,YOL058W,0.0014633938185899347
103,YPL111W,0.0014633938185899347
104,YDR032C,2.4621887325962843e-50
105,YGL155W,1.8294547754038512e-62
106,YER116C,2.1295448421920034e-05
107,YNL311C,2.5473154464055272e-56
108,YNL236W,0.0076862221967795375
109,YKL183W,6.76006046332233e-78
110,YGL104C,0.0012568165869304684
111,YAR033W,6.280401993583008e-77
112,YJL056C,3.267305465508836e-77
113,YLR466W,3.4324483737693217e-62
114,YDL220C,2.9200791195243633e-77
115,YJL036W,9.614243294443124e-57
116,YKL135C,0.002988290801407755
117,YPL128C,4.929203739361104e-05
118,YDR063W,2.9420390625572837e-77
119,YOR262W,1.7467579310089085e-07
120,YGL145W,0.00026193621270299844
121,YBR170C,2.7845692628430857e-62
122,YAL040C,0.0006584129637081951
123,YJL151C,0.0012568165869304684
124,YFR037C,5.397830423598221e-77
125,YDL064W,0.0001263790671990277
126,YDR388W,1.3858165879481093e-62
127,YPR093C,0.0012451646220175173
128,YPR018W,5.180350121324286e-77
129,YNL092W,7.612249703120502e-06
130,YBR196C,0.0011419187883174482
131,YOR260W,4.021956145492657e-07
132,YPL157W,8.052111943314797e-77
133,YDL160C,0.16206306061859416
134,YML031W,0.0011817942713209563
135,YBR175W,2.968823813491e-48
136,YDL089W,5.555547892645782e-77
137,YFL038C,0.0007627929693051882
138,YBL043W,2.246624584433954e-53
139,YMR180C,0.00015096565774573917
140,YFL056C,0.0007654354002868335
141,YPR066W,9.583681076858354e-78
142,YJR159W,0.0237964060872265
143,YDR315C,0.054891232563645954
144,YJR077C,4.185800401220835e-06
145,YJR015W,6.062307974293105e-77
146,YER065C,0.0014633938185899347
147,YOL020W,2.22807337398882e-06
148,YML064C,0.10586179306279157
149,YNL122C,6.302956227539023e-06
150,YDL088C,0.000206799099863491
151,YFR042W,2.1796185039373855e-77
152,YJR072C,9.982326800200175e-07
153,YEL009C,2.1201075631543023e-62
154,YER059W,0.0011809516162934965
155,YDR139C,0.0029072630018328023
156,YJR136C,7.257235601904491e-77
157,YOR359W,0.0013109064220042312
158,YDR146C,0.000968116396529065
159,YCR086W,1.2732595252220156e-05
160,YOL069W,6.978859811835525e-63
161,YKL075C,0.0001283274874887325
162,YER179W,0.019686136843177396
163,YPL110C,0.000273058222776138
164,YCR027C,3.620166083042358e-77
165,YGL242C,3.3655327160659545e-62
166,YJL042W,6.227369203395853e-23
167,YHR122W,3.0309754136456072e-77
168,YGR153W,2.294578895600543e-53
169,YOR185C,2.051984293349137e-62
170,YKL015W,0.000323534948539462
171,YGL208W,0.0017720091083477981
172,YDR532C,3.466706624897988e-77
173,YMR303C,2.6121529358377844e-78
174,YDR076W,4.414828169401191e-06
175,YER148W,3.3309495592410624e-62
176,YDR255C,1.6347567529108091e-62
177,YBR188C,1.6391339662666457e-07
178,YDR429C,3.077831507473944e-47
179,YLR399C,0.0029072630018328023
180,YGL180W,0.00018520855677627503
181,YJL178C,0.0011419187883174482
182,YHR105W,0.001128682563014844
183,YGL153W,0.0002702102023892489
184,YLR025W,2.2058988461744703e-62
185,YDR142C,3.783041676188907e-53
186,YHR134W,4.824461518450052e-77
187,YHL022C,3.1362932143150073e-77
188,YPR173C,3.4733634435329295e-62
189,YBL026W,0.41722368943548294
190,YDL165W,0.0010452920371419783
191,YBR211C,6.016377571787162e-47
192,YOR215C,4.812070202212204e-47
193,YOL139C,1.393252775089016e-56
194,YJL110C,8.376623714884593e-07
195,YDL213C,5.627023100404061e-77
196,YLR392C,3.7590098218289354e-05
197,YNL113W,4.254040639811249e-39
198,YNL091W,0.0007333560016066175
199,YGR104C,3.6034475534894645e-77
200,YAR003W,4.385237806901301e-48
201,YOL070C,1.6215596862180896e-44
202,YDR236C,6.314618336195723e-62
203,YGL026C,1.1151944265187093e-76
204,YNL056W,1.9493681381241425e-56
205,YGR294W,8.742551530999405e-40
206,YLR233C,0.00014368897306745276
207,YHR039C,0.0006246123909797124
208,YDR376W,1.82721049679925e-62
209,YMR308C,0.01543528337815074
210,YDL110C,0.0017922924332217079
211,YML099C,1.321375096873167e-62
212,YDR044W,6.161369250015535e-77
213,YDR151C,0.00013312004388489493
214,YMR181C,0.0018888400865135924
215,YHL027W,4.709064048203903e-77
216,YER089C,1.6849667693428516e-62
217,YDL076C,4.9478522960278745e-51
218,YBR195C,1.263881403423285e-77
219,YOR226C,1.3644656852567925e-77
220,YGL192W,0.0021789621864726923
221,YBR254C,3.1190285648901917e-62
222,YDR084C,0.0003331960891265291
223,YKL190W,2.919035603230694e-77
224,YOR164C,0.00026193621270299844
225,YJL160C,1.6487545432423924e-62
226,YMR228W,6.967794500209238e-06
227,YMR233W,4.554283898663935e-06
228,YER127W,7.571509165636932e-77
229,YCR067C,1.8750612514921235e-56
230,YOR138C,9.656720284888423e-07
231,YDR167W,0.0007723279618127766
232,YPR051W,8.185579844920812e-63
233,YDR279W,7.692480415866888e-78
234,YNL164C,0.0001283274874887325
235,YKR062W,3.693981741773166e-05
236,YKR037C,7.975968001910534e-05
237,YCR045C,6.967794500209238e-06
238,YOR062C,0.0011419187883174482
239,YOL105C,4.728392869851772e-05
240,YIR037W,6.89968105356985e-49
241,YIL046W,0.0434762148682889
242,YLR270W,8.515540444228385e-78
243,YDR082W,3.935567532363968e-77
244,YKR055W,1.1479283136272212e-38
245,YBL021C,3.5345933733387946e-47
246,YDL013W,0.00012169868215746724
247,YDR140W,8.548387473392946e-48
248,YJR083C,0.0005315670767770001
249,YPL219W,0.0011074092764972675
250,YNL118C,0.08226853347467238
251,YMR102C,0.004423044378582235
252,YLR097C,0.0029072630018328023
253,YPR105C,0.0014969007102881467
254,YER045C,0.0027010084337894934
255,YMR093W,6.314618336195723e-62
256,YER052C,3.218423801633757e-24
257,YBL042C,3.0551824830426297e-78
258,YJL184W,3.9518761525769375e-05
259,YNR069C,3.433313446570136e-54
260,YDL097C,3.2471811820154783e-62
261,YGR075C,2.8652299624799132e-77
262,YDL159W,4.0839852879142944e-78
263,YJR117W,0.009605260459700643
264,YIR001C,3.757818129073307e-77
265,YOR106W,0.0012568165869304684
266,YER180C,1.1659338318260473e-77
267,YER079W,0.00015605590850221605
268,YNR006W,8.196334277839493e-78
269,YLR432W,0.0005470634304845671
270,YLR291C,8.27959621504637e-06
271,YJL058C,0.02613240205613024
272,YNR068C,1.6599116911847898e-53
273,YPL088W,1.806747617153222e-77
274,YLR288C,3.2244047548482514e-32
275,YMR139W,8.809514773516093e-77
276,YOL143C,3.827285424956542e-62
277,YDR395W,1.9592356463251696e-44
278,YLR266C,4.869201257682406e-39
279,YBR193C,2.560619225827907e-77
280,YGR113W,1.7400610763933843e-53
281,YGR010W,5.633898673455704e-44
282,YLR438W,6.592148704830857e-44
283,YDL203C,5.660183849305269e-05
284,YCL040W,3.7264727181324712e-62
285,YJL065C,0.00013732501038229012
286,YBR141C,2.155056179034932e-62
287,YDL144C,3.724212614686635e-77
288,YBR059C,7.482335042830269e-78
289,YLR403W,1.2041781627913155e-56
290,YMR153W,0.006546810928157701
291,YOR315W,5.719393799935062e-23
292,YOR159C,0.00603114037879005
293,YFL017C,4.618157205460927e-47
294,YMR186W,8.466340887127897e-49
295,YCR066W,3.0339128359021703e-56
296,YDR099W,2.698985075548771e-53
297,YDL150W,6.150657897861463e-78
298,YPR008W,0.0007446915354611605
299,YHR061C,2.294578895600543e-53
300,YLR417W,1.2008080316531256e-77
301,YGR049W,4.556966307021963e-78
302,YMR095C,0.0036939930668499644
303,YEL015W,0.15483704438437076
304,YNL263C,0.001454325780640545
305,YPL214C,0.0014633938185899347
306,YIL007C,2.338771022927887e-53
307,YIL061C,0.003343937920909266
308,YDR477W,0.007088720045207982
309,YDR348C,1.2414165363260713e-77
310,YLR082C,0.007607807497780434
311,YBL078C,2.758530365158609e-32
312,YKL033W,5.18623728789964e-77
313,YDR073W,3.917646657803282e-62
314,YLR154C,5.1085098839330945e-77
315,YMR226C,0.0014633938185899347
316,YPL019C,5.3859692882633986e-05
317,YLR324W,9.50903237903381e-78
318,YOL129W,0.0012568165869304684
319,YBR040W,1.321375096873167e-62
320,YDL127W,0.0012768165215985567
321,YKR060W,1.4250050618079883e-06
322,YLR328W,5.633898673455704e-44
323,YMR129W,0.0011817942713209563
324,YMR211W,1.8725088583531074e-77
325,YGR268C,5.349475069860565e-06
326,YGL051W,1.9834252385952357e-77
327,YDL006W,5.560513815962055e-77
328,YFR002W,0.00207188421791078
329,YPL201C,3.350194790468854e-77
330,YHR135C,2.9089365510128283e-05
331,YDR228C,0.0047756540762479245
332,YPL031C,0.006328446092860284
333,YGL015C,1.059470923705636e-77
334,YDR225W,2.2279604738697335e-44
335,YPL131W,1.3597556972608062e-62
336,YKL110C,8.327058024955316e-54
337,YMR053C,0.0012568165869304684
338,YOR250C,0.0008356880097285959
339,YGR046W,0.0013449881056191596
340,YBR217W,1.2368488851761765e-31
341,YJR034W,0.0013449881056191596
342,YOR259C,6.016377571787162e-47
343,YLR319C,1.339308424710067e-77
344,YER100W,2.392071216102573e-05
345,YLR117C,2.9589557841455153e-08
346,YKR068C,3.1190285648901917e-62
347,YMR243C,1.2640619287962774e-42
348,YMR322C,0.0036939930668499644
349,YOR078W,0.00991888860615795
350,YGR252W,0.00015085235805261947
351,YER105C,0.03297758270163283
352,YER146W,0.15318785397011747
353,YOR264W,5.7096724677059595e-05
354,YKR104W,4.6349567937586484e-63
355,YDR510W,0.0006741667531673616
356,YPR017C,0.08017907214107768
357,YGL201C,0.0006938104850456212
358,YGR058W,0.00031355498208533484
