selected_frac,energy_cost,strategy
0.05,79032.57787217412,Random
0.1,17586.23720647977,Random
0.15,12875.916044640931,Random
0.2,9675.06754297536,Random
0.25,8358.751445055042,Random
0.3,6154.585330061342,Random
0.35,4309.69955278105,Random
0.4,3552.3344561054364,Random
0.45,3162.9875756328934,Random
0.5,2902.9222566605167,Random
0.55,2624.396715946442,Random
0.6,2106.2118796625646,Random
0.65,1981.9045029569709,Random
0.7,1869.189755493346,Random
0.75,1743.4332325467017,Random
0.8,973.2713653941332,Random
0.85,911.8988510796997,Random
0.9,860.1661386415053,Random
0.95,812.9583194380817,Random
1.0,771.8261913037172,Random
0.05,52389.662415983956,DC
0.1,21544.98030322034,DC
0.15,11189.088049973558,DC
0.2,8302.429223487743,DC
0.25,5364.263970412532,DC
0.3,4597.397751522259,DC
0.35,4093.468109980473,DC
0.4,3673.2348709657654,DC
0.45,3400.1323077843385,DC
0.5,3190.5326107887586,DC
0.55,2984.435242915609,DC
0.6,1307.9889935032677,DC
0.65,1201.788984324594,DC
0.7,1111.7606889826907,DC
0.75,1035.8131295781886,DC
0.8,968.2592766646084,DC
0.85,908.3515010388741,DC
0.9,857.0796584443447,DC
0.95,811.8408518625579,DC
1.0,771.8261913037172,DC
0.05,69277.77332650502,BC
0.1,26261.412392992883,BC
0.15,17324.378395794076,BC
0.2,12164.781867857244,BC
0.25,8894.391848248564,BC
0.3,5316.907437410442,BC
0.35,4082.3090217312943,BC
0.4,3523.641163460605,BC
0.45,3257.506814017361,BC
0.5,3032.2234207472247,BC
0.55,2849.051210632104,BC
0.6,1305.0276294800715,BC
0.65,1200.047681272708,BC
0.7,1110.5056593955687,BC
0.75,1034.6976509658,BC
0.8,968.594514348097,BC
0.85,908.2002041153446,BC
0.9,857.1501447899464,BC
0.95,811.8906839139597,BC
1.0,771.8261913037172,BC
0.05,54028.741183396036,EC
0.1,30109.161699409582,EC
0.15,20335.989750550925,EC
0.2,9389.418448364551,EC
0.25,6603.810636727505,EC
0.3,5514.400844934161,EC
0.35,3888.603352247841,EC
0.4,3336.885028345043,EC
0.45,3093.9938226808085,EC
0.5,1604.036295912927,EC
0.55,1455.7727094409395,EC
0.6,1306.2550006977547,EC
0.65,1202.1545894334286,EC
0.7,1112.9895090663354,EC
0.75,1037.0146952724863,EC
0.8,967.7855550308566,EC
0.85,908.9599400317561,EC
0.9,858.1490222908117,EC
0.95,811.6307573932035,EC
1.0,771.8261913037172,EC
0.04983748645720477,17604.990354923502,HyperDriver (Full)
0.09967497291440953,8163.740346511424,HyperDriver (Full)
0.1495124593716143,5336.150987930889,HyperDriver (Full)
0.20043336944745396,3943.4484258465827,HyperDriver (Full)
0.2502708559046587,3139.8672034412293,HyperDriver (Full)
0.3001083423618635,2607.538996163761,HyperDriver (Full)
0.34994582881906827,2229.9261336623513,HyperDriver (Full)
0.05,29022.781127049573,w/o Greedy
0.1,14327.284551954177,w/o Greedy
0.15,8671.464677908756,w/o Greedy
0.2,6180.168346943198,w/o Greedy
0.25,5137.046753026596,w/o Greedy
0.3,4020.618141243401,w/o Greedy
0.35,2425.1694894824623,w/o Greedy
0.4,2103.9202969466005,w/o Greedy
0.45,1848.675803929124,w/o Greedy
0.5,1663.4080505506731,w/o Greedy
0.55,1513.2527399479138,w/o Greedy
0.6,1392.7298195789651,w/o Greedy
0.65,1291.43303376917,w/o Greedy
0.7,1201.227975921212,w/o Greedy
0.75,1119.5904009740393,w/o Greedy
0.8,1049.5652673098195,w/o Greedy
0.85,984.8448788938259,w/o Greedy
0.9,921.9692961114529,w/o Greedy
0.95,866.2614445380267,w/o Greedy
1.0,771.8261913037172,w/o Greedy
0.04983748645720477,136699121481846.39,w/o Hypergraph
0.09967497291440953,62938722735213.055,w/o Hypergraph
0.1495124593716143,16919456572888.492,w/o Hypergraph
0.20043336944745396,224657.44261612586,w/o Hypergraph
0.2502708559046587,1295.7245762372215,w/o Hypergraph
0.3001083423618635,338.50156228953256,w/o Hypergraph
0.34994582881906827,174.34246809277246,w/o Hypergraph
0.04983748645720477,60329.580607256226,w/o Dynamics
0.09967497291440953,21996.9012873703,w/o Dynamics
0.1495124593716143,12695.763065409274,w/o Dynamics
0.20043336944745396,8785.977044339077,w/o Dynamics
0.2502708559046587,6762.065325847472,w/o Dynamics
0.3001083423618635,5492.01892383083,w/o Dynamics
0.34994582881906827,4631.033278109057,w/o Dynamics
