selected_frac,energy,strategy
0.05,20939.657630721587,Random
0.1,8703.831903124152,Random
0.15,5795.646566202597,Random
0.2,4201.163350601284,Random
0.25,3324.1838206758525,Random
0.3,2741.0885871129576,Random
0.35,2348.90907264226,Random
0.4,2050.3914269822617,Random
0.45,1794.2749834547749,Random
0.5,1609.9457425190244,Random
0.55,1465.7132018148397,Random
0.6,1329.712867829595,Random
0.65,1227.436059995859,Random
0.7,1139.5263179965505,Random
0.75,1058.3934632585228,Random
0.8,992.0290785998693,Random
0.85,929.8596805119791,Random
0.9,878.4540074595038,Random
0.95,830.3083899705415,Random
1.0,788.197339411018,Random
0.05,29312.23690075837,DC
0.1,11311.078557304387,DC
0.15,6922.188885515416,DC
0.2,4797.315864912194,DC
0.25,3657.7982457152907,DC
0.3,2942.187665775362,DC
0.35,2453.6144463240425,DC
0.4,2094.388642753176,DC
0.45,1826.7681479049518,DC
0.5,1622.6452421097933,DC
0.55,1459.5348965612152,DC
0.6,1329.4861163748105,DC
0.65,1222.3178586533459,DC
0.7,1131.8348182238578,DC
0.75,1052.3380729561277,DC
0.8,985.2514416979016,DC
0.85,926.733169669172,DC
0.9,875.2239935831435,DC
0.95,829.3091786713942,DC
1.0,788.197339411018,DC
0.05,29097.208346024567,BC
0.1,11035.255419330995,BC
0.15,6672.61150386917,BC
0.2,4645.8683756820665,BC
0.25,3643.669681343791,BC
0.3,2944.24618235771,BC
0.35,2462.1689124432883,BC
0.4,2093.445488158029,BC
0.45,1826.7302385331827,BC
0.5,1622.6636563533445,BC
0.55,1459.5362883873245,BC
0.6,1330.1715991870044,BC
0.65,1222.6519119721863,BC
0.7,1131.9434629330954,BC
0.75,1052.3932964525634,BC
0.8,985.2069145660687,BC
0.85,926.7310598873872,BC
0.9,875.1602458721657,BC
0.95,829.2651903792328,BC
1.0,788.197339411018,BC
0.05,20672.126768576432,EC
0.1,9456.77392240734,EC
0.15,5844.556017342825,EC
0.2,4256.166439631299,EC
0.25,3330.428139411412,EC
0.3,2726.9324795553375,EC
0.35,2324.5272634732673,EC
0.4,2020.974154834202,EC
0.45,1789.9249541998547,EC
0.5,1601.1653359492552,EC
0.55,1448.759691924978,EC
0.6,1323.8894274319873,EC
0.65,1219.621501312858,EC
0.7,1131.2959347612527,EC
0.75,1052.495349003935,EC
0.8,985.7749436055989,EC
0.85,927.0719511805006,EC
0.9,875.2283363805531,EC
0.95,829.3561986869827,EC
1.0,788.197339411018,EC
0.049891540130151846,16698.343243883995,HyperDriver
0.09978308026030369,8081.766986785775,HyperDriver
0.14967462039045554,5345.781509084412,HyperDriver
0.19956616052060738,3994.0329074393067,HyperDriver
0.24945770065075923,3183.332600056512,HyperDriver
0.3004338394793926,2637.2787441089195,HyperDriver
0.05,1832856.471949712,w/o Greedy
0.1,133805.34385896314,w/o Greedy
0.15,27152.86921804423,w/o Greedy
0.2,17044.39847839654,w/o Greedy
0.25,11648.493001663706,w/o Greedy
0.3,8678.848422681822,w/o Greedy
0.35,7375.54157975448,w/o Greedy
0.4,6336.724479078483,w/o Greedy
0.45,5325.928437530999,w/o Greedy
0.5,4080.7098196705556,w/o Greedy
0.55,3429.8881750422247,w/o Greedy
0.6,2742.832584535863,w/o Greedy
0.65,2315.927366483163,w/o Greedy
0.7,1921.7561798133054,w/o Greedy
0.75,1581.9967963966815,w/o Greedy
0.8,1365.3441554001529,w/o Greedy
0.85,1220.1062295592396,w/o Greedy
0.9,1091.4925319744907,w/o Greedy
0.95,965.6109270083309,w/o Greedy
1.0,788.197339411018,w/o Greedy
0.049891540130151846,5942059718978.866,w/o Hypergraph
0.09978308026030369,1531801981194.7515,w/o Hypergraph
0.14967462039045554,24234852419.765396,w/o Hypergraph
0.19956616052060738,33555.45894421618,w/o Hypergraph
0.24945770065075923,690.2613381390647,w/o Hypergraph
0.3004338394793926,195.13394093616333,w/o Hypergraph
0.049891540130151846,57181.402396833764,w/o Dynamics
0.09978308026030369,21003.21284910747,w/o Dynamics
0.14967462039045554,12457.706787039415,w/o Dynamics
0.19956616052060738,8757.443006896134,w/o Dynamics
0.24945770065075923,6774.632552161766,w/o Dynamics
0.3004338394793926,5485.7697923879605,w/o Dynamics
