protein,score
YPL031C,0.9253763194605794
YBR052C,0.8813427186714621
YLR264W,0.8462210886430381
YPR011C,0.8448350093564629
YOL082W,0.829033318776748
YDL012C,0.8120765961467252
YCR086W,0.800683898338943
YJL030W,0.7972052531011418
YLR216C,0.7957578295081259
YLR390W,0.795127534405958
YNL236W,0.7745010386878088
YGL115W,0.7723348649224264
YEL015W,0.768065394867644
YHR032W,0.7668929699692716
YNL154C,0.7636526837006153
YPL222W,0.7585254102402176
YIL033C,0.7553939058063499
YLR432W,0.7493690867454913
YGL161C,0.7483794744937421
YGL221C,0.7453315499258149
YOR039W,0.7450506307873868
YDR174W,0.7433447388330773
YDR032C,0.7344198556939917
YDR206W,0.7315121273655202
YKL002W,0.7308800492339907
YHR207C,0.7245482924114249
YNL091W,0.7243332604899949
YBR205W,0.7226985078791441
YAR031W,0.7222746083675118
YJR091C,0.7181859236527277
YDL160C,0.7167898819330074
YKL135C,0.7162622196201973
YLR438W,0.7161629241163832
YFR033C,0.7148244199869742
YKL103C,0.7142383832198429
YPR062W,0.7139536502949314
YHR105W,0.7136440152064744
YER031C,0.7123164719973174
YOR007C,0.7083013894373048
YML006C,0.7079080120209381
YEL009C,0.7076986148276979
YMR153W,0.7075964155092083
YDR099W,0.7074386666210216
YER105C,0.7060151791725686
YDR001C,0.7059660126988573
YHR135C,0.7051323956595394
YDR477W,0.7038690427213778
YNR012W,0.6993674645313164
YBR274W,0.6983049642464879
YDR315C,0.6960743975783812
YNL135C,0.6952995648248496
YKR026C,0.6936423001489594
YER027C,0.6909638514293304
YIL074C,0.6874742909846271
YMR181C,0.685885597649047
YOL108C,0.6853169406731169
YNR032W,0.6848784597466336
YGR173W,0.6845423794438558
YJL013C,0.6839495160366407
YJR074W,0.6825477978352229
YNL201C,0.6820610123847555
YJR159W,0.6811038343658642
YHR016C,0.6805334549286008
YDL210W,0.6802085854558939
YDR070C,0.6794973616305626
YCL040W,0.679014112601844
YLL046C,0.6785875923063234
YDL110C,0.6746807441007928
YJR122W,0.6740263398650287
YOR034C,0.6737567353096605
YOR303W,0.6723035927149303
YDR074W,0.6714213700407748
YJL042W,0.6709955640130308
YJL092W,0.6709514028367597
YKL142W,0.66988135832282
YIL065C,0.6694626761991431
YGR058W,0.6693201778654946
YDR480W,0.668436719213517
YML001W,0.6683462920689935
YEL037C,0.6681215205922632
YER059W,0.6680403203628468
YLR328W,0.667493815294877
YJL048C,0.6666056615272586
YOR276W,0.666571556077818
YDR469W,0.6663077716351881
YKL204W,0.6661317556525564
YBL051C,0.6658804827154435
YNR004W,0.6658032001224774
YDR084C,0.6657870331431277
YKL001C,0.6654816139028339
YER100W,0.664806542509004
YLR376C,0.664374911047937
YJR133W,0.6640483373621877
YFR047C,0.6633804997696313
YLR025W,0.6633010378224156
YBR281C,0.663287456905425
YOL088C,0.6632700143499163
YPR078C,0.6625298445660731
YIL008W,0.6625198918698663
YJL065C,0.6621572594277058
YNL086W,0.6621252162315053
YOL143C,0.6619270528407004
YIR005W,0.6619043785933705
YJL112W,0.6618435901570422
YNL056W,0.661185399714774
YDR200C,0.6603968285176917
YLL019C,0.6601871999833023
YBR077C,0.6593237457281862
YGR010W,0.6593017299524425
YDR098C,0.6591720880996994
YMR129W,0.6591279877343017
YDR020C,0.6590497731709611
YGL212W,0.6588758990853755
YLR224W,0.6587038668835647
YNL199C,0.6584828006655178
YHR115C,0.6582444913330195
YOR138C,0.6581837764550514
YMR317W,0.658048006844046
YIL151C,0.6579061771966976
YHL046C,0.6572955906482749
YKL015W,0.6572355613863435
YDR142C,0.6569525679090041
YER131W,0.6564171310815754
YMR096W,0.6564166097723928
YPL133C,0.6559748075433607
YPL246C,0.6558853719852321
YER079W,0.6555297525243409
YHL042W,0.6553449220744694
YMR055C,0.6552677959412282
YGL153W,0.6550453583479567
YNL093W,0.6544309437220448
YOR161C,0.6542878187090501
YHR111W,0.654269372325664
