rank,protein,driver_score
1,YMR061W,0.999999999936612
2,YIL007C,0.8955348380201751
3,YPL211W,0.850201237303863
4,YMR102C,0.8251836273242019
5,YBR171W,0.8083436908669139
6,YNL023C,0.7955993138920181
7,YPR017C,0.7828086511312314
8,YHR035W,0.7740858589060836
9,YOR164C,0.7656856671965634
10,YBR252W,0.7585239419818612
11,YLR424W,0.7523778959594729
12,YHR198C,0.7466163234929464
13,YLR015W,0.7417562031404007
14,YLR166C,0.736812897546814
15,YGR099W,0.7331707087106993
16,YAL040C,0.7279728099948549
17,YGL170C,0.7240679453502189
18,YKR048C,0.7212461497828817
19,YLR315W,0.7167879055929843
20,YLR100W,0.7146338886972247
21,YKL008C,0.7111234544524743
22,YAL028W,0.7081196703957353
23,YLR433C,0.7051979031378591
24,YOL123W,0.702427096037863
25,YOR062C,0.6997156830097092
26,YJL058C,0.6977307059660796
27,YPR115W,0.69592839707586
28,YMR048W,0.69363942819732
29,YKR083C,0.6916442056563745
30,YHR091C,0.689444873682709
31,YFR033C,0.6868331179615094
32,YOR106W,0.6850059999002684
33,YNL201C,0.6836388390442107
34,YPL111W,0.6818001338668579
35,YJR050W,0.6801535346047528
36,YDL214C,0.6774832617014025
37,YJL019W,0.676126576060121
38,YDR508C,0.6746324615845901
39,YGR097W,0.6730394861305232
40,YNL122C,0.6712272819941792
41,YKL110C,0.6700193344748935
42,YLL028W,0.6685306218831736
43,YGR014W,0.6674787712456037
44,YNL233W,0.6661105056895894
45,YLR423C,0.6656392063886523
46,YMR233W,0.6641348688004015
47,YDR001C,0.6628303239488981
48,YDR378C,0.6617517661718546
49,YOR303W,0.6606792099922091
50,YBR244W,0.6597693204064733
51,YOR006C,0.6583024893801954
52,YPL003W,0.6569198282637946
53,YOL036W,0.6557362762922684
54,YGR117C,0.6544988376856302
55,YLR135W,0.6534994281009524
56,YGR232W,0.6524382446917195
57,YJL218W,0.6514362780614326
58,YHR128W,0.6501661886170683
59,YLR288C,0.649352259068819
60,YLR275W,0.6485359418974094
61,YJL151C,0.6475171214117501
62,YAR003W,0.6463947170309726
63,YDR054C,0.6456734968754625
64,YDL215C,0.6445420196059453
65,YJR056C,0.6436899237450198
66,YHR084W,0.6426884566746505
67,YDR016C,0.6418461342389578
68,YER179W,0.6408570517148766
69,YFR011C,0.6405283386322559
70,YNL287W,0.6394058825497504
71,YPR040W,0.6385089698479501
72,YCL054W,0.6375988825751385
73,YDL210W,0.6369039484985233
74,YER161C,0.6362275368775943
75,YOL088C,0.635615645952241
76,YDR412W,0.6348581354953644
77,YGL025C,0.6342706191278744
78,YGR234W,0.6335594611131451
79,YFR002W,0.6326718836382176
80,YAR018C,0.631923905246255
81,YMR228W,0.6314790302928172
82,YBR059C,0.6306044548928721
83,YEL023C,0.6298377083824617
84,YMR210W,0.6292099790870365
85,YGR158C,0.6287308093694007
86,YDR313C,0.6280475407378874
87,YMR303C,0.6273159337984473
88,YJR122W,0.6267106807310636
89,YCL059C,0.626010551876019
90,YKL183W,0.6254223689797783
91,YKL061W,0.6247157601009201
92,YER079W,0.6240324254862527
93,YDR082W,0.6233933179432989
94,YJR131W,0.6227343676741994
95,YLR432W,0.6222965058857958
96,YOR026W,0.621568530072025
97,YML001W,0.6209298222587817
98,YFR008W,0.6203594884814899
99,YCR005C,0.6196961943194356
100,YMR159C,0.619301704428857
101,YJR159W,0.6188798813052032
102,YDR088C,0.6183377276487574
103,YGR113W,0.6177831624368021
104,YER100W,0.6172427004665003
105,YEL041W,0.616595958254731
106,YGL201C,0.6160099994227913
107,YGL180W,0.6157588393568961
108,YDL213C,0.6151911333747401
109,YMR035W,0.6146794374256475
110,YKL033W,0.6141196729001768
111,YKL204W,0.6136297641800311
112,YJL056C,0.6130023482119552
113,YDR386W,0.6124747857252819
114,YMR322C,0.6120167274044451
115,YPL049C,0.6114929111276218
116,YFL042C,0.611047816796934
117,YAL034W-A,0.6105002553312048
118,YOL034W,0.6100313067253267
119,YGR122W,0.6095140660990411
120,YPL192C,0.6091060884080404
121,YKL103C,0.6087976816707951
122,YFR042W,0.6081438217147246
123,YOR034C,0.6076286477349679
124,YDL147W,0.6072312156577412
125,YJL203W,0.6067901980255027
126,YMR071C,0.6062583431656556
127,YMR270C,0.6057901470824553
128,YHR038W,0.6053745200443426
129,YMR224C,0.6049814054625331
130,YDR207C,0.6046187899478419
131,YOR111W,0.6041189145119473
132,YPR046W,0.6036052477478008
133,YHR075C,0.603216284823746
134,YDL155W,0.6028316114266892
135,YDR110W,0.6025348519114663
136,YPR020W,0.6021162031767019
137,YGR129W,0.6016685072647815
138,YGL116W,0.6012626202377335
139,YJL042W,0.6007927216234933
140,YPR185W,0.6005205880784278
141,YML110C,0.6001077769825214
142,YDL203C,0.5996895994813888
143,YNR048W,0.5992725273846006
144,YMR201C,0.5988075459907947
145,YJL013C,0.5985609223285291
