index,protein,bc
0,YLL014W,268.393792518536
1,YHR131C,0.0
2,YKR099W,0.0
3,YER134C,0.0
4,YOR361C,0.0
5,YPR075C,0.0
6,YER099C,0.0
7,YOR321W,0.0
8,YGL115W,3713.30303603605
9,YNL126W,0.0
10,YLR452C,0.0
11,YMR067C,0.0
12,YKR094C,0.0
13,YNL312W,0.0
14,YDL072C,0.0
15,YDR465C,1.0
16,YJL048C,0.0
17,YBR182C,398.9022386785346
18,YDR502C,0.0
19,YML112W,0.0
20,YKR071C,0.0
21,YDR138W,1004.7379855421398
22,YNR011C,0.0
23,YBR126C,1.0
24,YPL203W,0.0
25,YGL141W,0.0
26,YNL104C,0.0
27,YBL025W,0.0
28,YDL208W,1085.6227840597555
29,YBL101C,0.0
30,YKR026C,0.0
31,YML014W,0.0
32,YBR273C,964.9687128186143
33,YNL131W,0.0
34,YGR120C,7103.563978251667
35,YMR021C,2115.7702947467405
36,YPL004C,8072.030423321504
37,YJL185C,0.0
38,YGR263C,0.0
39,YJR056C,0.0
40,YDR205W,0.0
41,YHR160C,0.0
42,YLL049W,793.9356561789373
43,YMR017W,0.0
44,YPR019W,0.0
45,YPL176C,0.0
46,YJR007W,0.0
47,YBR194W,5340.0
48,YHR076W,0.0
49,YJL083W,0.0
50,YER144C,1737.9214288928235
51,YJL134W,53.70933049803464
52,YMR124W,1535.776797935006
53,YIL103W,0.0
54,YER086W,4827.455759083584
55,YBR108W,0.0
56,YKL157W,0.0
57,YHR171W,1789.0
58,YOL133W,3016.9340291863923
59,YMR182C,0.0
60,YAL041W,0.0
61,YJL013C,0.0
62,YOR158W,110.16039861703833
63,YOL034W,14140.313177938668
64,YDR472W,0.0
65,YKR066C,1389.5371968337365
66,YLL045C,0.0
67,YDR520C,2171.8669429859824
68,YBR123C,0.0
69,YEL053C,895.0
70,YDL212W,0.0
71,YJL155C,0.0
72,YOR054C,0.0
73,YMR061W,895.0
74,YER024W,0.0
75,YHL009C,3043.2707717570115
76,YNL049C,0.0
77,YMR032W,3443.678715521142
78,YDR423C,0.0
79,YDR214W,895.0
80,YLR072W,1673.6806240231751
81,YNL078W,3338.2998064257586
82,YGR040W,0.0
83,YLR409C,0.0
84,YOL082W,2408.3398705928576
85,YMR111C,3087.6841581748627
86,YCR004C,0.0
87,YBR029C,8.043947049073953
88,YOL123W,591.993322302697
89,YGL079W,0.0
90,YOR101W,0.0
91,YMR055C,0.0
92,YPR113W,28311.422125234756
93,YKL040C,0.0
94,YNR007C,0.0
95,YBR111C,0.0
96,YBR055C,0.0
97,YCR065W,0.0
98,YGL187C,1789.0
99,YDL100C,19427.3149579747
100,YGR232W,0.0
101,YDR059C,0.0
102,YOR028C,0.0
103,YMR028W,1.0
104,YOR129C,0.0
105,YDR013W,0.0
106,YAL049C,0.0
107,YBR077C,0.0
108,YHR025W,0.0
109,YOL109W,0.0
110,YDR216W,0.0
111,YBL057C,0.0
112,YHR022C,1509.6253027452904
113,YER017C,0.0
114,YGR029W,0.0
115,YER157W,0.0
116,YPR071W,1791.7329824143221
117,YDL070W,5348.0
118,YFL042C,0.0
119,YGR205W,0.0
120,YPR082C,1928.6360151235094
121,YDR304C,0.0
122,YML077W,0.0
123,YPR160W,0.0
124,YHL018W,5131.414803278363
125,YHR096C,0.0
126,YGL060W,465.987762237762
127,YGR063C,0.0
128,YMR267W,247.32036068424864
129,YDR397C,0.0
130,YKL159C,895.0
131,YER151C,0.0
132,YGR123C,0.0
133,YKL058W,0.0
134,YPL184C,0.0
135,YEL034W,0.0
136,YBR234C,895.0
137,YJR091C,0.0
138,YGR179C,0.0
139,YDR373W,895.0000000000001
140,YOR324C,895.0
141,YBR072W,0.0
142,YDR032C,2077.7826558296147
143,YGL155W,0.0
144,YKL183W,0.0
145,YNL311C,915.0071138211382
146,YGR241C,1989.8167253523707
147,YGL104C,246.3937271946184
148,YAR033W,1788.0
149,YLR244C,1.0
150,YDL220C,0.0
151,YKL171W,1626.0565382919006
152,YOL054W,61.52879216257947
153,YJL036W,0.0
154,YNR067C,0.0
155,YKL135C,895.0
156,YDR063W,2681.0
157,YGL145W,0.0
158,YLR273C,0.0
159,YBR170C,0.0
160,YDR124W,0.0
161,YJL151C,1533.4247728595572
162,YER159C,0.0
163,YMR316W,0.0
164,YDR177W,0.0
165,YDR388W,2810.61306974516
166,YDL064W,0.0
167,YBL058W,5879.0322244807485
168,YPR093C,1789.0
169,YDL029W,0.0
170,YDR245W,0.0
171,YGL124C,910.3333333333334
172,YPL018W,0.0
173,YNL249C,0.0
174,YNL286W,1526.8635113252758
175,YGL095C,895.0
176,YPL157W,895.0
177,YER101C,18.102876905025706
178,YJL187C,342.3643531253747
179,YFL038C,145.45778636773713
180,YDR208W,0.0
181,YPR066W,0.0
182,YBR186W,895.0
183,YLR397C,162.08349015631418
184,YJR127C,0.0
185,YNR051C,0.0
186,YKL197C,0.0
187,YKL211C,1788.0
188,YDL092W,0.0
189,YPL095C,0.0
190,YFR027W,0.0
191,YLR089C,145.58998682476943
192,YMR288W,0.0
193,YML064C,683.4760227470421
194,YBR243C,0.0
195,YOR299W,0.0
196,YJR136C,0.0
197,YER059W,0.0
198,YGL065C,0.0
199,YNL029C,0.0
200,YOR359W,0.0
201,YDL134C,0.0
202,YKL151C,55.423488674094195
203,YCR086W,10235.303520682624
204,YML011C,895.0
205,YKL075C,0.0
206,YDR146C,290.7615094780704
207,YOL069W,0.0
208,YIL084C,0.0
209,YNL155W,719.737845531016
210,YNL316C,0.0
211,YGR238C,0.0
212,YCR027C,0.0
213,YLR011W,0.0
214,YHR122W,0.0
215,YOR185C,85.19958852518862
216,YOR197W,0.0
217,YKL015W,1315.921937517645
218,YGL208W,0.0
219,YCR021C,0.0
220,YDR532C,952.9223038572042
221,YDR076W,0.0
222,YLR021W,183.00899780044531
223,YDR429C,1.0
224,YBR188C,1847.1361318177155
225,YGR125W,0.0
226,YPL125W,2910.28589476628
227,YLR399C,0.0
228,YBR276C,0.0
229,YBR212W,0.0
230,YER090W,895.0
231,YHR105W,253.4021799420078
232,YGL153W,23077.27947598117
233,YHR134W,783.8020870670243
234,YDR142C,5537.271550223394
235,YDR085C,0.0
236,YOL148C,0.0
237,YGR267C,4582.096753852166
238,YPR173C,2679.0
239,YBL026W,0.0
240,YMR016C,0.0
241,YGR133W,0.0
242,YOL139C,0.0
243,YAL027W,0.0
244,YJL110C,2732.740351626153
245,YGR142W,5747.412161193019
246,YLR392C,0.0
247,YNL113W,1332.1756234535435
248,YLR268W,280.4939976278303
249,YHR057C,0.0
250,YNL091W,0.0
251,YHL039W,0.0
252,YPR158W,0.0
253,YLR177W,15812.0
254,YMR070W,4465.0
255,YBL023C,4675.092227225333
256,YIL124W,0.0
257,YOL021C,0.0
258,YOL070C,0.0
259,YGR146C,0.0
260,YGL026C,0.0
261,YHR036W,0.0
262,YLR006C,895.0
263,YNL056W,0.0
264,YAL021C,1329.883893615341
265,YLR377C,1036.8015681366232
266,YER184C,0.0
267,YCR007C,3237.4105326222634
268,YLL022C,0.0
269,YMR308C,2050.6421982727
270,YMR276W,1169.5026175099943
271,YIR015W,0.0
272,YMR181C,0.0
273,YML099C,8305.477244345198
274,YJL006C,895.0
275,YDL044C,0.0
