index,protein,dc
0,YLL014W,9.8214
1,YHR131C,3.2738
2,YKR099W,3.2738
3,YER134C,3.2738
4,YOR361C,3.2738
5,YPR075C,3.2738
6,YER099C,3.2738
7,YOR321W,3.2738
8,YGL115W,19.6428
9,YNL126W,3.2738
10,YLR452C,3.2738
11,YMR067C,3.2738
12,YKR094C,3.2738
13,YNL312W,3.2738
14,YDL072C,3.2738
15,YDR465C,6.5476
16,YJL048C,3.2738
17,YBR182C,6.5476
18,YDR502C,3.2738
19,YML112W,3.2738
20,YKR071C,3.2738
21,YDR138W,6.5476
22,YNR011C,3.2738
23,YBR126C,6.5476
24,YPL203W,3.2738
25,YGL141W,3.2738
26,YNL104C,3.2738
27,YBL025W,3.2738
28,YDL208W,9.8214
29,YBL101C,3.2738
30,YKR026C,3.2738
31,YML014W,3.2738
32,YBR273C,6.5476
33,YNL131W,3.2738
34,YGR120C,32.73800000000001
35,YMR021C,16.369
36,YPL004C,36.01180000000001
37,YJL185C,3.2738
38,YGR263C,3.2738
39,YJR056C,3.2738
40,YDR205W,3.2738
41,YHR160C,6.5476
42,YLL049W,6.5476
43,YMR017W,3.2738
44,YPR019W,3.2738
45,YPL176C,3.2738
46,YJR007W,3.2738
47,YBR194W,6.5476
48,YHR076W,3.2738
49,YJL083W,3.2738
50,YER144C,13.0952
51,YJL134W,6.5476
52,YMR124W,16.369
53,YIL103W,3.2738
54,YER086W,22.916600000000003
55,YBR108W,3.2738
56,YKL157W,3.2738
57,YHR171W,13.0952
58,YOL133W,16.369
59,YMR182C,3.2738
60,YAL041W,3.2738
61,YJL013C,3.2738
62,YOR158W,6.5476
63,YOL034W,32.73800000000001
64,YDR472W,3.2738
65,YKR066C,6.5476
66,YLL045C,3.2738
67,YDR520C,22.916600000000003
68,YBR123C,3.2738
69,YEL053C,6.5476
70,YDL212W,3.2738
71,YJL155C,3.2738
72,YOR054C,3.2738
73,YMR061W,6.5476
74,YER024W,3.2738
75,YHL009C,9.8214
76,YNL049C,3.2738
77,YMR032W,16.369
78,YDR423C,3.2738
79,YDR214W,6.5476
80,YLR072W,9.8214
81,YNL078W,13.0952
82,YGR040W,9.8214
83,YLR409C,3.2738
84,YOL082W,19.6428
85,YMR111C,22.916600000000003
86,YCR004C,3.2738
87,YBR029C,6.5476
88,YOL123W,6.5476
89,YGL079W,3.2738
90,YOR101W,3.2738
91,YMR055C,3.2738
92,YPR113W,29.464200000000005
93,YKL040C,3.2738
94,YNR007C,6.5476
95,YBR111C,6.5476
96,YBR055C,3.2738
97,YCR065W,3.2738
98,YGL187C,9.8214
99,YDL100C,65.47600000000001
100,YGR232W,3.2738
101,YDR059C,3.2738
102,YOR028C,3.2738
103,YMR028W,6.5476
104,YOR129C,3.2738
105,YDR013W,3.2738
106,YAL049C,3.2738
107,YBR077C,3.2738
108,YHR025W,3.2738
109,YOL109W,3.2738
110,YDR216W,3.2738
111,YBL057C,3.2738
112,YHR022C,9.8214
113,YER017C,3.2738
114,YGR029W,3.2738
115,YER157W,3.2738
116,YPR071W,16.369
117,YDL070W,13.0952
118,YFL042C,3.2738
119,YGR205W,3.2738
120,YPR082C,9.8214
121,YDR304C,3.2738
122,YML077W,3.2738
123,YPR160W,3.2738
124,YHL018W,26.190400000000004
125,YHR096C,3.2738
126,YGL060W,6.5476
127,YGR063C,3.2738
128,YMR267W,6.5476
129,YDR397C,3.2738
130,YKL159C,6.5476
131,YER151C,3.2738
132,YGR123C,3.2738
133,YKL058W,3.2738
134,YPL184C,3.2738
135,YEL034W,3.2738
136,YBR234C,6.5476
137,YJR091C,3.2738
138,YGR179C,3.2738
139,YDR373W,6.5476
140,YOR324C,6.5476
141,YBR072W,3.2738
142,YDR032C,13.0952
143,YGL155W,3.2738
144,YKL183W,3.2738
145,YNL311C,9.8214
146,YGR241C,13.0952
147,YGL104C,9.8214
148,YAR033W,6.5476
149,YLR244C,6.5476
150,YDL220C,3.2738
151,YKL171W,13.0952
152,YOL054W,6.5476
153,YJL036W,3.2738
154,YNR067C,3.2738
155,YKL135C,6.5476
156,YDR063W,9.8214
157,YGL145W,3.2738
158,YLR273C,3.2738
159,YBR170C,3.2738
160,YDR124W,3.2738
161,YJL151C,13.0952
162,YER159C,3.2738
163,YMR316W,3.2738
164,YDR177W,3.2738
165,YDR388W,22.916600000000003
166,YDL064W,3.2738
167,YBL058W,13.0952
168,YPR093C,9.8214
169,YDL029W,3.2738
170,YDR245W,3.2738
171,YGL124C,9.8214
172,YPL018W,3.2738
