index,protein,ec
0,YLL014W,0.003903024700979347
1,YHR131C,0.005532910024901218
2,YKR099W,4.983122598711914e-107
3,YER134C,4.10136270856833e-05
4,YOR361C,1.5435178193758657e-91
5,YPR075C,0.0010499777428092548
6,YER099C,7.024011890243874e-107
7,YOR321W,0.0012588799392357227
8,YGL115W,0.057545180802850024
9,YNL126W,2.7008534358247097e-107
10,YLR452C,2.2849797410827157e-83
11,YMR067C,0.00011989903263226576
12,YKR094C,0.0005782359080085715
13,YNL312W,8.770074563752035e-92
14,YDL072C,0.0008982770141700396
15,YDR465C,4.085183728438126e-92
16,YJL048C,0.015869323994381748
17,YBR182C,0.021402234019282967
18,YDR502C,6.144915246873639e-107
19,YML112W,8.085784533142296e-09
20,YKR071C,1.554294038607058e-106
21,YDR138W,0.016249255585868833
22,YNR011C,0.00015459185914653358
23,YBR126C,2.0084699569578226e-92
24,YPL203W,7.264642756584011e-05
25,YGL141W,8.244486438202329e-107
26,YNL104C,0.002004008100561444
27,YBL025W,7.160085602963652e-107
28,YDL208W,0.0043005906971110164
29,YBL101C,4.906754742493268e-92
30,YKR026C,0.04744956947278343
31,YML014W,0.0009720020044305383
32,YBR273C,0.0008975652946148453
33,YNL131W,0.00019952681893158094
34,YGR120C,0.060713902896200794
35,YMR021C,0.03066234024927883
36,YPL004C,0.00413158249479329
37,YJL185C,0.00019952681893158094
38,YGR263C,2.1479277705442252e-07
39,YJR056C,0.0012598970541712695
40,YDR205W,5.2456166602517855e-107
41,YHR160C,0.001589465807078261
42,YLL049W,0.01616165221954509
43,YMR017W,1.2950554599074462e-05
44,YPR019W,0.004938757745560255
45,YPL176C,0.00012009451176908327
46,YJR007W,2.7625616768564726e-80
47,YBR194W,2.6011242592319983e-05
48,YHR076W,0.0010887295803244745
49,YJL083W,0.0003677309698738974
50,YER144C,0.056194974327678435
51,YJL134W,0.002644144761743624
52,YMR124W,0.003398680786515469
53,YIL103W,5.302415731108957e-107
54,YER086W,0.10566969445141765
55,YBR108W,0.0005418722202806946
56,YKL157W,0.0001042594240737109
57,YHR171W,0.000460781041165965
58,YOL133W,0.000644065656276481
59,YMR182C,0.0015448706064846462
60,YAL041W,9.758189744948465e-92
61,YJL013C,7.063980846882228e-92
62,YOR158W,0.02127320571205933
63,YOL034W,0.06950656833335625
64,YDR472W,0.0007180179010906503
65,YKR066C,0.0027517686862133387
66,YLL045C,0.0008982770141700396
67,YDR520C,0.07261846911913435
68,YBR123C,0.015869323994381748
69,YEL053C,0.00042068142512140537
70,YDL212W,0.0008250222355494216
71,YJL155C,0.0009503120913301094
72,YOR054C,1.5975262883639306e-107
73,YMR061W,0.00048749356628268804
74,YER024W,1.4051981863102374e-106
75,YHL009C,0.05140247635572626
76,YNL049C,0.0001453583736267772
77,YMR032W,0.04953434708942366
78,YDR423C,0.0005368932130963229
79,YDR214W,8.922442913025345e-06
80,YLR072W,0.003878899032287846
81,YNL078W,0.004270940023779605
82,YGR040W,0.02578330222078431
83,YLR409C,1.602365225963488e-106
84,YOL082W,0.017930279714559478
85,YMR111C,0.019550247477386148
86,YCR004C,0.006311564395744012
87,YBR029C,0.0017655331432228887
88,YOL123W,0.012116594237210109
89,YGL079W,0.0014252287141823087
90,YOR101W,6.987041756480391e-92
91,YMR055C,6.165299771857409e-107
92,YPR113W,0.029797118067412892
93,YKL040C,0.010871699470780948
94,YNR007C,0.00045407007394875494
95,YBR111C,0.030193520154720255
96,YBR055C,0.0013050583445909127
97,YCR065W,0.002326217472292704
98,YGL187C,0.008310307036847034
99,YDL100C,0.011789679210974624
100,YGR232W,1.3411217960282008e-91
101,YDR059C,0.00012113676014450298
102,YOR028C,0.0005658509129199568
103,YMR028W,1.1043680956061135e-91
