selected_frac,energy_cost,strategy
0.05,27499.863897861018,Random
0.1,12087.813768915752,Random
0.15,7820.087746958881,Random
0.2,5869.541601966481,Random
0.25,4753.485394652008,Random
0.3,3835.7119563773963,Random
0.35,3327.5630807481944,Random
0.4,2883.3754571131713,Random
0.45,2540.853355256818,Random
0.5,2312.5406467981447,Random
0.55,2082.93727571253,Random
0.6,1915.3924831372037,Random
0.65,1773.2295062175012,Random
0.7,1640.2924602090834,Random
0.75,1369.8806646926141,Random
0.8,1286.725261067611,Random
0.85,1185.510553182424,Random
0.9,1120.8597900274256,Random
0.95,1009.927837542215,Random
1.0,960.0378814365797,Random
0.05,43082.74187276025,DC
0.1,15676.381212150083,DC
0.15,8865.06602253718,DC
0.2,6166.4389462020235,DC
0.25,4677.567672989255,DC
0.3,3743.3133554806154,DC
0.35,3102.0987551962317,DC
0.4,2650.4604897822137,DC
0.45,2307.2314497060056,DC
0.5,2040.2512494667535,DC
0.55,1833.5781978989457,DC
0.6,1666.919797986634,DC
0.65,1494.902316757396,DC
0.7,1380.8657205193638,DC
0.75,1284.3560170374963,DC
0.8,1201.3726771944778,DC
0.85,1129.366145941455,DC
0.9,1065.515328438116,DC
0.95,1009.8125828719881,DC
1.0,960.0378814365797,DC
0.05,34012.179411477155,BC
0.1,13895.392389971865,BC
0.15,8426.304329003025,BC
0.2,5933.1318216253985,BC
0.25,4514.838337291147,BC
0.3,3681.0331313008387,BC
0.35,3076.789919437137,BC
0.4,2649.2479340986833,BC
0.45,2300.275320778781,BC
0.5,2035.7558579366955,BC
0.55,1831.6271047289265,BC
0.6,1665.522606807611,BC
0.65,1493.1904723345765,BC
0.7,1379.4039878205576,BC
0.75,1283.7001915003689,BC
0.8,1201.1179483865608,BC
0.85,1129.2095900708446,BC
0.9,1065.396788340802,BC
0.95,1009.7813672687321,BC
1.0,960.0378814365796,BC
0.05,34838.60842506291,EC
0.1,13712.240038584812,EC
0.15,8108.979992302064,EC
0.2,5766.7132562301695,EC
0.25,4437.299835037838,EC
0.3,3579.5971748679226,EC
0.35,2996.6624565439115,EC
0.4,2563.596051167013,EC
0.45,2211.3493658403454,EC
0.5,1970.9014256384912,EC
0.55,1781.2822954145197,EC
0.6,1625.6497959168955,EC
0.65,1493.2917061676608,EC
0.7,1383.165435064479,EC
0.75,1288.0813496106275,EC
0.8,1201.3571700206405,EC
0.85,1129.932938202081,EC
0.9,1065.7137449242987,EC
0.95,1009.7797729214825,EC
1.0,960.0378814365796,EC
0.04982817869415808,21649.2933967212,HyperDriver (Full)
0.09965635738831616,10133.503111776701,HyperDriver (Full)
0.15034364261168384,6579.81332669264,HyperDriver (Full)
0.20017182130584193,4896.162538528772,HyperDriver (Full)
0.25,3893.402003810319,HyperDriver (Full)
0.29982817869415807,3230.7854902469116,HyperDriver (Full)
0.34965635738831613,2762.5273533537734,HyperDriver (Full)
0.05,101108.20485266435,w/o Greedy
0.1,47746.615774697544,w/o Greedy
0.15,10263.155940270164,w/o Greedy
0.2,7009.193322668858,w/o Greedy
0.25,5157.312107631594,w/o Greedy
0.3,4091.36455260593,w/o Greedy
0.35,3422.766956346911,w/o Greedy
0.4,2943.8883424539754,w/o Greedy
0.45,2620.0450511002473,w/o Greedy
0.5,2361.5783061482707,w/o Greedy
0.55,2136.633182195335,w/o Greedy
0.6,1984.3838929718422,w/o Greedy
0.65,1848.8797487667757,w/o Greedy
0.7,1726.939823691977,w/o Greedy
0.75,1618.9192180541943,w/o Greedy
0.8,1520.8249969979781,w/o Greedy
0.85,1420.0284260138776,w/o Greedy
0.9,1333.9924880105368,w/o Greedy
0.95,1251.9875896222798,w/o Greedy
1.0,960.0378814365796,w/o Greedy
0.04982817869415808,59582273928537.016,w/o Hypergraph
0.09965635738831616,1564479407184.7522,w/o Hypergraph
0.15034364261168384,10985.32460597889,w/o Hypergraph
0.20017182130584193,987.4529834495772,w/o Hypergraph
0.25,353.9254458596829,w/o Hypergraph
0.29982817869415807,209.516042490456,w/o Hypergraph
0.34965635738831613,148.1120379578337,w/o Hypergraph
0.04982817869415808,101023.08834535425,w/o Dynamics
0.09965635738831616,32625.315894405983,w/o Dynamics
0.15034364261168384,18487.946416412557,w/o Dynamics
0.20017182130584193,12852.435281066279,w/o Dynamics
0.25,9877.658990182772,w/o Dynamics
0.29982817869415807,8047.045633299384,w/o Dynamics
0.34965635738831613,6798.532320183495,w/o Dynamics
