selected_frac,energy,strategy
0.05,36961.189376526534,Random
0.1,12499.433921409687,Random
0.15,8058.989736726456,Random
0.2,5874.972217017322,Random
0.25,4758.195372012835,Random
0.3,3911.2823163564226,Random
0.35,3377.6710527329906,Random
0.4,2912.1599225278583,Random
0.45,2601.2596029993974,Random
0.5,2356.4463797697363,Random
0.55,2114.671263858104,Random
0.6,1937.023093520289,Random
0.65,1791.6479117373603,Random
0.7,1654.3050428870463,Random
0.75,1389.5653848062243,Random
0.8,1303.682789636172,Random
0.85,1222.592866251447,Random
0.9,1157.0645755446826,Random
0.95,1051.3380865644272,Random
1.0,999.2011882666968,Random
0.05,43330.50944636963,DC
0.1,16494.124457478185,DC
0.15,9548.922943317699,DC
0.2,6546.313056910649,DC
0.25,4908.343665838588,DC
0.3,3891.8641470099546,DC
0.35,3203.3586606588324,DC
0.4,2748.9010726481793,DC
0.45,2382.157831687957,DC
0.5,2095.057198333456,DC
0.55,1878.302395568993,DC
0.6,1705.865318070637,DC
0.65,1555.9504369699464,DC
0.7,1436.116742521498,DC
0.75,1336.3769849938622,DC
0.8,1250.5263356390624,DC
0.85,1174.380698455967,DC
0.9,1108.9030263874836,DC
0.95,1050.9885114132962,DC
1.0,999.2011882666968,DC
0.05,35937.691490553276,BC
0.1,14777.316638581313,BC
0.15,9172.521614361027,BC
0.2,6431.804177553302,BC
0.25,4865.511175005243,BC
0.3,3859.013437107699,BC
0.35,3200.4506151355827,BC
0.4,2738.223726443941,BC
0.45,2367.709172430803,BC
0.5,2085.3484216468646,BC
0.55,1873.6124820137293,BC
0.6,1701.870608637779,BC
0.65,1553.314354361197,BC
0.7,1435.1148021934146,BC
0.75,1336.0635508066703,BC
0.8,1250.212482173558,BC
0.85,1174.2015562486013,BC
0.9,1108.8732394412568,BC
0.95,1050.9736180186378,BC
1.0,999.2011882666969,BC
0.05,47448.0851395192,EC
0.1,14303.33365174517,EC
0.15,8915.60236599418,EC
0.2,6176.257403622447,EC
0.25,4692.978946954674,EC
0.3,3781.962962289458,EC
0.35,3179.008235673018,EC
0.4,2725.160897640099,EC
0.45,2365.8133236980507,EC
0.5,2110.5595551074666,EC
0.55,1911.21969356712,EC
0.6,1740.1881229493704,EC
0.65,1600.0479742348807,EC
0.7,1484.1649384695006,EC
0.75,1371.5198507643167,EC
0.8,1250.612212199553,EC
0.85,1174.911533550392,EC
0.9,1109.3260116849142,EC
0.95,1051.1441591924086,EC
1.0,999.2011882666968,EC
0.04987102321582115,22212.566432157375,HyperDriver
0.0997420464316423,10562.13402391013,HyperDriver
0.14961306964746346,6904.78130905045,HyperDriver
0.2003439380911436,5110.387677065748,HyperDriver
0.25021496130696474,4059.6461436979557,HyperDriver
0.3000859845227859,3370.271688604859,HyperDriver
0.34995700773860705,2879.3511766319316,HyperDriver
0.05,968705.3016200355,w/o Greedy
0.1,81938.03875501138,w/o Greedy
0.15,45286.16945314946,w/o Greedy
0.2,30819.839325611993,w/o Greedy
0.25,25306.39477975364,w/o Greedy
0.3,20003.497062156806,w/o Greedy
0.35,17127.94426874202,w/o Greedy
0.4,14934.886745450889,w/o Greedy
0.45,13043.604049427453,w/o Greedy
0.5,10485.412098088087,w/o Greedy
0.55,8969.92476561638,w/o Greedy
0.6,6728.208144365411,w/o Greedy
0.65,5371.682078446325,w/o Greedy
0.7,4640.25536518763,w/o Greedy
0.75,3904.611983944863,w/o Greedy
0.8,3110.570413483241,w/o Greedy
0.85,2609.1498850229964,w/o Greedy
0.9,2144.8955343623165,w/o Greedy
0.95,1649.7094952763882,w/o Greedy
1.0,999.2011882666968,w/o Greedy
0.04987102321582115,1149700741856.1099,w/o Hypergraph
0.0997420464316423,1198411627.975074,w/o Hypergraph
0.14961306964746346,7054.968677955203,w/o Hypergraph
0.2003439380911436,814.5982849968862,w/o Hypergraph
0.25021496130696474,316.8147100090247,w/o Hypergraph
0.3000859845227859,195.58334511903644,w/o Hypergraph
0.34995700773860705,145.15545703452807,w/o Hypergraph
0.04987102321582115,88869.1035412176,w/o Dynamics
0.0997420464316423,31357.533271530876,w/o Dynamics
0.14961306964746346,18066.27326397212,w/o Dynamics
0.2003439380911436,12707.023701891994,w/o Dynamics
0.25021496130696474,9822.419230392756,w/o Dynamics
0.3000859845227859,7996.191265606872,w/o Dynamics
0.34995700773860705,6766.7744586992985,w/o Dynamics
