protein,score
YIR038C,0.9999999999808595
YDR100W,0.8630662865018358
YCR009C,0.8416853130192226
YDL100C,0.8394622188214492
YKL103C,0.7944692743936894
YPL004C,0.7935209290247849
YHR113W,0.7911953982626505
YJR070C,0.7905946346700907
YDR479C,0.7826211499794682
YGR209C,0.7798950697728866
YPL031C,0.7680677628092123
YGL153W,0.7666108371484689
YCR086W,0.7642355589438814
YMR077C,0.7609484623346963
YLR345W,0.7585069147279364
YDR388W,0.754915168300057
YDR488C,0.7499864838294773
YGR142W,0.7492405221679221
YER086W,0.7490659073897641
YDR171W,0.7488424677420863
YOL082W,0.7463515340865072
YIL153W,0.7452900947855366
YKL117W,0.7441363095687273
YHR114W,0.7439262610716103
YPL135W,0.7431827254295728
YGL053W,0.7430178714035328
YML110C,0.7427447492218352
YKL043W,0.742610501453465
YNL315C,0.7425519712873059
YIR033W,0.7422412597515753
YER015W,0.7421217555706762
YOL111C,0.7399858184612724
YDL066W,0.7396843357837676
YMR139W,0.7395525920111067
YHR158C,0.7392806284012978
YDR032C,0.7389122344934678
YBR057C,0.7388954022748158
YOR380W,0.738842454203183
YDL190C,0.7386809544810101
YGR233C,0.7382814033723519
YHR193C,0.7379326603288147
YGR086C,0.7378493293061398
YGR144W,0.7377191591887935
YDR411C,0.7374710925278947
YKL032C,0.7370338768946645
YOL126C,0.7363438715229329
YJL183W,0.7357583517992469
YNL219C,0.7354127888235164
YLR245C,0.7352438664599921
YJL151C,0.7351895404633414
YGL115W,0.7351180190887147
YGR268C,0.7350485904484702
YJL137C,0.7348492186773382
YOR185C,0.7342283970993052
YHR106W,0.7335756547426379
YDR284C,0.7335411309742381
YIL065C,0.7335042490898498
YMR315W,0.7334170084199438
YGR178C,0.733251990639941
YBR249C,0.7323621384119909
YPL260W,0.7322565521588056
YHR161C,0.7321411404503827
YDR142C,0.7320244379518573
YIL122W,0.7318630488573646
YHR185C,0.7317729603267703
YNL135C,0.7313580267654637
YML038C,0.7313298919744374
YDR195W,0.731034888628979
YEL042W,0.7308154992419352
YJL189W,0.7306741036784427
YKL025C,0.7304587021009247
YDR330W,0.7304513751307737
YGL187C,0.7302201425768441
YGR241C,0.7301461598583149
YGL037C,0.729992056858625
YER047C,0.7297011791534941
YKL171W,0.7295946446758582
YMR004W,0.7294915675992037
YER144C,0.7294528655237149
YLR328W,0.7290814086348131
YGR177C,0.7290048051790373
YDR229W,0.7289352886414231
YHL012W,0.7289281621593577
YPL088W,0.7288980487418514
YDR099W,0.7286456899988055
YNR004W,0.728638189158003
YMR021C,0.7281829392448887
YMR092C,0.7281122539870994
YIL074C,0.7280150147692993
YPL201C,0.727884950927116
YDR051C,0.7277748907594669
YIL119C,0.7276754262740729
YGR067C,0.7276724692978798
YBR241C,0.7276716463581999
YDR520C,0.7275525406189477
YBR233W,0.7274381863491662
YLR385C,0.7273490333759354
YPR173C,0.7273351948595522
YAL021C,0.727196075960339
YHL004W,0.7271657006330339
YPL022W,0.7269608755292314
YGR203W,0.7267217955602079
YPR071W,0.7266551126909156
YBR260C,0.7266546956347971
YMR111C,0.7266401869128831
YDR001C,0.726454975009814
YLR377C,0.7264336216245497
YJL058C,0.7263240281771283
YOR124C,0.7262523488356868
YCR060W,0.7261244009795728
YLR181C,0.7260771291333452
YDR152W,0.7260239708381445
YLL014W,0.7259700168872317
YNR012W,0.7257424406765052
YPR174C,0.7257106076870522
YBL047C,0.7256634450625112
YKL020C,0.7256523929258901
YLR350W,0.7255643972023655
YOL107W,0.7254888175501003
YDR486C,0.7254269455192272
YDR357C,0.7254122812641738
YDL070W,0.7252230287763572
YML053C,0.7251135755924633
YFL044C,0.725092843947395
YDR480W,0.7250509465302778
YJL110C,0.7250393209025677
YCR007C,0.7250294827665426
YDR296W,0.7249509732127433
YDR063W,0.7249251804705124
YOR269W,0.724922233249302
YGL090W,0.724828419803421
YNL078W,0.7247501541148106
YAL036C,0.7247346297869043
YMR095C,0.7246718574443344
YIL095W,0.724664709025471
YGL175C,0.7245846776960283
YIR003W,0.7245388727780862
YGL250W,0.7244882164023256
YLR206W,0.7244376048510911
YPR049C,0.7243848645908626
YHL018W,0.7243385386970718
YGL004C,0.7243278578458621
YGR003W,0.7242478691806213
YMR029C,0.7242446791068614
YDR476C,0.724117135529082
YNL041C,0.7240720379932413
YJL030W,0.7238605059032045
YGR261C,0.7238581764175714
YPL053C,0.7238431662996067
YDR244W,0.7236586623063193
YER177W,0.7234983898960685
YFL010C,0.7233726194399046
YHR140W,0.723285896350468
YPR093C,0.723110319065285
YDL239C,0.7229113203555623
YLR177W,0.7229098829333932
YOR230W,0.7228848267786026
YIL050W,0.7224760019995061
YJR073C,0.7222017691490049
YGL104C,0.7221149657305563
YLR089C,0.7220381755057815
YGR262C,0.7219782959208353
YNL334C,0.7219704260099917
YPL077C,0.7219657328538545
YKL015W,0.7219381207426836
YGR180C,0.7219244499400707
YML042W,0.7218558226364993
YDR513W,0.7218190421106782
YNL314W,0.721778450169302
