rank,protein,driver_score
1,YML041C,0.999999999940422
2,YPR105C,0.897059831415776
3,YNR014W,0.8595372464070643
4,YER149C,0.8311165919601561
5,YNL286W,0.808376754929348
6,YMR146C,0.7976237433021124
7,YAL032C,0.7852712929096118
8,YPL047W,0.7785971970257081
9,YNL056W,0.7682762847769381
10,YDR222W,0.7593243229349507
11,YLR011W,0.7547736719755609
12,YEL053C,0.7472048054835767
13,YKR014C,0.7435569009006223
14,YBR264C,0.7369174776504951
15,YJL090C,0.7344513477178398
16,YGR113W,0.7303656647910941
17,YKR094C,0.7265939826913281
18,YJR057W,0.7222272137636714
19,YLR245C,0.7193678245868591
20,YGR247W,0.7170332206459765
21,YFR027W,0.7131188200338431
22,YJL124C,0.7103376713320195
23,YBR182C,0.70722465008471
24,YGR075C,0.705237258954122
25,YDR502C,0.703579130776847
26,YDL064W,0.7003176867127326
27,YLL057C,0.697865015834771
28,YNL138W,0.6954393933296387
29,YDL239C,0.6941571793204085
30,YAL049C,0.6924116151176157
31,YGL086W,0.6905646986819949
32,YDL029W,0.6880514685752294
33,YOL148C,0.6863383297664001
34,YBR102C,0.6846795332078404
35,YJL155C,0.6828654884096252
36,YHL009C,0.6811750473322531
37,YKL001C,0.6798489078740906
38,YGL244W,0.6783784997202724
39,YPL095C,0.6767068562687141
40,YJL025W,0.6754889294196031
41,YLR177W,0.6746114855484409
42,YEL072W,0.673251349123345
43,YDR428C,0.6721209936852708
44,YLR010C,0.6705109762078446
45,YGR061C,0.6693428047975021
46,YLL049W,0.6684540227376919
47,YDR273W,0.6669292739578659
48,YJR074W,0.6657462955794501
49,YLR423C,0.6654723154378483
50,YNL063W,0.6642939154221393
51,YGR040W,0.6635904683592155
52,YHL033C,0.662444482949966
53,YHR111W,0.6612726220098013
54,YJL083W,0.6601702787576658
55,YMR315W,0.6588823888710663
56,YDL106C,0.6577202335691122
57,YJL011C,0.6567863493853877
58,YML022W,0.6561639272648168
59,YPL069C,0.6552895145683904
60,YNL029C,0.6541664173858505
61,YMR322C,0.653245435868514
62,YPL178W,0.6519875875447527
63,YNL021W,0.6515100673076492
64,YGR010W,0.6504146323825679
65,YBR166C,0.649379733438197
66,YDR383C,0.6486355760444155
67,YOR377W,0.6479498292905322
68,YPR193C,0.6468912971222319
69,YGL247W,0.6459534622299545
70,YLR291C,0.645586400212116
71,YGR057C,0.6450514056532928
72,YNL098C,0.6441583918283905
73,Q0085,0.6436837777490955
74,YNL147W,0.6428478842990462
75,YGR263C,0.6420074811128962
76,YPL260W,0.6410398671437657
77,YIR025W,0.6402677477215296
78,YER130C,0.6395262328845865
79,YOR288C,0.6389224459697319
80,YOR101W,0.6383484932561486
81,YOR144C,0.6375306048708473
82,YGR099W,0.6370587347138456
83,YOR178C,0.6364375135311366
84,YKR022C,0.6356999501732558
85,YLL045C,0.6350838147327673
86,YMR223W,0.6343277897075653
87,YIL007C,0.6336674010017979
88,YER157W,0.633018403319177
89,YOL034W,0.6328679090429283
90,YDR001C,0.6322223547293578
91,YBR042C,0.6315406018860926
92,YNL273W,0.6308955689669041
93,YJL184W,0.6303157377175339
94,YMR052W,0.6296012160679487
95,YHR131C,0.6291462194077119
96,YLR424W,0.6288006112217065
97,YMR001C,0.6284444241253839
98,YDR353W,0.628116018632439
99,YMR181C,0.6273569203935246
100,YDR123C,0.6267255530769119
101,YDR162C,0.6260387909732261
102,YGR130C,0.6254143710452045
103,YPL034W,0.6248908443973124
104,YHR193C,0.6244148676587687
105,YDR421W,0.6238153830394148
106,YLR186W,0.623298971588969
107,YJL047C,0.6227221873168309
108,YJL070C,0.6221012867126341
109,YJR009C,0.6217020648751098
110,YOR385W,0.6213469979047587
111,YNL152W,0.6207887017271039
112,YLR015W,0.6202204952137131
113,YER090W,0.6197682158263836
114,YHR129C,0.6192863291745307
