index,protein,ec
0,YLR370C,0.0006111448260417998
1,YPR168W,0.0067802642634964255
2,YBR288C,0.0005632101921496379
3,YDR404C,0.013491398567420067
4,YDR334W,0.00883657450057757
5,YOR140W,0.006922917181976958
6,YBR011C,0.004318045835235885
7,YNL312W,0.0007202601681436838
8,YGR111W,9.544208795032964e-06
9,YML112W,0.0014114345682836459
10,YDR502C,0.0019399725537334934
11,YDL182W,0.024772390833686014
12,YPL105C,0.0002610114443259616
13,YBR126C,0.0008944051566126613
14,YPL233W,0.0003214174562661708
15,YBL018C,0.00013795930334729154
16,YNL104C,0.00048077119882913703
17,YJR138W,0.02321498523052783
18,YHR101C,0.0019919035445572874
19,YDL208W,0.0033579389276369633
20,YDR054C,0.002157036343576935
21,YJL080C,0.017118202005836247
22,YCR084C,9.298789649514167e-05
23,YPR019W,0.004415106426936273
24,YHR076W,7.093144333586814e-73
25,YLR312C,0.03849588698644719
26,YER086W,0.001060073603607527
27,YDR110W,0.000444900789971221
28,YBR108W,0.00594955005037586
29,YOL125W,0.001029573490760818
30,YJR032W,0.00046687031222741827
31,YNL216W,7.542208586647972e-05
32,YKL157W,0.00019073414937230757
33,YBR229C,0.003043809867917273
34,YOR158W,0.0016496198699823925
35,YDR083W,0.002200528001595165
36,YDR074W,0.0008370263873942803
37,YML032C,0.0002837843354718765
38,YJL155C,5.2765158012495667e-05
39,YMR061W,0.00100662162156289
40,YCR093W,0.0019428545243474898
41,YER055C,0.0006758182916936983
42,YIL031W,0.0003824941289379627
43,YCR092C,0.007501920577694376
44,YIL142W,0.0011209243919365246
45,YGL021W,0.0024317031222283628
46,YCR065W,0.00019251962651051327
47,YBR055C,0.005344237930746612
48,YGR232W,0.026949336842212946
49,YOR141C,0.003391498726538499
50,YMR028W,0.00019968232698756885
51,YPL081W,0.040410337600871
52,YJL122W,0.001402909759422708
53,YML060W,0.00044676438535816996
54,YJR084W,0.0014303069866334593
55,YBL057C,0.010721475218019591
56,YER157W,0.000255042427713822
57,YJL082W,0.0002362199408762388
58,YHR176W,0.0014059275259504524
59,YER151C,0.004395929500178272
60,YJR043C,6.405376660766117e-05
61,YMR263W,0.005857718218343841
62,YOR052C,0.003709911292320904
63,YDR373W,2.9278956295497603e-05
64,YFR029W,0.008645149347398408
65,YLR384C,0.004792335650984114
66,YDL003W,0.0017302760394088384
67,YHR041C,0.009098314453325968
68,YHL035C,0.008859765812119476
69,YJL159W,0.0021208427477753585
70,YDR186C,0.014894769076324402
71,YJL036W,0.007779214956130556
72,YOR304C-A,0.00027107071140927767
73,YDR369C,0.01612994330562907
74,YPL015C,0.0056203260064195985
75,YDR177W,0.009511749941526195
76,YDL143W,0.000474103524913482
77,YFL008W,8.587413004296726e-06
78,YGL124C,0.0010506298510246372
79,YPR018W,2.9436974316693564e-57
80,YPL018W,0.006328909872174496
81,YNL022C,0.00013725984143322917
82,YHR118C,0.002269232448993802
83,YNL284C,0.020523244385481903
84,YDR224C,0.00200590746262649
85,YOR064C,0.006796893619365488
86,YBR146W,0.003354968617770896
87,YPL166W,4.699694845272002e-06
88,YBL008W,0.002362580517597924
89,YER059W,0.006602416255549646
90,YPR029C,0.009512706320555326
91,YOL146W,0.00017981557584592257
92,YNL316C,1.5853198483055568e-68
93,YBR010W,0.0013657444905635504
94,YKL075C,0.002817106572663416
95,YKL134C,0.021013231906210045
96,YPL110C,0.00021679663568438306
97,YLL018C,0.009705528651731389
98,YNR008W,0.039198326687340704
99,YGR030C,0.00013795930334729154
100,YDR530C,0.010477974647138408
101,YJR005W,0.00016494836541832325
102,YBR154C,0.013720734573874318
103,YLR448W,0.010842647153085501
104,YDR532C,2.8024276264485668e-73
105,YOR142W,0.003341779752533941
106,YDR255C,0.000488412678001994
107,YOL148C,0.002027676698229628
108,YPL064C,0.0010384753870058302
109,YMR273C,0.0001201835326350226
110,YMR031C,0.0003993672825247504
111,YCR002C,0.0008718613711004253
112,YGR142W,0.0017736242876828432
113,YGR104C,0.00906161621430125
114,YCL010C,0.0018258083892710884
115,YAR003W,0.014144422107534705
116,YOL070C,0.0002978295705136521
117,YKR029C,0.004374769152027757
118,YDL040C,0.07294191709923036
119,YJL148W,0.005633017482928664
