index,protein,ec
0,YLR370C,0.0002848416774021784
1,YDR404C,0.003456288408924765
2,YPR168W,0.002151542232863393
3,YBR288C,7.506449992731883e-05
4,YBL061C,0.0004189739515063841
5,YMR280C,0.0011702347119794572
6,YDR334W,0.004546654568131472
7,YBR011C,0.030778354641884265
8,YNL312W,0.028148886841181563
9,YOR093C,0.005598975348055559
10,YML112W,0.0018548821620101967
11,YOR294W,0.08385375382272879
12,YBR155W,0.0006884026281158152
13,YDL182W,0.023772428997196428
14,YPL105C,0.0008684525503196285
15,YPL233W,0.0019838425306551487
16,YBR126C,4.545757356561547e-06
17,YNL104C,0.0007290471778511023
18,YPL143W,0.020373583559352766
19,YLL011W,0.00028844277560487685
20,YPL245W,0.0003510717891496243
21,YJL080C,0.007403980430661068
22,YGR120C,0.0001864514856495896
23,YDR054C,0.008133457961665905
24,YCR084C,0.0006126266095330057
25,YDL061C,0.014919744660200041
26,YPL133C,7.048181673665251e-06
27,YKL054C,0.029626543634242785
28,YJL102W,0.000794249121819206
29,YHR076W,0.0006541415092490346
30,YER086W,0.009729476446007034
31,YDR110W,0.0002225028582921891
32,YJR032W,0.0015019403216635448
33,YBR108W,0.000866895237603995
34,YKL157W,0.0006354759065400407
35,YBR229C,0.0008609725809136042
36,YGR170W,0.0011258309375553341
37,YOR158W,0.0057698574632746216
38,YDR083W,0.0005898319165697379
39,YIL150C,0.00029827045602085053
40,YDR074W,0.0006028457072068604
41,YJL155C,0.0006998192967516019
42,YMR061W,5.301798663845776e-25
43,YOL040C,0.11899453593771694
44,YCR093W,0.011952777776275562
45,YIL031W,0.0004375483784190133
46,YCR092C,0.0006463207782554808
47,YIL142W,0.0012779890526261539
48,YBR055C,0.0019974891990581123
49,YGL187C,1.2228962679268864e-29
50,YGR232W,0.0032076393028583534
51,YFR028C,0.0011789486162993804
52,YOR141C,0.006734953627909905
53,YGL008C,0.06767690974500862
54,YJR084W,0.0016406097265133086
55,YER157W,0.002170203357413522
56,YJL082W,0.00010336474639596214
57,YOL081W,0.0035820909214120083
58,YER151C,0.034269120685006774
59,YEL036C,0.004838659926905305
60,YDR111C,0.00037878506611791206
61,YJR043C,0.001402381115156237
62,YMR263W,0.004574764457096561
63,YBR135W,0.0008749019245193189
64,YBL086C,0.000819915701973578
65,YLR384C,0.0009464572604274844
66,YDL003W,0.0035679270799290896
67,YCL044C,0.0004863278658951072
68,YHR041C,0.0023094802704001316
69,YJL036W,2.5490872362793126e-05
70,YOR304C-A,0.0015823803505426843
71,YDR369C,0.004141281607031739
72,YDL143W,0.0012779890526261539
73,YFL008W,0.0034919421338768645
74,YGL124C,0.0005544826320471922
75,YPR018W,0.0016777991447113213
76,YPL018W,0.0017454881741136342
77,YNL022C,0.0007842356701910563
78,YNL092W,0.00027007929307656557
79,YBL092W,0.104960932707881
80,YHR118C,0.0474291310775902
81,YJL187C,0.01710814708315634
82,YNL284C,0.0010795902747722831
83,YDR224C,0.0016812010056682855
84,YOR064C,0.001155826476655302
85,YBR146W,0.005121135982083054
86,YPL166W,0.0007165274170778114
87,YBL008W,0.0015463184356045109
88,YPR029C,0.0031697540471217725
89,YOL146W,4.890003400713293e-08
90,YDR146C,0.0008112549514867199
91,YBR010W,0.05607149457974469
92,YKL075C,0.0050995430469313405
93,YPL110C,0.0005708886802709779
94,YJR005W,0.0006499620120421013
95,YBR154C,0.01110449798324917
96,YLR448W,0.10775651419445918
97,YOR289W,0.015863238339017312
98,YLR021W,0.0015800025961925318
99,YOR142W,3.842716157679285e-06
100,YDR255C,0.005279354099761928
101,YDR322C-A,2.5654207242216368e-05
102,YPL167C,0.0015550189049462779
103,YLL005C,0.002171395157548124
104,YLR025W,0.001527394409658867
105,YOL148C,0.006080378133281966
106,YPL064C,0.001004598737516944
107,YMR273C,0.016852049020051413
108,YMR031C,0.013846162573880572
109,YMR016C,0.0004921636200771574
110,YCR002C,0.004343387680803317
111,YJL110C,0.0008723448882898663
112,YHR073W,0.0006096009571916113
113,YNL037C,5.972980128263215e-29
114,YNL292W,0.00037280211471504854
115,YGR104C,0.0010061488761364938
116,YCL010C,0.006561692827895979
117,YAR003W,0.005411196626232256
118,YOL070C,0.0009218387377234536
119,YKR029C,0.0026080307604723525
120,YDL040C,0.0029942050765492272
121,YER078C,4.683045378020595e-05
122,YJL148W,0.003836142784340504
123,YBR269C,0.0016489951489280545
124,YNR031C,0.0024322161645067893
125,YJL074C,0.0058572327322074765
126,YGL062W,0.0018573263203774805
127,YDR425W,2.5490872362793126e-05
128,YMR308C,0.005106777122780709
129,YKL091C,1.0140261279370341e-05
130,YLR069C,0.0031008542479658494
131,YLR127C,0.0008113218650313588
132,YGR204W,0.019952654564568132
133,YJR134C,0.0002225028582921891
134,YER164W,0.00845350388315446
135,YBL024W,0.002408173464149805
136,YBL027W,0.11927118152637718
137,YOR233W,0.004570469536143289
138,YER127W,0.003717970442026081
139,YDL122W,0.0002225028582921891
140,YHR104W,2.807937409683513e-29
141,YKR037C,0.003700679434674935
142,YDL126C,0.0039819320996402775
143,YIR037W,0.01537489053620322
144,YKR010C,0.00015834388618313759
145,YIL161W,0.0020474793302067817
146,YLR270W,0.0007087696029333874
147,YMR033W,0.00345568854627061
148,YGR071C,0.0005171072423698426
149,YLR287C-A,0.07001631636600021
150,YHR107C,0.004343387680803317
151,YER110C,0.017220356679684044
152,YMR093W,0.010774134739090734
153,YBR081C,0.007660057664674047
154,YMR275C,0.0015247950379922415
155,YLR299W,0.00021044578163931804
156,YOR201C,0.0005819655741005764
157,YBL022C,0.00010535228451578476
158,YPR041W,0.00833462716064176
159,YHL007C,0.00028039479587075157
160,YFR031C,0.0012065149155451754
161,YBR065C,0.007500884498617674
162,YNL084C,0.0021174263924862388
163,YLR226W,0.033808372342789834
164,YIL130W,0.0004064302987182784
165,YPR178W,0.003102727192188524
166,YDL084W,0.0001903971134962196
167,YGR010W,4.6335542646355394e-07
168,YDL153C,0.04299189304459944
169,YER056C-A,0.03321445564400322
170,YBR059C,0.0008097521689681321
171,YPR184W,0.0031734426730996505
172,YMR153W,0.0018689314550257193
173,YMR186W,0.02802859293682845
174,YCR066W,0.000965712245813069
175,YDR099W,0.029556689771323086
176,YGL197W,2.6438402745931964e-06
177,YOR279C,0.0020918512139855624
178,YFR050C,8.071339683260807e-05
179,YDL150W,0.0021306596161455617
180,YAL024C,0.0002250985860373253
181,YFR009W,0.00012030975855031822
182,YLR442C,0.0015404516099704725
183,YKR074W,0.00024819162666985043
184,YBL037W,0.006086808821572743
185,YPR179C,4.14016323968875e-05
186,YOL062C,4.502268042116217e-05
187,YDR477W,0.0005957250192558572
188,YLR430W,0.006388831597301245
189,YMR005W,0.005812821398829107
190,YGR159C,0.06143726192205385
191,YKL192C,1.1458375366132975e-06
192,YJR092W,1.2664378900849697e-05
193,YGL100W,0.0022013042773334434
194,YDR330W,0.0001494344024134968
195,YOR250C,5.301498393961802e-25
196,YGL128C,4.4422503678713554e-05
197,YMR135C,0.006505998076660955
198,YNL232W,0.00048193894120762405
199,YOR326W,0.022153240678779162
200,YPR089W,0.0011054405415848372
201,YBR049C,0.0003373432703899668
202,YPL048W,0.010300866430819787
203,YJL061W,0.00046469243445914455
204,YDL022W,0.009848211673340027
205,YER146W,0.03675127933152185
206,YER070W,0.0015515544057724592
207,YDR473C,0.0024608323047664157
208,YPR002W,1.545068718832276e-05
209,YGR068C,0.0004785233809291637
210,YPL001W,0.04668031004943215
211,YLR146C,2.3309324536092847e-30
212,YMR068W,0.0002575436599288314
213,YLR298C,0.0005936165041496721
214,YOR046C,0.0006636966396429528
215,YNL250W,0.007500884498617674
216,YOR249C,0.0009005863685640006
217,YPL013C,0.004530721340875529
218,YLR264W,0.004354479093466231
219,YJR140C,0.0004950504021768027
220,YER027C,0.00013761425500645406
221,YDL135C,0.0005748725410527877
222,YLR362W,0.0015483988557621175
223,YOR188W,0.0002225028582921891
224,YMR313C,0.0014327879565739048
225,YLR185W,0.01347158724853593
226,YKR008W,0.0029143969783786143
227,YFR010W,0.00441241021289593
228,YOR224C,0.009457011342930238
229,YOR220W,0.0008097521689681321
230,YLR401C,0.0006946987234427715
231,YNL254C,0.002194114977340237
232,YGR037C,3.5344884260651144e-05
233,YDR127W,0.00046626002253956936
234,YML072C,0.054606049513511896
235,YML100W,4.545757356561547e-06
236,YJL095W,0.0004957095268210936
237,YBR080C,0.0018326003754228876
238,YBL072C,0.09505920044812835
239,YDR490C,0.0019701818653835436
240,YPR133C,0.002380639129109297
241,YOL005C,0.009941275129741675
242,YIL071C,0.0001667170824907932
243,YJL052W,0.019708118244953086
244,YGL087C,0.0006238140692284982
245,YHR165C,0.007258868759785267
246,YHR059W,0.0014465346432871566
247,YBR125C,0.0016115951062888642
248,YDR460W,0.007361281278161292
249,YGL237C,2.6563312065989533e-25
250,YCR008W,0.006513135107506243
251,YML114C,0.0016626479394794653
252,YBR187W,0.0009419926404627763
253,YAL043C,0.01083661208358935
254,YLR045C,0.0014033755067143295
255,YDL095W,0.012993150232894319
256,YHR013C,0.003346578480398632
257,YNL102W,0.001558571641222011
258,YNR043W,0.0005586926665851193
259,YNL062C,0.0002565927647998942
260,YKR085C,0.00046472740163361716
261,YGR196C,0.0004123584403175719
262,YER111C,0.00048680440680562935
263,YGR019W,4.654278148295735e-06
