index,protein,ec
0,YLR370C,0.008181565174573942
1,YLR289W,0.005005861406630119
2,YBR288C,2.7935644247512626e-64
3,YBL061C,0.0021392248171202893
4,YER099C,0.0027874200356097834
5,YBR011C,0.0947854479441955
6,YNL312W,0.0033498134243589526
7,YGR111W,0.007576243353986954
8,YML112W,0.0010662074372387673
9,YBR155W,0.001056046090075559
10,YBR126C,0.02882098577397402
11,YLR241W,0.004922932592891462
12,YLL011W,0.01048788237792889
13,YDL208W,0.02419152639045328
14,YJL080C,0.053784157859086155
15,YCR084C,0.0031566660105512693
16,YHR152W,0.0006793764336588822
17,YFL005W,0.0034074403552319323
18,YPR019W,0.0039302076254763285
19,YDR150W,0.0021392248171202893
20,YKL054C,0.02466683650643952
21,YHR076W,0.03150047984120178
22,YKL157W,0.018318342788594785
23,YJL013C,0.002152963840862488
24,YDR074W,0.005554821283116673
25,YML032C,0.012521273511199303
26,YCR093W,0.010382967288251171
27,YKL218C,0.00226081423729302
28,YCR092C,0.000764741575237254
29,YIL142W,0.01426515728415447
30,YBR055C,0.01468754925901257
31,YFR028C,0.022744927023089424
32,YGR232W,0.016712055308503386
33,YGL008C,0.02954754339166645
34,YMR028W,0.010643771153727936
35,YHR019C,0.04038073160321358
36,YJL122W,0.016490562976489775
37,YDR216W,0.03946146603574168
38,YGR205W,0.0012320898352450834
39,YOL081W,0.00271869010452618
40,YMR246W,0.020622542452698456
41,YDR316W,0.0007443524698751173
42,YBR135W,0.0017492929851641663
43,YLR384C,3.880333891684277e-52
44,YDL003W,0.0016253119935245863
45,YNL311C,0.0019252161364334249
46,YGL104C,0.02543788911349687
47,YHL035C,0.02543788911349687
48,YDR369C,0.005910747863983467
49,YML123C,0.026084226035259523
50,YDR177W,0.00019546215991843964
51,YFL008W,0.0015958613513086563
52,YPR018W,0.0005081698182720584
53,YPL018W,0.00022442932443876167
54,YJL187C,0.0008387877839458095
55,YJR127C,3.880333891684277e-52
56,YDR224C,0.06679521668365566
57,YPL166W,0.023687747896034752
58,YJR072C,0.04234639159866592
59,YBL008W,0.012872237765616986
60,YOR367W,0.0017448809586232852
61,YER059W,0.00022689136046308574
62,YPR029C,0.008402168397294579
63,YDR146C,0.0013958607805028475
64,YBR010W,0.03731030005938935
65,YBR035C,0.0067894353874727005
66,YPL110C,0.028540843624444746
67,YLL018C,0.01846306870873264
68,YNR008W,0.04592657738637212
69,YBR154C,0.014698254048027133
70,YOR142W,0.02860486377377246
71,YDR255C,0.0016372055246049702
72,YCR002C,0.01710218362910436
73,YHR073W,0.0006360005937579772
74,YNL037C,0.040401996515106786
75,YGR142W,0.0054115763661092345
76,YFR039C,0.00034868547063990183
77,YCL010C,0.0012494364075426138
78,YAR003W,0.0009653879905727543
79,YKR029C,2.608329641817083e-06
80,YDL040C,0.00533008347633947
81,YDL137W,0.003001047645803413
82,YER078C,0.02293032541165426
83,YNR031C,0.02233398887244923
84,YJL074C,0.008053164903739985
85,YGL062W,0.0292308817407214
86,YCR091W,3.915120151398302e-79
87,YMR308C,0.021352467716505796
88,YMR276W,0.0004819626187605353
89,YGR204W,0.018550005492148178
90,YLR127C,1.2040999246996723e-06
91,YJR134C,0.057975592419200035
92,YER164W,0.0002176077602206211
93,YHR120W,1.4081660289402702e-06
94,YFL045C,0.06878989433890592
95,YDR339C,0.0010062850400672052
96,YER127W,0.012069975505469024
97,YDL204W,0.009085659454837589
98,YLR270W,0.0036469368250975575
99,YGR202C,0.01296749899267997
100,YKR067W,0.008721522593508743
101,YHR107C,0.008223788989279553
