index,protein,ec
0,YLR370C,0.0010436020246152612
1,YDR331W,2.1004217097281305e-05
2,YPR168W,0.016285713017322637
3,YDR404C,0.004041275931428497
4,YBR288C,0.00045678277202543114
5,YPR094W,0.004625893807017262
6,YBL061C,0.0053327661230607604
7,YDR334W,0.0023395324646969737
8,YBR011C,0.007348802596768413
9,YNL312W,0.0014320012810980214
10,YML112W,0.003455377691781199
11,YDR502C,0.021123390627209714
12,YOR294W,0.007977509467307657
13,YBR155W,0.0003534756639476749
14,YBR126C,0.015143567161402442
15,YPL233W,0.0018099052878075422
16,YBL018C,0.0009782991778797638
17,YNL104C,0.0020207850254403345
18,YPL143W,0.06079779906010702
19,YJR138W,0.019276724922126853
20,YLL011W,0.04106446042382391
21,YDL174C,0.003070188187527084
22,YDL208W,0.009045246108126646
23,YML014W,1.4189383406406219e-05
24,YBR104W,0.0008986508001058345
25,YJL080C,0.02516646668789343
26,YGR120C,0.0026642397519427955
27,YCR084C,0.0021471274206955404
28,YDL061C,0.0003284620497495077
29,YPR019W,0.0017690642382763152
30,YDR150W,0.005601694820908987
31,YKL054C,0.001836037498904427
32,YJL102W,9.486653423382251e-05
33,YER086W,0.04360594264699404
34,YDR110W,0.0003407072604848814
35,YNL216W,0.001777618782115122
36,YKL157W,0.010032854628336797
37,YBR229C,0.0009134913513668104
38,YGR170W,0.015428327018680571
39,YAL041W,0.005200455736072387
40,YOR158W,0.0031322733565401105
41,YKR057W,0.012094013261462446
42,YLR166C,0.0030365124089885144
43,YKR021W,0.00011478805810104028
44,YDR083W,0.0060218022959773135
45,YML032C,0.00570308791272692
46,YDR074W,0.0023093829390213936
47,YJL155C,0.00027746877837240533
48,YMR061W,0.01987137008552025
49,YOL040C,0.011419053178237314
50,YCR093W,0.014120309414369227
51,YAL009W,0.003756439325248281
52,YJL002C,0.0016049213013798699
53,YER055C,0.00040712920340276127
54,YKL218C,0.004592303807929875
55,YIL031W,0.0018937986988411962
56,YCR092C,0.004383211021628761
57,YIL142W,0.007538494925020798
58,YNR007C,0.0010344869465775913
59,YBR055C,0.013921353853673034
60,YGL187C,0.00029604646188815235
61,YGR232W,0.0037359866260622725
62,YFR028C,0.0038373805433805897
63,YOR141C,0.008297163258949037
64,YMR028W,0.0005220965837650336
65,YPL081W,0.06188157181300881
66,YHR019C,0.013760473035362274
67,YDR216W,0.00013185173825645285
68,YJR084W,0.010337307715200476
69,YER157W,0.008244613076131533
70,YGR205W,0.00012685563056808325
71,YMR267W,0.005134917980379301
72,YOR085W,0.0001276259276739835
73,YMR246W,0.004106975883061675
74,YER151C,0.01000766410695476
75,YEL036C,0.009615196797030942
76,YJR043C,0.0009002659373009448
77,YJL062W,0.0005156727647580031
78,YMR263W,0.007293680807067321
79,YBR135W,0.0048037501308453075
80,YLR384C,0.003710084307772144
81,YDL003W,0.004218014408177495
82,YKL183W,0.0010460804579047662
83,YMR234W,0.00020054673794429436
84,YHR041C,0.014253732047136524
85,YDR186C,0.00033507595551604183
86,YHL035C,0.0008510438178784013
87,YJL036W,0.0014046609372204207
88,YLR388W,0.010301451036348941
89,YDL143W,0.03003785007214635
90,YFL008W,0.008913497059907427
91,YPR018W,0.00032872604318596186
92,YPL018W,0.000972491682926466
93,YDR393W,0.0027888024031967507
94,YHR118C,0.006873957444296224
95,YNL284C,0.011028458103079921
96,YDR224C,0.022255668284394608
97,YKL196C,0.007188848459092139
98,YER065C,0.01339174903611205
99,YBR146W,0.005246180014992135
100,YHR117W,0.005463314434095962
101,YPL166W,0.0002870937409197822
102,YJR072C,0.003905578908083797
103,YER059W,0.0013589227738696771
104,YHR072W,0.00010755048519630652
105,YMR299C,0.0008841330835996698
106,YBL008W,0.0
107,YGR089W,0.0004057990205763271
108,YPR029C,0.008771143079892806
109,YOL146W,0.004136764161333901
110,YBR010W,0.009312695275097883
111,YBR007C,0.0008305871582513798
112,YLL018C,0.019639160891930862
113,YGR030C,0.0008925209644289006
114,YJR005W,0.00470226262192872
115,YBR154C,0.006709857631013112
116,YLR448W,0.0651312833928751
117,YOR142W,0.00023574416086257998
118,YPL125W,0.0007754507359687665
119,YGL180W,0.0006501446307102119
120,YGL153W,6.99843217947934e-45
121,YOL148C,0.0060255694807041784
122,YLR025W,0.0005600978996397908
123,YMR273C,0.00730862009535634
124,YMR031C,0.00048247623611085403
125,YCR002C,0.00033046629934867244
126,YJL110C,0.0003407072604848814
127,YNL037C,0.0020287261114637885
128,YNL292W,0.00023396737553727954
129,YBR038W,0.0030674659566903057
130,YOR271C,0.004040336258536655
131,YGR104C,0.013389836913070143
132,YCL010C,0.0061232209185178655
133,YAR003W,0.0013210546708616697
134,YOL070C,0.002313005122174767
135,YKR029C,0.0008613023619757872
136,YOR163W,0.0002496170271800795
137,YDL040C,0.013164647022607438
138,YDL137W,0.003134114076329948
139,YJL148W,0.0031091901550129105
140,YNR031C,0.005936953690841727
141,YJL074C,0.01859018159276439
142,YML075C,0.007926911197939483
143,YCR091W,0.001504328514931131
144,YDR297W,0.0029813067227668516
145,YDR425W,0.0014046609372204207
146,YMR308C,0.027981871888972137
147,YLR127C,0.0025456205008133385
148,YGR204W,0.020857299380439762
149,YPL042C,0.015752963689802522
150,YER164W,0.004122422330159882
151,YBL024W,0.006561434498779859
152,YML106W,9.486653423382251e-05
153,YBR254C,0.00427577287671448
154,YBL027W,0.02117813796714249
155,YFL045C,0.02288177301533787
156,YBR037C,0.0003407072604848814
157,YBR246W,0.00024161799149071046
158,YER127W,0.010757821526951242
159,YHR108W,0.0013469286468639895
160,YDL122W,0.004468558585003857
161,YHR104W,0.00013298214644837848
162,YDL126C,0.015345515592259234
163,YPR022C,0.00023396737553727954
164,YIL161W,0.007793250905854874
165,YLR270W,7.526470822465541e-05
166,YGR202C,0.0034664757289093844
167,YKR067W,0.011044175684372964
168,YMR033W,0.017789998106281676
169,YDR140W,1.3181238445690501e-05
170,YER168C,0.0008039688258316872
171,YHR107C,0.0004922978097218142
172,YER110C,0.06773431773676351
173,YMR093W,0.04293631370986796
174,YBR081C,0.01370015486818045
175,YJL207C,0.002078894487676321
176,YMR275C,0.00010673988494760189
177,YOR201C,0.004187462937151664
178,YBL022C,0.006942240824367582
179,YIR035C,0.0010743927981258707
180,YPR041W,0.024394643308455154
181,YHL007C,0.00035895910396338077
182,YBR065C,0.006429137505892611
183,YFR031C,4.620734500154707e-46
184,YNL084C,0.0010158768381441574
185,YIR033W,0.0036801194465978402
186,YOR231W,0.0004145669791971331
187,YLR226W,0.0038304562496356666
188,YIL130W,0.007155706616827286
189,YGL040C,6.901515479545242e-05
190,YPR178W,0.01659246558320666
191,YBR117C,0.0001039564078446202
192,YML117W,0.01763119715219445
193,YDL084W,0.010610885932361262
194,YGR010W,0.00010755048519630652
195,YNR041C,0.0004913743729214662
196,YKL117W,0.0003478374226448681
197,YDL203C,0.004327025935813118
198,YNL081C,0.0013452227672755364
199,YPR184W,0.004286295216350181
200,YMR153W,0.0003810806671481412
201,YBR059C,0.0012921804185785216
202,YMR186W,0.04712331539594508
203,YDR099W,0.0061611301348255
204,YGL197W,0.009523334179792875
205,YFR050C,0.004642605123382423
206,YDL150W,0.005568704130565344
207,YAL024C,0.0017277047937973658
208,YFR009W,0.04329047625513853
209,YNR001C,0.004500638497534435
210,YBL037W,0.005455154929962374
211,YPR179C,0.0018951792761943134
212,YOL062C,0.00470226262192872
213,YDR477W,0.0004951130600719562
214,YBR295W,0.0002575384776254131
215,YLR430W,0.007146525805471403
216,YMR005W,0.008339652774180145
217,YGR159C,0.0057872786275892565
