protein,score
YLR110C,0.9999999999964345
YJR145C,0.9835737478174614
YGR085C,0.968791473916678
YBL072C,0.9625692798242305
YDL185W,0.9613286916107661
YPL198W,0.9566764274241887
YFR031C-A,0.9457622966331249
YOR096W,0.9453853361647213
YLR441C,0.9408329303845856
YML024W,0.9351687594482733
YPL249C-A,0.925916523541958
YOR045W,0.9251346196439656
YBL027W,0.9251317814198122
YCR024C-A,0.924626300655194
YDL075W,0.9230762632399148
YHL033C,0.920985200931372
YJL052W,0.919869687113375
YLR406C,0.9171921464075622
YPL135W,0.9120107223759985
YDR382W,0.9101647160661571
YDL081C,0.9062036085853832
YCL011C,0.9061850269175977
YBR035C,0.9041454886712839
YOR234C,0.904122485377944
YLR287C-A,0.9034145872147914
YHR025W,0.9023509009723044
YJL177W,0.9019104827414637
YKL085W,0.898558487736339
YBR191W,0.8957588516192155
YMR206W,0.894541084909879
YMR295C,0.8944194907227795
YMR148W,0.8927140453957777
YBR159W,0.8926174034804591
YPR080W,0.8923505067342431
YER056C-A,0.8920569028031734
YNL274C,0.8915425127769395
YBL087C,0.8912717591293713
YPL081W,0.8904947163193333
YJL191W,0.8897766625207157
YAL062W,0.8887951812356959
YBR126C,0.8884332280397206
YOR184W,0.8866882561049575
YNL186W,0.8863253174504028
YLR286C,0.8863035212050528
YLR048W,0.8840817804141429
YHR096C,0.8826285130573522
YGL020C,0.8819606124383422
YER067W,0.8819564578848113
YPL048W,0.8819007199230678
YLR342W,0.8813654412745796
YKR076W,0.8810781037150601
YBL051C,0.8806528900030176
YLR089C,0.8804669029862369
YKL217W,0.880333196771154
YNL259C,0.8800821601308609
YJR117W,0.879923971301289
YKL006W,0.8797254625645984
YOL039W,0.8792380244077036
YGR118W,0.8792178641852009
YBL064C,0.8789952441032496
YDR335W,0.8786848394133647
YOL109W,0.8782783551861539
YBR263W,0.878118722700695
YKL077W,0.8777193530849993
YPR191W,0.8775180121526054
YML054C,0.8773886484482288
YHR200W,0.8769845556862448
YML028W,0.8766443007392013
YKR014C,0.8765190262857688
YLR421C,0.8757144926826036
YMR108W,0.8754007823376262
YDR486C,0.8753962161213868
YNL209W,0.875355247942654
YFL034C-A,0.8753506892399076
YLR174W,0.8744127457421284
YIL133C,0.8743529029995426
YGR142W,0.8743187597842325
YML086C,0.874072936537803
YLR056W,0.8740597895969185
YBR046C,0.87353695870467
YPL013C,0.8734726309651996
YHR163W,0.8734664173396988
YBR078W,0.8731749095748226
YGR144W,0.8730835555011702
YLL024C,0.8729587496293306
YBR010W,0.8727111859279137
YEL063C,0.8726250157635146
YHR037W,0.8725938198221591
YPL059W,0.8725059890553828
YEL037C,0.8723376832346952
YPR052C,0.8722442624908632
YMR315W,0.8722297547599157
YDL182W,0.8721337575715135
YKL033W-A,0.8719514422820407
YHR089C,0.871622993416864
YGL087C,0.871506654567362
YJR148W,0.8713742065644832
YKL103C,0.8707704034253426
YLR192C,0.8707568459116425
YDR071C,0.8707071436834187
YMR311C,0.8702976923551994
YDR525W-A,0.8698398939578396
YML072C,0.8698178574285975
YCR084C,0.8697414634998861
YDR171W,0.8694881063683947
YJR113C,0.869395989435407
YGR235C,0.8692574758639364
YJL136C,0.8690522076953832
YNL307C,0.8687202218923918
YEL052W,0.8682686544857418
YPL079W,0.8682237418030252
YIL094C,0.8679293101563572
YMR286W,0.8676059837142224
YDR063W,0.8675979229990493
YPL178W,0.8674437471135645
YCR031C,0.867414713807866
YBR025C,0.8673943556500844
YOR251C,0.8672582113422375
YER057C,0.8672317846218712
YGR037C,0.8669270779559649
YLL061W,0.8665628749739442
YLR447C,0.8664256717917027
YLR388W,0.8663709441978977
YFR001W,0.866070866634566
YDR500C,0.8659717141365737
YER089C,0.8659118125280093
YGR135W,0.8657637745404266
YMR145C,0.8657636577126677
YKL054C,0.865661838058497
YCR009C,0.8655653662850089
YDR399W,0.8654822340816328
YLR330W,0.865446853786476
YML030W,0.8653924318672721
